Gene Name	Accession	Object ID
3'ETS-<i>leuZ</i>	b4759	G0-16636
aaaD	b4634	G0-16718
aaaE	b4693	G0-16720
aaeA	b3241	G7686
aaeB	b3240	G7685
aaeR	b3243	G7688
aaeX	b3242	G7687
aas	b2836	EG11679
aat	b0885	EG11112
abgA	b1338	G6670
abgB	b1337	G6669
abgR	b1339	G6671
abgT	b1336	EG12853
abpA	b2628	G7363
abpB	b2627	G7362
abrB	b0715	G6384
accA	b0185	EG11647
accB	b3255	EG10275
accC	b3256	EG10276
accD	b2316	EG10217
aceA	b4015	EG10022
aceB	b4014	EG10023
aceE	b0114	EG10024
aceF	b0115	EG10025
aceK	b4016	EG10026
aceK-int	b4830	G0-17105
ackA	b2296	EG10027
ackB		G14
acnA	b1276	EG11325
acnB	b0118	EG12316
acpH	b0404	EG11095
acpP	b1094	EG50003
acpS	b2563	EG10247
acpT	b3475	EG12221
acrA	b0463	EG11703
acrB	b0462	EG11704
acrD	b2470	EG10014
acrE	b3265	EG10266
acrF	b3266	EG10267
acrR	b0464	EG12116
acrZ	b0762	G6396
acs	b4069	EG11448
actP	b4067	EG11942
actS	b2865	G7484
ada	b2213	EG10029
add	b1623	EG10030
adeD	b3665	EG11692
adeP	b3714	EG11724
adeQ	b3664	EG11691
adhE	b1241	EG10031
adhP	b1478	G6775
adiA	b4117	EG11501
adiC	b4115	EG12462
adiY	b4116	EG11966
adk	b0474	EG10032
aegA	b2468	EG12409
aer	b3072	G7595
aes	b0476	EG11101
afuB	b0263	G6137
afuC	b0262	EG12340
agaA	b3135	EG12766
agaB	b3138	EG12769
agaC	b3139	EG12770
agaD	b3140	G7635
agaI	b3141	G7636
agaR	b3131	G7630
agaS	b3136	G7634
agaV	b3133	G7632
agaW	b3134	G7633
agp	b1002	EG10033
agrA	b4712	G0-10751
agrB	b4713	G0-10752
ahpC	b0605	EG11384
ahpF	b0606	EG11385
ahr	b4269	EG11436
aidB	b4187	EG11811
ais	b2252	G7165
alaA	b2290	G7184
alaB		G0-9281
alaC	b2379	G7242
alaE	b2670	G7399
