Gene Name	Accession	Object ID
alaS	b2697	EG10034
alaT	b3853	EG30008
alaU	b3276	EG30009
alaV	b0203	EG30010
alaW	b2397	EG30011
alaX	b2396	EG30012
aldA	b1415	EG10035
aldB	b3588	EG12292
alkA	b2068	EG11222
alkB	b2212	EG10037
allA	b0505	G6275
allB	b0512	G6281
allC	b0516	G6285
allD	b0517	G6286
allE	b0515	G6284
allR	b0506	G6276
allS	b0504	G6274
allW	b0511	G6280
allZ	b4831	G0-17106
alpA	b2624	EG12112
alr	b4053	EG10001
alsA	b4087	EG11959
alsB	b4088	EG12458
alsC	b4086	EG11958
alsE	b4085	EG11957
alsK	b4084	EG11956
alsR	b4089	G7821
alx	b3088	G7607
ameF	b4844	G0-17125
amiA	b2435	EG11823
amiB	b4169	EG11363
amiC	b2817	G7458
amiD	b0867	G6452
amn	b1982	EG10039
ampC	b4150	EG10040
ampD	b0110	EG10041
ampE	b0111	EG10042
ampG	b0433	EG12183
ampH	b0376	EG12867
amtB	b0451	EG11821
amyA	b1927	EG11387
anmK	b1640	G6880
ansA	b1767	EG10045
ansB	b2957	EG10046
ansP	b1453	G6764
apaG	b0050	EG10047
apaH	b0049	EG10048
aphA	b4055	EG11934
appA	b0980	EG10049
appB	b0979	EG11379
appC	b0978	EG11380
appX	b4592	G0-10588
appY	b0564	EG10050
apt	b0469	EG10051
aqpZ	b0875	EG13270
araA	b0062	EG10052
araB	b0063	EG10053
araC	b0064	EG10054
araD	b0061	EG10055
araE	b2841	EG10056
araF	b1901	EG10057
araG	b1900	EG10058
araH	b4460	EG10059
araJ	b0396	EG10060
arcA	b4401	EG10061
arcB	b3210	EG10062
arcZ	b4450	G0-8871
arfA	b4550	G0-10465
arfB	b0191	EG12354
argA	b2818	EG10063
argB	b3959	EG10064
argC	b3958	EG10065
argD	b3359	EG10066
argE	b3957	EG11286
argF	b0273	EG10067
argG	b3172	EG10068
argH	b3960	EG11223
argI	b4254	EG10069
argK	b2918	EG11445
argL	b4766	G0-17012
argO	b2923	EG11159
argP	b2916	EG10490
argQ	b2691	EG30013
argR	b3237	EG10070
argS	b1876	EG10071
argT	b2310	EG10072
argU	b0536	EG30014
argV	b2694	EG30015
argW	b2348	EG30016
argX	b3796	EG30017
argY	b2693	EG30018
argZ	b2692	EG30019
ariR	b1166	G6606
arnA	b2255	G7168
arnB	b2253	G7166
arnC	b2254	G7167
arnD	b2256	G7169
arnE	b4544	G0-10460
arnF	b2258	G7171
arnT	b2257	G7170
aroA	b0908	EG10073
aroB	b3389	EG10074
aroC	b2329	EG10075
aroD	b1693	EG10076
aroE	b3281	EG10077
aroF	b2601	EG10078
aroG	b0754	EG10079
aroH	b1704	EG10080
aroK	b3390	EG10081
aroL	b0388	EG10082
aroM	b0390	EG10083
aroP	b0112	EG10084
arpA	b4017	EG11208
arpB	b4494	G6926
arrS	b4704	G0-10694
arsB	b3502	EG12236
arsC	b3503	EG12237
arsR	b3501	EG12235
artI	b0863	EG11625
artJ	b0860	EG11628
artM	b0861	EG11627
artP	b0864	EG11624
artQ	b0862	EG11626
ascB	b2716	EG10085
ascF	b2715	EG10086
ascG	b2714	EG10087
ascrp	b4841	G0-17122
asd	b3433	EG10088
asflhD	b4839	G0-17119
aslA	b3801	EG10089
aslB	b3800	EG10090
asmA	b2064	EG11361
asnA	b3744	EG10091
asnB	b0674	EG10092
asnC	b3743	EG10093
asnS	b0930	EG10094
asnT	b1977	EG30020
asnU	b1986	EG30021
asnV	b1989	EG30022
asnW	b1984	G7069
asompR	b4842	G0-17123
aspA	b4139	EG10095
aspC	b0928	EG10096
asphoP	b4843	G0-17124
aspS	b1866	EG10097
aspT	b3760	EG30023
aspU	b0206	EG30024
aspV	b0216	EG30025
aspX	b4825	G0-17100
asr	b1597	G6855
astA	b1747	G6943
astB	b1745	G6941
astC	b1748	G6944
astD	b1746	G6942
astE	b1744	G6940
atoA	b2222	EG11670
atoB	b2224	EG11672
atoC	b2220	EG11668
atoD	b2221	EG11669
atoE	b2223	EG11671
atoS	b2219	EG11667
atpA	b3734	EG10098
atpB	b3738	EG10099
atpC	b3731	EG10100
atpD	b3732	EG10101
atpE	b3737	EG10102
atpF	b3736	EG10103
atpG	b3733	EG10104
atpH	b3735	EG10105
atpI	b3739	EG10106
avtA	b3572	EG10107
azoR	b1412	G6731
azuC	b4663	G0-10653
azuR	b4434	G0-17112
b0017	b0017	G6084
b0100	b0100	G6089
b0105	b0105	G6090
b0165	b0165	G6091
b0309	b0309	G6179
b0538	b0538	G6294
b0609	b0609	G6336
b0701	b0701	G8203
b0725	b0725	G6388
b1052	b1052	G6553
b1354	b1354	G6678
b1364	b1364	G6687
b1367	b1367	G6690
b1425	b1425	G6740
b1437	b1437	G6748
b1903	b1903	G7034
b2084	b2084	G7121
b2191	b2191	G7149
b2596	b2596	G7353
b2651	b2651	G7386
b2653	b2653	G7388
b3004	b3004	G7561
b3007	b3007	G7562
b3254	b3254	G7692
b3975	b3975	G7818
b4247	b4247	G7878
b4250	b4250	G7881
b4700	b4700	G0-16677
bacA	b3057	EG11665
baeR	b2079	EG11618
baeS	b2078	EG11617
bamA	b0177	G6093
bamB	b2512	G7320
bamC	b2477	EG10658
bamD	b2595	G7352
bamE	b2617	EG10952
barA	b2786	EG11367
basR	b4113	EG11615
basS	b4112	EG11614
bax	b3570	EG11360
baxL	b4794	G0-17040
bcp	b2480	EG10108
bcr	b2182	EG11419
bcsA	b3533	EG12260
bcsB	b3532	EG12259
bcsC	b3530	EG12257
bcsE	b3536	EG12263
bcsF	b3537	EG12264
bcsG	b3538	EG12265
bcsQ	b3534	EG12261
bcsZ	b3531	EG12258
bdcA	b4249	G7880
bdcR	b4251	G7882
bdm	b1481	G6776
beeE	b1151	G6595
bepA	b2494	G7311
betA	b0311	EG10109
betB	b0312	EG10110
betI	b0313	EG10111
betT	b0314	EG10112
bfd	b3337	EG11181
bfr	b3336	EG10113
bglA	b2901	G495
bglB	b3721	EG10114
bglF	b3722	EG10115
bglG	b3723	EG10116
bglH	b3720	EG11364
bglJ	b4366	G7948
bglX	b2132	EG12013
bhsA	b1112	G6570
bhsB	b4832	G0-17107
bidA	b1593	G6851
bioA	b0774	EG10117
bioB	b0775	EG10118
bioC	b0777	EG10119
bioD	b0778	EG10120
bioF	b0776	EG10121
bioH	b3412	EG10122
bioP	b3827	EG11471
bipA	b3871	EG11837
birA	b3973	EG10123
bisC	b3551	EG10124
blc	b4149	G7837
blr	b4409	G0-9561
bluF	b1163	G6603
bluR	b1162	G6602
bolA	b0435	EG10125
borD	b0557	G6312
brnQ	b0401	EG12168
bsmA	b4189	G7852
bssR	b0836	G6436
bssS	b1060	G6557
btsR	b2125	EG12006
btsS	b2126	EG12007
btsT	b4354	G7942
btuB	b3966	EG10126
btuC	b1711	EG10127
btuD	b1709	EG10128
btuE	b1710	EG10129
btuF	b0158	EG12334
btuR	b1270	EG10130
C0067		G0-8896
C0293	b4806	G0-8897
C0299		G0-8898
C0362		G0-8902
C0465		G0-8903
C0614		G0-8907
C0664		G0-8911
C0719		G0-8912
cadA	b4131	EG10131
cadB	b4132	EG10132
cadC	b4133	EG10133
caiA	b0039	EG11560
caiB	b0038	EG11559
caiC	b0037	EG11558
caiD	b0036	EG11557
caiE	b0035	EG12608
caiF	b0034	G6088
caiT	b0040	EG11561
can	b0126	EG12319
carA	b0032	EG10134
carB	b0033	EG10135
cas1	b2755	G7425
cas2	b2754	EG12845
cas3	b2761	EG12634
casA	b2760	G7430
casB	b2759	G7429
casC	b2758	G7428
casD	b2757	G7427
casE	b2756	G7426
cbeA	b2004	G7084
cbl	b1987	G7071
cbpA	b1000	EG12193
cbpM	b0999	EG12194
cbrA	b3690	EG11714
cbrB	b3716	EG11726
cbrC	b3717	EG11727
cbtA	b2005	G7085
cca	b3056	EG10136
ccmA	b2201	EG12059
ccmB	b2200	EG12058
ccmC	b2199	EG12057
ccmD	b2198	EG12169
ccmE	b2197	EG12055
ccmF	b2196	EG12054
ccmG	b2195	EG12053
ccmH	b2194	EG12052
ccp	b3518	EG12244
cdaR	b0162	EG12335
cdd	b2143	EG10137
cdgI	b1785	G6971
cdh	b3918	EG10138
cdsA	b0175	EG10139
cecR	b0796	EG12406
cedA	b1731	G6936
cfa	b1661	EG11531
chaA	b1216	EG11753
chaB	b1217	EG12402
chaC	b1218	EG12403
chbA	b1736	EG10142
chbB	b1738	EG10140
chbC	b1737	EG10141
chbF	b1734	EG10144
chbG	b1733	EG12198
chbR	b1735	EG10143
cheA	b1888	EG10146
cheB	b1883	EG10147
cheR	b1884	EG10148
cheW	b1887	EG10149
cheY	b1882	EG10150
cheZ	b1881	EG10151
chiA	b3338	EG11237
chiP	b0681	G6370
chiQ	b0682	G6371
chiX	b4585	G0-9382
chiZ	b4808	G0-17083
cho	b1741	G6937
chpB	b4225	EG12096
chpS	b4224	EG11250
cirA	b2155	EG10155
citC	b0618	G6344
citD	b0617	G6343
citE	b0616	G6342
citF	b0615	G6341
citG	b0613	G6339
citR	b0603	G6332
citT	b0612	G6338
citX	b0614	G6340
clcA	b0155	EG12331
clcB	b1592	G6850
clpA	b0882	EG10156
clpB	b2592	EG10157
clpP	b0437	EG10158
clpS	b0881	G6463
clpX	b0438	EG10159
clsA	b1249	EG11608
clsB	b0789	G6406
clsC	b1046	G6551
cmk	b0910	EG11265
cmoA	b1870	G7020
cmoB	b1871	G7021
cmoM	b0921	EG12167
cmtA	b2933	EG11792
cmtB	b2934	EG11791
cnoX	b0492	G6268
cnu	b1625	G6869
coaA	b3974	EG10922
coaD	b3634	EG11190
coaE	b0103	EG12312
cobB	b1120	G6577
cobC	b0638	G6349
cobS	b1992	EG12150
cobT	b1991	EG12151
cobU	b1993	EG13238
codA	b0337	EG11326
codB	b0336	EG11327
cof	b0446	G6246
comR	b1111	G6569
copA	b0484	G6260
corA	b3816	EG11463
cpdA	b3032	G7579
cpdB	b4213	EG10160
cpoB	b0742	EG12854
cpsB	b2049	EG10161
cpsG	b2048	EG10162
cpxA	b3911	EG10163
cpxP	b4484	G7816
cpxQ	b4716	G0-16649
cpxR	b3912	EG10020
cra	b0080	EG10338
crcB	b0624	EG12209
creA	b4397	EG11217
creB	b4398	EG11218
creC	b4399	EG10730
creD	b4400	EG10145
crl	b0240	EG11092
crp	b3357	EG10164
crr	b2417	EG10165
csdA	b2810	G7454
csdE	b2811	G7455
csgA	b1042	EG11489
csgB	b1041	G6547
csgC	b1043	G6548
csgD	b1040	G6546
csgE	b1039	G6545
csgF	b1038	G6544
csgG	b1037	G6543
csgI	b0964	G6498
csiE	b2535	G7329
cspA	b3556	EG10166
cspB	b1557	EG12203
cspC	b1823	EG12204
cspD	b0880	EG11111
cspE	b0623	EG12179
cspF	b1558	EG12205
cspG	b0990	G6511
cspH	b0989	G6510
cspI	b1552	G6825
csqR	b3884	EG11849
csrA	b2696	EG11447
csrB	b4408	G0-8785
csrC	b4457	G0-8874
csrD	b3252	EG10018
cstA	b0598	EG10167
cueO	b0123	EG12318
cueR	b0487	G6263
curA	b1449	G6760
cusA	b0575	EG12367
cusB	b0574	G6322
cusC	b0572	G6320
cusF	b0573	G6321
cusR	b0571	G6319
cusS	b0570	G6318
cutA	b4137	EG12177
cutC	b1874	G7024
cvpA	b2313	EG10169
cvrA	b1191	G6620
cyaA	b3806	EG10170
cyaR	b4438	G0-8878
cyaY	b3807	EG11653
cybB	b1418	EG10172
cybC	b4236	EG50008
cycA	b4208	EG12504
cydA	b0733	EG10173
cydB	b0734	EG10174
cydC	b0886	EG10012
cydD	b0887	EG11405
cydH	b4602	G0-10594
cydX	b4515	G0-10441
cynR	b0338	EG11421
cynS	b0340	EG10175
cynT	b0339	EG10176
cynX	b0341	EG10177
cyoA	b0432	EG10178
cyoB	b0431	EG10179
cyoC	b0430	EG10180
cyoD	b0429	EG10181
cyoE	b0428	EG10182
cysA	b2422	EG10183
cysB	b1275	EG10184
cysC	b2750	EG10185
cysD	b2752	EG10186
cysE	b3607	EG10187
cysG	b3368	EG10188
cysH	b2762	EG10189
cysI	b2763	EG10190
cysJ	b2764	EG10191
cysK	b2414	EG10192
cysM	b2421	EG10193
cysN	b2751	EG10194
cysP	b2425	EG10195
cysQ	b4214	EG10043
cysS	b0526	EG10196
cysT	b1910	G7991
cysU	b2424	EG10197
cysW	b2423	EG10198
cysZ	b2413	EG10003
cytR	b3934	EG10200
cyuA	b4470	G7622
cyuP	b3110	EG12754
dacA	b0632	EG10201
dacB	b3182	EG10202
dacC	b0839	EG10203
dacD	b2010	EG11893
dadA	b1189	EG11407
dadX	b1190	EG11408
dam	b3387	EG10204
damX	b3388	EG11183
dapA	b2478	EG10205
dapB	b0031	EG10206
dapD	b0166	EG10207
dapE	b2472	EG10208
dapF	b3809	EG10209
dauA	b1206	EG12392
dbpA	b1343	EG10210
dcd	b2065	EG11418
dcm	b1961	EG10211
dcp	b1538	EG10212
dcrB	b3472	G7767
dctA	b3528	EG20044
dctR	b3507	EG11889
dcuA	b4138	EG11225
dcuB	b4123	EG10006
dcuC	b0621	G6347
dcuD	b3227	G7679
dcuR	b4124	G7826
dcuS	b4125	G7827
dcyD	b1919	G7038
ddlA	b0381	EG10213
ddlB	b0092	EG10214
ddpA	b1487	G6781
ddpB	b1486	G6780
ddpC	b1485	G6779
ddpD	b1484	G6778
ddpF	b1483	G6777
ddpX	b1488	G6782
deaD	b3162	EG10215
decR	b0447	G6247
dedA	b2317	EG10216
dedD	b2314	EG10218
def	b3287	EG11440
degP	b0161	EG10463
degQ	b3234	G7682
degS	b3235	EG11652
deoA	b4382	EG10219
deoB	b4383	EG10220
deoC	b4381	EG10221
deoD	b4384	EG10222
deoR	b0840	EG10223
der	b2511	G7319
dfp	b3639	EG10004
dgcC	b0385	EG11257
dgcE	b2067	EG12396
dgcF	b1522	G6808
dgcI	b0834	G6434
dgcJ	b1786	G6972
dgcM	b1341	G6673
dgcN	b2604	EG12880
dgcP	b1794	G6980
dgcQ	b1956	G7049
dgcT	b1025	G6532
dgcZ	b1535	EG11643
dgd		G26
dgkA	b4042	EG10224
dgoA	b4477	EG20049
dgoD	b4478	GB4478
dgoK	b3693	EG20051
dgoR	b4479	G7789
dgoT	b3691	EG20053
dgt	b0160	EG10225
dhaK	b1200	G6627
dhaL	b1199	G6626
dhaM	b1198	EG12399
dhaR	b1201	G6628
diaA	b3149	EG12780
dicA	b1570	EG10226
dicB	b1575	EG10227
dicC	b1569	EG10228
dicD	b4135	EG12176
dicF	b1574	EG31115
digH	b1491	G6785
dinB	b0231	G6115
dinD	b3645	EG11193
dinF	b4044	EG11491
dinG	b0799	EG11357
dinI	b1061	G6558
dinJ	b0226	G6110
dinQ	b4613	G0-9981
djlA	b0055	EG11570
djlB	b0646	G6353
djlC	b0649	G6356
dkgA	b3012	G7565
dkgB	b0207	EG11648
dksA	b0145	EG10230
dld	b2133	EG10231
dmlA	b1800	G6986
dmlR	b1799	G6985
dmsA	b0894	EG10232
dmsB	b0895	EG10233
dmsC	b0896	EG10234
dmsD	b1591	G6849
dnaA	b3702	EG10235
dnaB	b4052	EG10236
dnaC	b4361	EG10237
dnaE	b0184	EG10238
dnaG	b3066	EG10239
dnaJ	b0015	EG10240
dnaK	b0014	EG10241
dnaN	b3701	EG10242
dnaQ	b0215	EG10243
dnaT	b4362	EG10244
dnaX	b0470	EG10245
dolP	b3150	G7644
dosC	b1490	G6784
dosP	b1489	G6783
dpaA	b0224	G6108
dpiA	b0620	G6346
dpiB	b0619	G6345
dppA	b3544	EG10248
dppB	b3543	EG12625
dppC	b3542	EG12626
dppD	b3541	EG12627
dppF	b3540	EG12628
dps	b0812	EG11415
drpB	b1963	G7051
dsbA	b3860	EG11297
dsbB	b1185	EG11393
dsbC	b2893	EG11070
dsbD	b4136	EG12178
dsbG	b0604	G6333
dsdA	b2366	EG10249
dsdC	b2364	EG13161
dsdX	b2365	EG10250
dsrA	b1954	G7047
dsrB	b1952	G7045
dtd	b3887	EG11852
dtpA	b1634	G6877
dtpB	b3496	EG12232
dtpC	b4130	EG12469
dtpD	b0709	G6378
dusA	b4049	EG11932
dusB	b3260	EG11311
dusC	b2140	EG12022
dut	b3640	EG10251
dxr	b0173	EG12715
dxs	b0420	G6237
eaeH	b0297	EG12161
eamA	b1533	EG11639
eamB	b2578	EG12445
ebgA	b3076	EG10252
ebgC	b3077	EG10253
ebgR	b3075	EG10254
ecnA	b4410	G0-41
ecnB	b4411	G0-9562
eco	b2209	EG10255
ecpA	b0293	G6164
ecpB	b0292	G6163
ecpC	b0291	G6162
ecpD	b0290	G6161
ecpE	b0289	G6160
eda	b1850	EG10256
edd	b1851	EG10257
efeB	b1019	EG11735
efeO	b1018	G6527
efeU	b4490	G6525
efp	b4147	EG12099
elaA	b2267	G7174
elaB	b2266	G7173
elaD	b2269	G7176
elbB	b3209	EG11383
elfA	b0938	G6480
elfC	b0940	G6482
elfD	b0939	G6481
elfG	b0941	G6483
elyC	b0920	EG12166
emrA	b2685	EG11354
emrB	b2686	EG11439
emrD	b3673	EG11693
emrE	b0543	EG10629
emrK	b2368	G7233
emrY	b2367	EG13283
emtA	b1193	G6622
endA	b2945	EG11336
eno	b2779	EG10258
entA	b0596	EG10259
entB	b0595	EG10260
entC	b0593	EG10261
entD	b0583	EG10262
entE	b0594	EG10263
entF	b0586	EG10264
entH	b0597	EG11105
entS	b0591	EG11104
envC	b3613	EG12297
envR	b3264	EG11741
envY	b0566	EG10268
envZ	b3404	EG10269
epd	b2927	EG10368
epmA	b4155	EG11211
epmB	b4146	G7836
epmC	b2326	G7201
eptA	b4114	EG11613
eptB	b3546	EG12267
eptC	b3955	EG11914
era	b2566	EG10270
erpA	b0156	EG12332
esrE	b4707	G0-10737
essD	b0554	G6309
essQ	b1556	G6829
etk	b0981	EG11826
etp	b0982	G6503
ettA	b4391	EG12343
eutA	b2451	G7281
eutB	b2441	EG50006
eutC	b2440	EG50007
eutD	b2458	G7288
eutE	b2455	G7285
eutG	b2453	G7283
eutH	b2452	G7282
eutJ	b2454	G7284
eutK	b2438	G7270
eutL	b2439	G7271
eutM	b2457	G7287
eutN	b2456	G7286
eutP	b2461	G7291
eutQ	b2460	G7290
eutR	b2437	EG12190
eutS	b2462	G7292
eutT	b2459	G7289
evgA	b2369	EG11609
evgL	b4781	G0-17027
evgS	b2370	EG11610
exbB	b3006	EG10271
exbD	b3005	EG10272
exoD	b0539	G6295
exoX	b1844	G7016
exuR	b3094	EG12739
exuT	b3093	EG12738
eyeA	b4690	G0-10696
fabA	b0954	EG10273
fabB	b2323	EG10274
fabD	b1092	EG11317
fabF	b1095	EG12606
fabG	b1093	EG11318
fabH	b1091	EG10277
fabI	b1288	EG11528
fabR	b3963	EG11394
fabY	b3888	EG11853
fabZ	b0180	EG11284
fadA	b3845	EG10278
fadB	b3846	EG10279
fadD	b1805	EG11530
fadE	b0221	G6105
fadH	b3081	G36
fadI	b2342	G7213
fadJ	b2341	G7212
fadK	b1701	EG12357
fadL	b2344	EG10280
fadM	b0443	G6244
fadR	b1187	EG10281
fau	b2912	EG11158
fbaA	b2925	EG10282
fbaB	b2097	G7129
fbp	b4232	EG10283
fcl	b2052	EG11788
fdhD	b3895	EG11859
fdhE	b3891	EG10284
fdhF	b4079	EG10285
fdnG	b1474	EG11227
fdnH	b1475	EG11228
fdnI	b1476	EG11229
fdoG	b3894	EG11858
fdoH	b3893	EG11857
fdoI	b3892	EG11856
fdrA	b0518	G6287
fdx	b2525	EG11328
feaB	b1385	G7961
feaR	b1384	G6706
fecA	b4291	EG10286
fecB	b4290	EG10287
fecC	b4289	EG10288
fecD	b4288	EG10289
fecE	b4287	EG10290
fecI	b4293	EG10291
fecR	b4292	EG10292
feoA	b3408	EG12101
feoB	b3409	EG12102
feoC	b3410	EG12933
fepA	b0584	EG10293
fepB	b0592	EG10294
fepC	b0588	EG10295
fepD	b0590	EG10296
fepE	b0587	EG10297
fepG	b0589	EG10298
fes	b0585	EG10299
fetA	b0490	G6266
fetB	b0491	G6267
ffh	b2610	EG10300
ffs	b0455	EG30027
fhlA	b2731	EG10301
fhuA	b0150	EG10302
fhuB	b0153	EG10303
fhuC	b0151	EG10304
fhuD	b0152	EG10305
fhuE	b1102	EG10306
fhuF	b4367	G7949
fic	b3361	EG10307
fieF	b3915	EG11873
fimA	b4314	EG10308
fimB	b4312	EG10309
fimC	b4316	EG10310
fimD	b4317	EG10311
fimE	b4313	EG10312
fimF	b4318	EG10313
fimG	b4319	EG10314
fimH	b4320	EG10315
fimI	b4315	EG11974
fimR2	b4838	G0-17115
fimZ	b0535	EG11103
fis	b3261	EG10317
fiu	b0805	G6414
fixA	b0041	EG11562
fixB	b0042	EG11563
fixC	b0043	EG11564
fixX	b0044	EG11565
fklB	b4207	G7865
fkpA	b3347	G7716
fkpB	b0028	EG11080
fldA	b0684	EG10318
fldB	b2895	EG12697
flgA	b1072	G357
flgB	b1073	G358
flgC	b1074	G359
flgD	b1075	G360
flgE	b1076	G361
flgF	b1077	G362
flgG	b1078	G363
flgH	b1079	G364
flgI	b1080	G365
flgJ	b1081	G366
flgK	b1082	EG11967
flgL	b1083	EG11545
flgM	b1071	G369
flgN	b1070	G6562
flgO	b4826	G0-17101
flhA	b1879	G370
flhB	b1880	G7028
flhC	b1891	EG10319
flhD	b1892	EG10320
flhE	b1878	G7027
fliA	b1922	EG11355
fliC	b1923	EG10321
fliD	b1924	EG10841
fliE	b1937	EG11346
fliF	b1938	EG11347
fliG	b1939	EG11654
fliH	b1940	EG11656
fliI	b1941	G377
fliJ	b1942	G378
fliK	b1943	G379
fliL	b1944	EG10322
fliM	b1945	EG10323
fliN	b1946	EG10324
fliO	b1947	EG11224
fliP	b1948	EG11975
fliQ	b1949	EG11976
fliR	b1950	EG11977
fliS	b1925	EG11388
fliT	b1926	EG11389
fliX	b4827	G0-17102
fliZ	b1921	EG11356
flk	b2321	EG10229
flu	b2000	G7080
flxA	b1566	G6833
fmt	b3288	EG11268
fnr	b1334	EG10325
fnrS	b4699	G0-10677
focA	b0904	EG11258
focB	b2492	G7309
folA	b0048	EG10326
folB	b3058	EG11673
folC	b2315	EG10327
folD	b0529	EG10328
folE	b2153	EG11375
folK	b0142	EG11374
folM	b1606	G6862
folP	b3177	EG50011
folX	b2303	G7195
fpr	b3924	EG10628
frc	b2374	G7237
frdA	b4154	EG10330
frdB	b4153	EG10331
frdC	b4152	EG10332
frdD	b4151	EG10333
fre	b3844	EG10334
frlA	b3370	EG12908
frlB	b3371	G7723
frlC	b4474	G7724
frlD	b3374	G7726
frlR	b3375	G7727
frmA	b0356	EG50010
frmB	b0355	G6208
frmR	b0357	G6209
frr	b0172	EG10335
frsA	b0239	EG11091
fruA	b2167	EG10336
fruB	b2169	G7990
fruK	b2168	EG10337
fruL	b0079	EG11273
frvA	b3900	EG11864
frvB	b3899	EG11863
frvR	b3897	EG11861
frvX	b3898	EG11862
frwB	b3950	EG11909
frwC	b3949	EG11908
frwD	b3953	EG11912
fryA	b2383	G7246
fryB	b2387	G7250
fryC	b2386	G7249
fsaA	b0825	G6428
fsaB	b3946	EG11905
fsr	b0479	G6256
ftnA	b1905	EG10921
ftnB	b1902	G7033
ftp	b2214	EG12073
ftsA	b0094	EG10339
ftsB	b2748	G7424
ftsE	b3463	EG10340
ftsH	b3178	EG11506
ftsI	b0084	EG10341
ftsK	b0890	G6464
ftsL	b0083	EG11086
ftsN	b3933	EG11529
ftsO	b4810	G0-17085
ftsP	b3017	EG11376
ftsQ	b0093	EG10342
ftsW	b0089	EG10344
ftsX	b3462	EG10345
ftsY	b3464	EG10346
ftsZ	b0095	EG10347
fucA	b2800	EG10348
fucI	b2802	EG10349
fucK	b2803	EG10350
fucO	b2799	EG10351
fucP	b2801	EG10352
fucR	b2805	EG10353
fucU	b2804	EG10355
fumA	b1612	EG10356
fumB	b4122	EG10357
fumC	b1611	EG10358
fumD	b1675	G6903
fumE	b2929	EG11162
fur	b0683	EG10359
fusA	b3340	EG10360
fxsA	b4140	G7832
G0-10697		G0-10697
G0-10698		G0-10698
G0-10700		G0-10700
G0-10702		G0-10702
G0-10703		G0-10703
G0-10704		G0-10704
G0-10705		G0-10705
G0-10706		G0-10706
gabD	b2661	EG11329
gabP	b2663	EG11330
gabT	b2662	EG10361
gadA	b3517	EG50009
gadB	b1493	EG11490
gadC	b1492	G6786
gadE	b3512	EG11544
gadF	b4718	G0-16680
gadW	b3515	EG12242
gadX	b3516	EG12243
gadY	b4452	G0-8914
galE	b0759	EG10362
galF	b2042	G7093
galK	b0757	EG10363
galM	b0756	EG11698
galP	b2943	EG12148
galR	b2837	EG10364
galS	b2151	EG10365
galT	b0758	EG10366
galU	b1236	EG11319
gapA	b1779	EG10367
gapC	b4493	G8205
garD	b3128	EG12522
garK	b3124	EG11175
garL	b3126	EG10016
garP	b3127	EG12760
garR	b3125	EG11176
gatA	b2094	EG12414
gatB	b2093	EG12415
gatC	b2092	EG12416
gatD	b2091	EG12417
gatR	b4498	EG12162
gatY	b2096	EG12419
gatZ	b2095	G7128
gcd	b0124	EG10369
gcl	b0507	EG11583
gcvA	b2808	EG11795
gcvB	b4443	G0-8867
gcvH	b2904	EG10371
gcvP	b2903	EG11810
gcvR	b2479	EG11149
gcvT	b2905	EG11442
gdhA	b1761	EG10372
gdx	b4148	EG11616
gfcA	b0987	G6508
gfcB	b0986	G6507
gfcC	b0985	G6506
gfcD	b0984	G6505
gfcE	b0983	G6504
ggt	b3447	EG10374
ghoS	b4128	G7830
ghoT	b4559	G0-10472
ghrA	b1033	G6539
ghrB	b3553	EG12272
ghxP	b4064	EG11939
ghxQ	b4464	G7503
glaH	b2659	G7394
