gene,1000:1_0h_1,1000:1_0h_2,1000:1_0h_3,1000:1_24h_1,1000:1_24h_2,1000:1_24h_3,1000:1_4h_1,1000:1_4h_2,1000:1_4h_3,1000:1_8h_1,1000:1_8h_2,1000:1_8h_3,1:1000_0h_1,1:1000_0h_2,1:1000_0h_3,1:1000_24h_1,1:1000_24h_2,1:1000_24h_3,1:1000_4h_1,1:1000_4h_2,1:1000_4h_3,1:1000_8h_1,1:1000_8h_2,1:1000_8h_3,1:1_0h_1,1:1_0h_2,1:1_0h_3,1:1_24h_1,1:1_24h_2,1:1_24h_3,1:1_4h_1,1:1_4h_2,1:1_4h_3,1:1_8h_1,1:1_8h_2,1:1_8h_3,E_coli_0h_1,E_coli_0h_2,E_coli_0h_3,E_coli_24h_1,E_coli_24h_2,E_coli_24h_3,E_coli_4h_1,E_coli_4h_2,E_coli_4h_3,E_coli_8h_1,E_coli_8h_2,E_coli_8h_3,P_putida_0h_1,P_putida_0h_2,P_putida_0h_3,P_putida_24h_1,P_putida_24h_2,P_putida_24h_3,P_putida_4h_1,P_putida_4h_2,P_putida_4h_3,P_putida_8h_1,P_putida_8h_2,P_putida_8h_3
b0011,14,37,20,37,52,28,50,43,23,50,49,38,0,0,0,5,8,7,0,3,0,3,0,3,19,19,10,28,24,11,35,48,21,49,51,40,32,20,16,130,99,108,59,47,18,60,62,59,0,0,0,0,0,0,0,0,0,0,0,0
b0012,0,1,0,2,2,1,4,2,1,12,5,3,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,3,0,2,4,4,3,3,2,3,0,0,0,5,2,3,1,3,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0
b0013,7,10,0,1,1,0,3,4,6,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,8,1,0,0,1,0,0,1,3,0,2,1,0,1,0,3,4,3,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
b0014,34706,58663,46834,55540,86792,53357,34097,33973,38074,87269,121655,60402,161,506,596,16054,13276,6479,261,1454,286,6770,3321,576,41995,74725,20775,32324,31654,15623,66482,28608,25145,122409,113954,119017,24757,85775,81889,152265,92461,61448,40069,53575,41502,106857,119822,36165,40,37,0,146,71,0,53,358,0,58,38,55
b0015,2308,2764,3917,4429,6322,4309,1391,1613,2915,3588,5369,2881,3,28,35,1153,814,564,22,116,14,359,230,36,2086,2525,1674,2790,2476,1192,2561,1346,1464,5605,5729,5865,1095,3412,2509,8623,4751,3695,1659,2001,3167,3848,4401,1951,2,1,0,6,6,0,2,18,0,1,1,3
b0016,67,97,156,44,63,65,80,80,107,83,84,75,0,4,4,14,22,4,2,6,4,5,13,1,98,78,56,46,40,20,68,28,57,67,79,108,56,140,119,144,94,52,97,90,121,101,130,81,0,0,0,0,0,0,0,0,0,0,0,0
b0018,3,4,2,18,27,12,1,12,5,12,26,19,0,3,0,4,4,1,0,0,0,2,0,0,8,3,3,9,9,6,13,9,1,11,11,8,1,8,1,30,23,42,6,15,7,13,14,12,0,0,0,0,0,0,0,0,0,1,0,0
b0019,1648,1919,730,8115,9663,7100,2072,1879,964,4373,5725,4327,4,15,25,1548,1503,842,11,44,4,77,101,33,1442,1713,695,4527,4220,2899,2441,2599,1581,5254,5221,5020,575,1569,519,15586,12965,14700,2164,1852,1111,4618,5691,4316,4,1,0,8,5,0,8,25,0,3,2,0
b0020,315,470,192,143,159,99,929,927,513,480,553,572,2,2,4,60,88,31,3,9,3,45,34,14,284,425,258,70,97,48,747,625,593,222,289,256,201,311,162,364,500,561,917,1051,496,504,524,592,1,1,0,2,2,0,0,1,0,0,0,0
b0021,3,0,0,0,0,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,4,0,0,0,0,2,2,2,0,1,3,4,2,1,0,0,3,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
b0022,63,20,27,0,0,0,1,2,10,4,4,0,0,0,1,0,1,0,0,0,1,0,2,0,7,11,11,0,0,0,3,0,4,1,1,1,19,9,2,0,1,2,7,3,8,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0
b0023,4869,3612,4414,241,396,219,576,574,2507,1297,1701,1114,44,80,187,66,128,9,40,106,94,113,265,57,1513,899,2170,51,54,121,163,235,1065,495,630,739,5141,3787,1070,2512,2686,3815,454,851,3190,1976,1852,1407,3,1,0,15,2,0,2,25,0,1,1,2
b0024,19,26,7,70,74,69,90,48,9,82,122,107,0,0,0,28,18,4,0,1,0,3,3,3,15,31,15,51,27,20,54,64,33,67,58,71,30,29,43,231,149,149,98,80,10,74,144,128,0,0,0,0,0,0,0,0,0,0,0,0
b0025,2738,3406,2452,421,518,209,1185,1519,2412,1774,2104,1164,25,27,31,104,93,44,15,42,19,178,135,53,1948,1829,1708,138,119,116,735,664,1205,648,845,608,2857,2499,1176,1511,1304,1435,1116,1790,2376,1989,1894,1326,2,1,0,5,12,0,0,17,0,1,1,0
b0026,12929,12132,15821,2891,2913,2133,5678,5650,11750,8953,10791,8586,76,160,143,550,496,210,84,242,67,1331,1057,218,9887,8503,16496,1072,1037,460,3986,2413,8106,3995,5230,4471,13016,16266,15969,6284,4609,4967,7527,8987,12358,12476,11189,9917,4,5,0,21,13,0,5,63,0,7,4,7
b0027,1028,1035,961,188,236,215,272,306,894,479,720,464,10,13,7,47,29,22,8,25,12,82,73,15,917,828,954,72,64,51,159,143,604,225,304,311,687,907,882,555,467,551,286,341,733,536,646,596,0,1,0,1,2,0,0,3,0,1,0,0
b0028,1086,1107,631,102,132,74,311,297,943,423,487,433,3,5,4,33,26,21,3,15,5,53,20,12,819,671,633,45,32,29,135,147,537,176,222,220,606,664,494,327,294,357,273,297,742,551,538,513,0,0,0,3,1,0,0,3,0,0,1,0
b0029,2301,2690,1598,222,297,173,612,707,1539,800,909,795,11,19,10,73,56,14,2,22,5,76,72,24,1675,1625,1219,71,98,55,326,225,762,403,452,504,1195,1448,913,906,820,800,631,697,1706,1038,1067,860,0,0,0,3,7,0,0,16,0,0,1,0
b0030,132,127,105,5,11,0,418,563,946,104,108,229,1,6,12,3,2,1,2,26,3,137,83,34,300,195,409,0,2,2,77,78,878,13,30,34,146,237,321,12,12,20,434,1059,984,194,112,185,0,0,0,0,6,0,0,0,0,0,0,0
b0031,832,798,607,213,181,104,854,1095,959,681,887,605,5,12,9,32,21,13,3,15,1,100,59,17,756,943,560,55,71,64,523,487,778,314,359,247,856,943,529,549,536,636,975,1248,901,762,727,513,0,0,0,2,1,0,0,1,0,0,1,0
b0032,261,259,177,19,9,2,126,308,4957,4505,4268,3105,23,69,79,6,4,0,9,84,30,499,474,84,373,311,410,3,4,0,60,43,1488,14,51,45,113,122,48,31,35,26,147,364,4617,7809,4017,4244,0,2,0,1,0,0,1,2,0,2,0,0
b0033,834,332,343,79,52,24,380,785,7498,20265,16070,23386,127,206,184,19,16,6,39,159,60,1095,1824,219,1044,329,1418,12,22,12,185,126,8911,93,174,156,357,423,456,200,148,195,412,1328,3424,28602,18781,35583,2,3,0,8,4,0,2,5,0,7,5,0
b0034,307,695,120,20,27,8,296,567,361,1136,1432,909,20,17,22,12,14,0,5,18,14,207,165,79,1712,1683,858,14,20,7,268,247,1183,68,93,75,806,1830,563,19,37,53,426,838,452,1060,1345,930,1,0,0,2,1,0,0,6,0,1,0,0
b0035,15,24,19,20,24,20,53,60,25,47,37,35,0,3,0,8,1,0,0,4,0,9,6,1,22,19,7,4,7,6,17,29,47,17,39,29,12,38,16,64,59,61,65,86,39,48,58,49,0,0,0,0,0,0,0,0,0,0,0,0
b0036,3,12,20,1,0,0,27,48,29,19,16,7,0,0,0,1,2,0,0,0,0,1,4,3,33,17,13,0,1,0,6,8,25,4,8,2,4,16,27,5,2,4,45,70,35,17,21,13,0,0,0,0,0,0,0,0,0,0,0,0
b0037,163,180,168,18,13,24,171,198,91,94,82,102,4,1,0,7,4,6,0,10,1,16,3,4,61,60,92,15,8,8,64,71,119,18,34,39,163,108,104,52,52,54,211,364,130,120,95,64,0,0,0,1,0,0,0,0,0,0,0,0
b0038,401,488,193,54,66,32,351,455,202,141,189,126,0,0,2,3,8,4,0,3,2,17,13,6,291,376,159,27,37,18,145,143,154,87,50,50,237,167,163,109,106,103,303,468,252,205,154,150,0,0,0,0,1,0,0,3,0,0,0,0
b0039,246,331,183,83,96,72,286,335,216,258,211,199,0,6,1,21,16,11,1,9,2,21,20,2,261,453,178,48,47,30,214,228,305,80,79,111,170,189,174,129,123,136,279,384,223,315,280,227,0,0,0,0,0,0,0,2,0,1,0,0
b0040,7,10,11,1,5,1,10,12,10,7,6,5,0,0,2,0,0,0,0,0,0,0,1,0,13,14,11,2,2,4,2,5,5,2,2,9,11,13,14,7,8,12,7,17,16,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
b0041,6,6,8,1,4,1,16,12,11,5,5,6,0,0,0,2,0,0,0,1,3,11,5,1,33,9,19,1,1,1,3,8,22,4,4,5,5,15,19,7,14,12,3,23,25,9,11,5,0,0,0,0,1,0,0,0,0,0,0,0
b0042,11,11,9,7,2,1,9,24,20,9,17,13,0,0,0,0,0,1,0,0,0,5,7,2,33,14,25,2,0,1,8,6,17,1,1,6,7,22,33,4,4,4,16,39,26,12,3,17,0,0,0,0,0,0,0,0,0,0,0,0
b0043,4,15,5,2,3,0,5,11,26,27,9,24,0,0,0,0,0,0,0,0,0,7,6,1,44,25,26,0,1,0,13,8,54,1,6,11,13,20,32,11,7,14,16,28,21,29,26,18,0,0,0,0,0,0,0,0,0,0,0,0
b0044,3,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,1,2,3,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
b0045,4,5,3,2,3,1,4,5,13,1,3,6,1,0,0,1,0,1,2,0,0,1,4,0,9,8,8,0,1,0,4,1,13,2,1,6,4,6,5,3,5,8,8,10,9,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0
b0046,57,131,52,42,69,37,242,321,156,196,168,163,0,0,1,14,27,21,0,2,1,8,4,3,37,60,38,56,42,119,115,135,178,100,97,91,47,82,39,236,253,218,215,296,194,199,200,158,0,0,0,0,4,0,0,1,0,0,1,0
b0047,241,309,152,147,168,87,1164,1079,464,641,543,777,1,2,3,47,40,53,0,2,1,20,34,5,103,125,142,108,74,186,452,358,441,333,395,366,165,381,227,654,562,480,1529,1483,606,735,639,831,0,0,0,1,3,0,0,3,0,0,0,0
b0048,2168,1818,1180,1138,1132,596,1072,1140,1177,2206,2203,2415,7,4,18,202,104,53,2,16,6,46,41,8,699,716,619,511,411,202,1012,1009,736,1165,1143,1042,655,652,244,2980,2137,2291,1271,1229,1020,1827,2424,2714,4,0,0,0,1,0,1,8,0,1,1,0
b0049,928,849,868,408,436,330,1039,926,726,527,611,514,0,3,3,83,108,32,1,9,5,34,28,2,653,415,538,190,182,176,628,506,600,372,407,375,774,892,666,1178,1351,1586,1161,1017,690,671,536,578,1,0,0,0,3,0,1,3,0,0,0,0
b0050,265,204,210,239,335,234,551,229,247,335,363,307,1,2,11,85,61,31,2,7,7,13,18,7,199,100,164,127,146,110,381,350,203,241,264,248,240,211,162,822,872,1040,569,501,207,475,445,301,0,0,0,0,1,0,0,1,0,0,1,0
b0051,2040,1562,1968,1737,1837,1536,1522,1210,1819,1429,1497,1353,3,20,25,342,259,180,5,29,13,48,54,14,1413,743,2042,1050,894,686,1022,881,1199,951,1061,1176,1491,1601,939,4095,2874,3648,1454,1601,1741,1630,1605,1619,1,0,0,4,1,0,0,18,0,1,0,0
b0052,898,794,772,32,46,12,598,600,1016,409,572,411,1,7,5,17,11,7,2,16,3,23,44,14,1008,577,917,11,4,16,391,294,527,123,279,164,619,800,443,90,113,103,551,655,1002,606,553,487,1,0,0,0,0,0,1,7,0,0,2,0
b0053,4598,5071,5004,1358,1468,1142,4145,3777,5395,5183,6322,5923,18,34,55,374,276,143,26,59,11,359,370,52,4871,4248,5761,646,553,338,3603,3185,4352,2470,3046,2663,3835,5181,4709,2494,2238,2402,4748,5424,4613,6607,6334,5573,2,0,0,4,3,0,3,33,0,2,2,5
b0054,15680,15957,12043,8893,10231,6498,16714,16648,12767,17472,21922,16055,50,65,119,1775,1587,785,51,192,56,983,747,252,8729,8566,9267,4227,4025,2576,9570,9638,8487,10888,11997,9629,12471,11620,6575,19868,18716,17980,16575,19431,14323,19049,21401,16347,11,10,0,20,29,0,19,105,0,4,14,0
b0055,628,546,473,23,45,24,239,244,431,163,239,131,4,3,13,9,10,4,5,6,0,8,32,11,251,254,381,19,15,17,107,119,244,60,68,61,432,385,216,134,154,219,200,257,413,234,207,174,0,0,0,1,0,0,0,0,0,0,0,0
b0056,238,168,126,39,71,37,64,81,92,79,103,64,1,1,4,6,5,10,1,7,1,8,0,3,55,46,99,31,31,20,67,85,61,32,40,29,108,75,52,130,148,112,83,93,84,93,91,46,0,0,0,0,0,0,0,1,0,0,0,0
b0057,3,2,1,0,0,3,6,2,5,2,2,4,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,1,1,2,0,1,0,0,3,0,0,0,0,0,4,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
b0058,349,282,314,341,427,290,168,131,163,363,446,371,3,5,7,69,54,31,4,6,0,23,26,1,190,153,343,221,218,85,227,177,150,360,455,408,355,629,174,1074,766,769,198,221,69,452,417,391,0,0,0,2,1,0,0,3,0,1,1,0
b0059,5524,3951,4265,1703,2178,1221,1695,1565,991,2278,2397,2156,4,46,45,462,400,129,22,60,15,149,143,16,1205,1214,2439,918,879,378,1162,960,679,1776,1877,2076,2126,2893,1013,6488,4941,4503,1999,1942,1323,2876,2468,2160,0,0,0,4,2,0,0,27,0,0,1,1
b0060,617,667,361,502,570,269,910,848,564,1074,1206,1010,4,8,11,114,127,52,1,11,6,38,24,12,349,463,594,191,207,150,874,682,534,746,904,752,323,582,524,1667,1474,1786,893,1026,559,1162,1320,1230,1,0,0,0,2,0,0,3,0,1,0,0
b0061,26,26,9,11,18,25,61,100,49,69,57,86,1,0,0,1,0,0,1,0,0,4,0,0,58,51,18,6,7,6,13,23,82,40,18,26,29,35,56,40,39,40,76,215,70,57,89,97,0,0,0,0,0,0,0,0,0,0,0,0
b0062,75,96,52,67,94,34,263,422,163,310,307,440,1,0,4,11,15,0,0,5,0,36,11,3,148,167,67,31,19,12,87,117,285,99,121,100,72,102,221,157,175,190,286,792,227,290,357,472,1,0,0,0,0,0,1,0,0,0,0,0
b0063,28,34,11,82,118,45,129,297,90,405,295,484,2,0,1,15,11,0,0,3,0,25,6,4,112,117,57,15,23,23,54,52,95,121,167,130,80,217,97,191,213,216,193,535,98,345,365,509,0,0,0,0,0,0,0,0,0,0,0,0
b0064,131,206,112,214,247,123,757,1528,845,1636,1474,1850,20,15,20,29,35,23,17,47,14,310,165,87,715,811,277,91,80,92,654,585,716,480,621,519,456,844,482,612,605,713,995,2414,657,1580,1761,2081,1,1,0,2,0,0,1,0,0,3,2,0
b0065,149,148,106,347,344,247,677,620,496,533,617,534,1,3,7,89,61,48,5,7,2,47,36,6,309,314,126,240,222,151,306,365,445,287,354,373,294,168,478,966,811,859,630,1355,479,589,688,573,0,1,0,1,0,0,0,2,0,0,0,0
b0066,38,56,32,17,14,9,37,30,101,42,46,37,1,4,0,1,3,0,3,8,0,8,7,0,58,35,41,2,8,6,29,23,79,11,16,19,46,101,25,31,31,32,31,36,77,62,60,76,0,0,0,0,0,0,0,1,0,0,0,0
b0067,92,70,52,3,8,3,34,24,72,21,39,43,1,2,1,1,2,0,0,0,0,8,1,1,35,28,50,0,0,0,14,12,42,5,23,17,41,64,21,20,20,15,33,41,110,35,46,45,0,0,0,0,0,0,0,0,0,0,0,0
b0068,574,678,242,27,28,14,328,359,862,222,251,127,1,4,0,4,6,0,1,7,2,30,29,4,371,405,130,9,10,3,178,205,359,36,38,31,181,232,79,104,134,141,248,412,868,273,211,186,0,0,0,0,1,0,0,8,0,0,0,0
b0069,640,1013,414,69,69,44,747,809,888,467,631,493,2,16,5,14,23,5,3,20,3,95,65,19,413,729,342,31,21,21,576,521,483,142,159,163,478,685,405,287,271,266,740,1023,783,554,623,582,1,1,0,0,3,0,0,5,0,0,0,0
b0070,303,379,149,283,315,200,335,340,262,437,475,274,6,4,3,98,76,29,1,7,2,37,24,6,259,288,142,287,232,106,234,269,193,219,204,189,284,252,116,477,482,571,273,338,221,362,368,375,2,0,0,0,2,0,1,2,0,0,0,0
b0071,56,101,75,144,209,187,174,205,189,283,231,352,3,8,0,57,15,23,0,8,0,40,26,14,75,79,47,102,83,77,104,109,154,167,155,164,94,97,76,419,371,477,189,206,140,235,283,399,0,0,0,1,2,0,0,0,0,0,0,0
b0072,238,242,234,102,115,69,349,360,281,439,381,498,5,4,4,38,49,19,3,3,1,85,60,31,213,172,91,43,53,51,189,161,262,137,176,160,197,197,118,456,362,370,425,432,312,501,436,598,0,0,0,3,0,0,0,1,0,0,0,0
b0073,180,143,141,83,107,36,211,235,194,283,278,201,2,4,0,23,19,12,1,4,0,37,17,11,124,135,50,26,47,41,114,122,128,127,93,95,118,100,84,344,365,270,252,293,218,306,280,277,0,0,0,0,0,0,0,0,0,0,0,0
b0074,274,216,183,92,153,117,246,311,352,271,302,245,19,1,4,25,23,11,5,6,1,76,25,9,199,170,92,46,46,77,180,175,227,101,118,82,130,102,124,524,525,437,284,345,351,302,346,210,0,0,0,0,1,0,1,0,0,0,1,0
b0075,1,0,0,0,0,3,4,0,7,0,0,4,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,1,0,0,1,3,4,7,1,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
b0076,108,161,70,30,26,34,107,170,94,49,82,56,1,3,1,5,1,0,0,2,4,16,2,5,88,158,52,3,9,8,48,51,76,19,21,37,103,124,60,44,79,74,71,115,102,61,54,78,0,0,0,0,0,0,0,0,0,0,0,0
b0077,246,362,261,40,46,44,351,435,487,201,262,215,3,2,3,9,6,11,3,11,1,76,60,22,241,268,273,9,10,52,154,113,337,41,78,89,408,262,295,147,172,223,325,617,503,280,242,245,0,0,0,0,0,0,0,4,0,0,0,0
b0078,44,79,50,31,35,18,57,62,89,61,74,59,2,1,1,7,1,3,0,3,1,20,16,8,74,64,45,18,10,15,34,9,92,35,30,40,81,59,83,67,82,78,86,126,157,87,75,69,0,0,0,1,0,0,0,1,0,0,0,0
b0080,2422,2691,1889,435,512,248,2989,3136,3720,6252,6813,5676,60,76,38,146,126,69,31,119,62,760,667,252,6017,4209,6993,119,125,188,2585,2018,3678,1535,2267,1635,7115,5363,4435,1043,1293,1603,3805,5709,3029,7562,7270,6774,1,4,0,10,9,0,1,9,0,3,2,4
b0081,761,796,595,162,249,114,387,342,397,1004,1050,765,9,17,12,32,58,26,0,30,8,70,58,16,590,452,504,84,50,98,369,409,340,436,377,455,943,731,466,866,927,1110,439,538,514,1091,1133,655,1,2,0,0,2,0,1,9,0,0,1,0
b0082,1909,2000,1516,346,445,273,991,1106,1338,2224,2823,2038,8,15,26,72,90,25,7,29,14,143,114,38,1464,1220,1796,149,117,134,745,638,849,949,1216,1141,1928,1605,1110,1188,1285,1692,965,1102,1217,2666,2702,1966,3,2,0,4,2,0,0,14,0,2,0,0
b0083,179,130,112,24,21,12,105,121,127,262,285,241,7,1,6,5,1,0,3,8,0,10,17,6,166,106,146,4,3,2,94,60,73,83,102,105,213,96,60,68,93,103,120,132,143,317,352,189,0,0,0,0,2,0,0,2,0,0,0,0
b0084,973,812,889,191,230,152,603,600,864,1968,2330,2077,26,27,18,84,66,39,5,22,8,119,90,24,1247,915,1704,57,72,65,521,420,684,889,1364,1410,1296,977,893,694,712,1033,620,971,806,2237,2681,2012,0,0,0,0,2,0,1,9,0,0,0,0
b0085,1569,1579,1361,140,161,60,1018,1042,1741,2555,3202,2758,23,17,26,55,41,12,9,41,18,148,86,42,2172,1783,2140,32,39,22,750,804,1351,1011,1454,1230,1549,2090,1985,466,515,688,1019,1268,1331,3155,3477,3023,0,1,0,7,1,0,3,18,0,0,1,0
b0086,2223,2215,2315,107,131,57,1366,1580,1898,2701,3515,2857,17,24,24,62,51,21,4,41,6,142,120,37,2444,1877,2991,36,33,18,850,718,1171,981,1570,1153,2328,2879,2626,458,384,462,1566,2275,2355,3176,3666,3306,1,0,0,5,3,0,2,19,0,1,2,1
b0087,888,491,890,57,59,41,218,225,485,1237,1796,1256,4,7,17,13,16,2,2,9,6,40,27,13,803,586,1133,21,14,11,243,207,450,477,749,599,752,549,885,173,197,265,263,277,491,1449,1712,1359,0,1,0,3,0,0,0,4,0,0,0,0
b0088,1834,1327,1546,89,79,46,767,875,1047,1954,2906,2112,11,14,13,33,25,17,7,39,14,127,70,19,1717,1674,1561,47,24,15,655,728,966,740,1092,820,1464,1534,2143,330,270,355,887,1038,1259,2480,2773,2432,1,1,0,3,1,0,2,13,0,0,2,1
b0089,1268,1038,1136,148,200,93,397,471,568,2301,3229,1913,6,11,15,49,56,10,2,22,5,53,35,27,1185,1028,1059,71,44,52,465,419,443,958,1325,1183,1183,1153,1099,612,492,561,423,517,529,2799,3360,2239,1,0,0,5,0,0,0,7,0,1,0,0
b0090,1111,1387,1240,114,118,82,445,452,673,1998,2818,1840,5,7,26,44,29,7,5,31,10,87,32,18,1261,1163,1176,52,42,32,514,445,519,906,1218,1006,1209,1125,1196,498,335,392,498,601,702,2693,2705,1975,1,1,0,6,0,0,1,3,0,1,1,0
b0091,2418,2912,3747,148,180,72,1173,1165,2181,2876,3823,2722,16,20,51,35,29,16,18,32,9,189,149,33,2340,2212,3021,57,49,24,892,905,1433,1020,1528,1229,2697,2225,3141,621,468,494,1276,1462,1928,3858,3846,3184,2,0,0,7,2,0,1,19,0,2,1,4
b0092,1602,1631,1967,386,374,201,1409,1245,1077,2980,3728,2678,4,18,41,108,78,39,9,38,12,185,156,27,1421,1453,1509,168,142,114,1256,1147,1038,1124,1513,1245,1972,1786,2162,970,834,995,1608,1781,1373,3381,3780,3087,2,0,0,6,6,0,3,7,0,0,4,3
b0093,1145,1266,949,603,673,442,1121,966,991,2867,3562,2171,8,17,21,147,129,62,12,37,13,136,80,30,1207,1212,608,383,310,250,1292,1530,915,1379,1685,1292,1362,1267,1094,1512,1281,1580,1278,1281,1040,3025,3760,2563,0,2,0,3,2,0,2,7,0,2,2,0
b0094,2309,3058,2090,923,935,530,3008,3200,3048,4205,5273,3335,17,10,40,119,104,58,17,59,13,327,159,56,2570,2806,1798,342,352,226,1980,2392,2074,1750,2117,1775,2712,2594,2635,2125,1837,2096,2877,3663,3287,4338,5126,4012,3,1,0,4,8,0,0,17,0,2,0,1
b0095,8779,8870,8712,1563,1762,1014,13806,12610,8988,10158,12500,10588,37,75,83,264,249,104,47,145,50,1196,673,262,8100,8281,6342,674,503,321,8869,8315,8003,3246,4417,3236,9285,9403,12571,3264,2921,3180,15252,17589,9567,13325,12539,12451,5,6,0,17,17,0,10,75,0,10,3,2
b0096,17719,16502,15520,21633,21185,22915,8849,7977,11689,19730,24233,17388,79,130,131,3477,2145,1919,73,246,56,1300,1255,314,11652,14187,14721,14613,11414,12365,8081,6373,8485,9430,11888,9021,12658,12933,12685,28803,24213,33310,10911,11771,11991,24003,25149,21371,5,8,0,19,25,0,15,94,0,20,11,12
b0097,2116,2324,1337,203,188,128,915,917,1500,1210,1511,954,12,18,20,66,48,25,10,41,11,126,75,38,1782,1503,1611,72,55,66,694,576,1258,448,561,433,1513,1430,1387,541,604,635,838,1284,1763,1477,1398,987,3,0,0,6,3,0,2,14,0,0,1,1
