gene,1000:1_0h_1,1000:1_0h_2,1000:1_0h_3,1000:1_24h_1,1000:1_24h_2,1000:1_24h_3,1000:1_4h_1,1000:1_4h_2,1000:1_4h_3,1000:1_8h_1,1000:1_8h_2,1000:1_8h_3,1:1000_0h_1,1:1000_0h_2,1:1000_0h_3,1:1000_24h_1,1:1000_24h_2,1:1000_24h_3,1:1000_4h_1,1:1000_4h_2,1:1000_4h_3,1:1000_8h_1,1:1000_8h_2,1:1000_8h_3,1:1_0h_1,1:1_0h_2,1:1_0h_3,1:1_24h_1,1:1_24h_2,1:1_24h_3,1:1_4h_1,1:1_4h_2,1:1_4h_3,1:1_8h_1,1:1_8h_2,1:1_8h_3,E_coli_0h_1,E_coli_0h_2,E_coli_0h_3,E_coli_24h_1,E_coli_24h_2,E_coli_24h_3,E_coli_4h_1,E_coli_4h_2,E_coli_4h_3,E_coli_8h_1,E_coli_8h_2,E_coli_8h_3,P_putida_0h_1,P_putida_0h_2,P_putida_0h_3,P_putida_24h_1,P_putida_24h_2,P_putida_24h_3,P_putida_4h_1,P_putida_4h_2,P_putida_4h_3,P_putida_8h_1,P_putida_8h_2,P_putida_8h_3
b0001,44,85,68,23,25,27,78,63,81,60,63,65,1,0,0,13,3,4,0,3,1,18,5,8,46,40,52,5,11,13,34,31,78,31,25,69,110,83,46,107,63,81,90,141,84,94,119,31,0,0,0,0,0,0,0,0,0,0,0,0
b0002,1214,681,1318,279,353,201,1323,1264,1448,2165,2707,2027,17,24,11,87,73,30,14,48,14,263,214,37,794,697,568,111,95,88,1538,769,763,983,1294,721,1010,774,1199,813,1422,1523,1716,2161,1546,2553,2732,2282,0,1,0,3,2,0,0,7,0,1,0,0
b0003,319,358,420,168,189,146,368,437,724,902,1116,1156,25,13,10,47,41,23,13,20,9,128,93,40,581,631,340,93,81,84,365,329,570,289,401,342,552,537,457,438,518,676,453,646,471,1030,1199,1290,0,1,0,1,0,0,0,3,0,1,0,0
b0004,727,648,665,198,210,152,808,1150,1537,972,1379,1347,18,13,17,51,37,23,10,22,7,167,181,33,1173,992,725,79,117,97,539,436,864,279,348,325,760,715,707,474,602,684,895,1558,1563,1022,1351,1420,1,0,0,1,2,0,1,3,0,0,0,0
b0005,54,58,39,19,16,25,53,97,114,77,69,62,0,0,1,4,0,6,0,2,0,15,1,1,54,45,66,10,7,6,43,67,67,20,22,19,50,36,39,38,40,30,73,123,99,64,66,59,0,0,0,0,0,0,0,1,0,0,0,0
b0006,659,760,589,85,89,90,1006,781,810,404,419,253,4,5,8,29,36,19,0,8,1,46,47,6,326,393,365,40,31,46,383,408,543,220,228,163,529,740,207,1248,1086,1344,688,865,868,422,440,254,0,0,0,0,1,0,1,4,0,1,0,1
b0007,237,344,193,94,109,79,195,214,193,263,354,320,11,5,3,39,36,12,6,25,4,48,37,15,292,405,376,51,47,27,204,262,317,123,160,157,329,288,272,186,178,213,220,347,219,303,352,378,0,0,0,0,1,0,0,1,0,0,0,0
b0008,17129,23372,15958,638,817,531,20727,19989,23611,9555,11931,8550,79,167,207,374,241,111,54,354,104,2374,2056,488,18544,20193,14306,258,231,376,10982,7081,20188,2367,3685,2582,17724,27158,26384,1762,2290,2929,22431,31490,23827,14271,11646,9489,13,6,0,50,25,1,15,134,0,7,11,14
b0009,711,626,641,114,213,135,608,654,694,707,807,676,12,5,13,38,43,19,3,18,16,70,59,20,721,772,1064,75,85,65,444,423,675,287,356,306,793,976,719,424,449,627,768,1044,799,837,828,820,0,0,0,3,3,0,1,5,0,1,0,1
b0010,307,221,184,164,220,142,94,64,101,452,504,403,0,0,7,49,44,16,0,1,1,6,5,5,89,107,122,121,103,51,69,67,78,247,256,318,154,137,62,493,481,415,73,72,101,466,559,420,0,1,0,0,0,0,0,0,0,0,1,0
