,p1k_00059,p1k_00129,p1k_00749,p1k_00177,p1k_00769,p1k_00479,p1k_00030,p1k_00062,p1k_00746,p1k_00399,p1k_00766,p1k_00001,p1k_00091,p1k_00770,p1k_00455,p1k_00727,p1k_00498,p1k_00402,p1k_00739,p1k_00768,p1k_00530,p1k_00087,p1k_00082,p1k_00122,p1k_00398,p1k_00058,p1k_00171,p1k_00731,p1k_00179,p1k_00032,p1k_00103,p1k_00063,p1k_00500,p1k_00742,p1k_00726,p1k_00151,p1k_00745,p1k_00750,p1k_00751,p1k_00111,p1k_00180,p1k_00403,p1k_00101,p1k_00531,p1k_00088,p1k_00721,p1k_00121,p1k_00495,p1k_00004,p1k_00752,p1k_00028,p1k_00719,p1k_00741,p1k_00128,p1k_00095,p1k_00397,p1k_00400,p1k_00029,p1k_00478,p1k_00165,p1k_00456,p1k_00112,p1k_00722,p1k_00723,p1k_00085,p1k_00031,p1k_00482,p1k_00172,p1k_00083,p1k_00020,p1k_00108,p1k_00123,p1k_00115,p1k_00166,p1k_00100,p1k_00132,p1k_00003,p1k_00174,p1k_00747,p1k_00002,p1k_00527,p1k_00728,p1k_00084,p1k_00499,p1k_00113,p1k_00089,p1k_00480,p1k_00110,p1k_00099,p1k_00150,p1k_00019,p1k_00394,p1k_00481,p1k_00178,p1k_00528,p1k_00126,p1k_00738,p1k_00765,p1k_00094,p1k_00526,p1k_00718,p1k_00396,p1k_00732,p1k_00725,p1k_00533,p1k_00098,p1k_00496,p1k_00477,p1k_00393,p1k_00740,p1k_00730,p1k_00401,p1k_00119,p1k_00102,p1k_00748,p1k_00090,p1k_00529,p1k_00497,p1k_00152,p1k_00114,p1k_00404,p1k_00532,p1k_00767,p1k_00086,p1k_00109,p1k_00395,p1k_00104,p1k_00124,p1k_00120,p1k_00737,p1k_00173,p1k_00729,p1k_00148,p1k_00131,p1k_00027,p1k_00153,p1k_00724
b3607,0.805371189,-1.139549045,-0.053344123,0.18760326,0.84032604,-0.471795764,1.018366714,0.997081271,0.678722083,0.195678357,0.635782082,0.776396661,0.69455334,0.787501194,-0.806342449,0.831725102,0.320396698,0.311287249,0.416032648,0.832309171,1.354188511,0.588427113,0.72760056,0.845046514,0.109062513,0.790711827,0.329646958,0.618002155,0.640062914,1.033313686,0.070583621,1.141875978,-0.637037335,0.397728244,0.135427953,-0.306034896,0.648747975,0.270349541,-0.081855096,0.962864371,0.723917428,-0.044251338,0.036761078,1.728176623,0.642459633,0.351561202,1.122712426,0.201658412,0.810542338,-0.020014895,1.236599426,0.459601256,0.296806411,0.02362548,1.079530504,0.100072714,0.215554173,0.90736698,-0.611580468,-0.177044808,-0.624759881,0.840134279,0.717437259,0.323778583,0.768515236,0.995812417,0.146506387,0.321816443,0.711005531,0.077102187,-0.342557286,0.872449823,0.515748527,-0.257700744,0.493933017,0.211696265,0.757880332,-0.245146757,-0.12880421,0.95188248,1.809624853,0.437306732,0.585572985,-0.723262706,0.338011097,0.638243285,-0.563447013,1.093275175,0.87514017,-0.12019115,0.008425469,0.030510631,0.134466415,0.15666399,1.84275799,0,0.535414541,0.844650492,1.197474617,1.728861455,0.78333302,0.120260587,0.263254653,0.100767421,1.28969476,0.861725967,0.308818233,-0.717967467,0.093948395,0.462834054,0.457205424,0.175638788,1.079466716,0.092628146,-0.068038555,0.724480389,1.900421622,0.258680226,0.107913972,0.504734912,0.712124195,1.384728545,0.753884929,0.634079006,-0.436169927,0.190984534,0.276631411,0.938210984,1.071872338,0.49512719,-0.297869091,0.681342892,-0.500323125,-0.996717635,1.098241058,0.365232045,0.648514494
b1264,-1.513281712,-2.176069284,-2.724175248,0.672581726,-0.530708364,-3.050927078,-0.495858267,-0.554222541,0.366615767,-1.512179854,-0.291211381,0.264592878,0.110545583,-0.408581071,-7.417594662,0.73848958,-7.771434531,-0.762668254,-0.726668268,-0.874007029,-0.121020376,1.166729471,-0.13601763,-0.626267101,-0.435975342,-1.403119324,-3.175447873,0.3813471,-0.285516272,-0.571165636,1.867082885,-0.737579262,-7.743561178,-0.86037919,-0.665660086,-1.841379219,0.496614464,-1.699883898,-0.557653987,-0.557612109,-0.271727936,-0.506209821,-0.268182559,0.187158416,-0.347890171,0.064442324,-0.799250336,-6.847766364,-1.206172049,-0.750693243,-0.131836706,-0.494487344,-0.765174235,0.466571093,-2.265317444,-0.459432703,-1.464322784,-0.369129261,-1.149751516,-2.856690847,-7.708006028,-0.419032944,0.381726152,-0.554132829,0.106032771,-0.48214893,-7.743747368,-3.295196483,0.006076814,-2.703647953,0.84347198,-0.561225149,-0.69400857,-3.012720092,-0.162526011,0.012490468,-0.782533907,-1.079848682,-0.657807571,0.33370382,-1.854174005,-0.133397245,0.216257443,-7.657130465,-0.540008364,-0.358348911,-3.077599174,-0.61581487,-5.628174436,-0.193729679,-2.869271147,-1.560953323,-7.9137843,0.69175876,-1.900814242,0,-0.550375725,0.068315993,-2.336568285,-2.132877609,0.432943488,-0.873306379,-0.438170657,-0.570453377,-0.536489646,-5.28487618,-7.223591221,-1.013504204,-1.248991785,-0.624921852,-0.636963875,-0.808188561,-0.610756709,-0.296282152,-0.514318375,0.124357653,-1.62386547,-7.106898294,-1.671589855,-0.856818199,-0.164398444,-0.445380282,-0.750351133,1.175815766,2.165658705,-0.637770339,1.943046155,-0.408913361,-0.751582136,-0.616626323,-0.930433765,0.20184336,0.570580567,-1.054773838,0.015198243,-1.152546199,0.259275263
b3469,0.810604693,3.214125415,0.272202935,2.198198526,0.295951165,1.254503398,0.608748736,1.11237933,1.502155446,1.131064936,0.151701968,1.49714437,1.825559444,0.314842234,5.242165694,-0.873561765,5.321408192,0.923098709,0.034054868,-0.016925184,0.505856315,2.348212651,0.983943038,3.073472846,1.584891397,0.978947634,0.98869026,-0.239257997,1.024441394,1.986442607,3.256634482,1.538471511,2.970451213,-0.07097889,-0.290338566,1.683715425,1.437938103,0.046913344,-0.846106339,1.717127139,1.194151784,1.438226658,0.206546232,1.054320354,2.291141783,-0.20412047,2.072172129,1.761466201,2.98864955,-0.599628011,1.395804804,-0.673273404,-0.021267416,-0.357411604,3.728973625,1.465126965,0.797660917,0.433582124,1.152562703,2.116857194,5.382940253,1.772666961,-0.560926914,-0.695595319,1.714997996,2.104042458,5.826202625,0.919046608,1.091667947,0.868080436,2.179173744,2.945886787,2.334552135,1.948499755,-0.245663857,1.238876906,3.0310153,1.685671515,-0.218181563,1.83326558,1.692851103,-0.570950477,1.737922173,2.968633602,2.393499114,2.237860887,1.3554602,1.602767148,3.679504821,1.946675177,0.69900787,0.403663592,5.704097417,2.081456324,2.001994187,0,-0.193355798,0.047774623,3.645935581,1.818654813,-0.814826142,0.529601289,-0.131606993,-0.753616553,0.524577579,3.580311805,1.547273348,1.072763393,2.416771518,-0.137391362,-0.300460904,0.727879626,2.117857657,0.010136917,-0.130981458,1.753713011,1.714504009,5.28045109,0.982209474,2.338687739,1.563024778,0.318151017,0.221155811,2.47843049,2.501254614,0.691060647,3.346149937,2.795004805,1.997570475,0.186138701,1.563739611,-0.361102228,1.875708921,0.261827583,1.267680067,1.696489169,-1.199870584
b0967,-0.325260455,-1.179198813,-0.132672459,0.14072619,-0.380543632,-1.555177017,-0.573128404,-0.463215799,-0.809502779,-0.14676925,-0.914203925,0.022724108,0.178402943,-0.3594124,-2.432873827,0.438657541,-2.19577539,-0.070046861,-0.265476041,-0.886228143,-1.315800034,0.023455598,0.564721146,-0.257669971,0.059046281,-0.463489266,-0.304952969,0.196994064,-0.791602604,-0.681345662,0.361727782,-0.366564509,-2.082032219,-0.278356643,-0.172458587,-0.897874408,-0.839521172,-0.300433248,0.078672896,0.008028735,-0.639490071,-0.266569458,0.475411755,-1.330164981,0.00930489,-0.602367718,0.160760249,-1.551875593,0.013580908,-0.016134075,-0.18915314,-0.284652839,-0.246281284,0.611614071,-0.786441663,0.074915353,-0.265217353,-0.608750611,-1.017259901,-0.763352133,-2.67636132,0.087797079,-0.041482768,-0.298520645,0.453689798,-0.591553404,-2.421829332,-0.302658439,0.52856246,-1.070380172,-1.016522768,-0.539164792,-0.7980185,-0.802832239,0.006724805,0.403921994,-0.215429994,0.112666897,-0.155793652,0.193651885,-2.036614533,0.054051059,0.629403993,-1.883488212,-1.025550079,-0.092736408,-1.75665594,-0.026303764,-0.335800333,-0.895951182,-1.264613165,-0.248286198,-2.440960979,0.122467288,-1.943212665,0,-0.328572629,-0.696676607,-0.892504446,-1.806953682,-0.050442187,0.239729772,-0.09716747,-0.215812649,-1.771478714,-0.128772981,-1.723833609,-1.018052322,0.064477703,-0.246996857,-0.071042066,-0.020663231,-0.034174035,0.507355723,-0.082997372,0.062681169,-2.02135959,-2.311810032,-0.555671637,-1.057265343,0.214116858,-1.786340909,-0.678414301,0.073830446,-1.045680952,0.377680468,0.285788172,-0.529091239,0.02398256,-0.50318081,0.149281935,0.168596393,-0.856585718,-0.543718582,-0.128702409,-0.379989717,0.046601772
b3871,-1.4364276,-2.009887608,-0.39054133,-0.746865008,-0.777245331,-1.728107886,-1.31188782,-1.496903295,-0.955938354,-0.823068262,-0.967571192,-0.718566112,-0.758655789,-0.788777708,-6.158250566,-0.575998891,-5.158543226,-0.797531903,-0.704906411,-0.996429259,0.23154086,-1.510169601,-1.980503774,-0.563257918,-1.300357679,-1.423029563,-0.938510088,-0.769786131,-1.553124188,-1.606040512,-0.47694342,-1.441010836,-3.877232761,-0.786861636,-0.961755353,-1.51914096,-1.083602455,-0.53243131,-0.625341814,-0.48392036,-1.437247496,-1.661610617,0.2665577,0.19062264,-0.718858573,-0.888312456,-0.563909484,-2.763973177,-1.097095003,-0.655258928,-1.568076889,-0.737027549,-0.761377948,0.07195003,-2.285022093,-1.284960433,-0.823984009,-1.291278807,-1.365920405,-1.457897107,-6.09846562,-0.537138943,-0.835518644,-0.690054759,-1.637297371,-1.575827784,-6.055297939,-0.879680491,-1.958870066,-1.919294084,-2.022198464,-0.675505934,-2.294279802,-1.458126303,-0.581920418,-0.591943799,-1.159936089,-0.736167757,-0.784895578,-0.751327877,-0.773445701,-0.694751584,-1.669569334,-3.89445518,-2.399750135,-0.773115605,-1.744951003,-0.49434287,-1.31773575,-0.774107674,-2.062229166,-0.751705119,-5.866911679,-0.663551211,-0.17960785,0,-0.737045811,-1.041911072,-2.285881657,-0.34199648,-0.891899447,-0.727154964,-0.663696698,-0.925618208,0.22890157,-1.304232516,-2.945813199,-1.336020041,-0.554608755,-0.657529058,-0.604960737,-0.83285391,-0.49218827,0.24789396,-0.785687379,-0.730858296,-0.731988867,-5.098082001,-1.40520739,-2.426730504,-1.210214357,0.27693408,-0.882344393,-1.518879806,-2.062143564,-0.638530526,-0.45420402,-0.740596602,-0.51993026,-0.798459834,-0.757666449,-0.655560364,-0.882099932,-0.951734056,-1.617626275,-1.433048586,-0.959703365
b1641,0.712611513,0.872242843,0.478259689,0.597529413,-0.006977666,0.014970182,2.657098063,0.615424343,0.728636303,0.551479173,0.421256428,0.29667098,0.776903623,0.045589637,0.049208972,-0.516111504,0.852149773,0.518174943,0.112595682,0.252348117,0.368271099,0.424831598,0.404976175,0.323700998,0.851456683,0.676833533,0.906290853,-0.56594642,0.854724133,2.648631433,0.953268523,0.848420543,1.074002863,0.097562205,0.386148378,0.640819753,0.781869053,0.473323771,-0.33658232,0.160459775,0.744804373,0.670302353,-0.18763731,0.672364293,0.955245403,0.701282683,0.398285253,1.457436533,0.560247883,-0.318419777,1.977879953,0.371939596,0.106654568,-0.3671788,1.061541063,0.809084273,0.521086183,2.533664883,0.823953663,0.343854521,-0.090544896,0.197595112,-0.174005276,0.216564321,0.532704083,2.517536863,0.079989049,0.766522093,0.467890946,1.180925293,0.671244943,0.497108553,0.807253513,0.461844932,0.204021791,0.433282419,0.616250303,0.689717363,-0.181164367,0.457239514,1.215734063,-0.267107929,0.798591773,1.264726453,1.130646803,0.995142153,0.076165928,0.144269633,1.344963013,1.030746153,1.056762713,0.496956584,0.244180985,0.474167197,1.164831103,0,0.361735133,0.386106716,1.006902013,1.120774903,0.060214815,0.524510613,-0.383939089,0.249755714,0.512228553,1.410365533,1.351441813,0.714545813,0.389745422,0.223298559,-0.351906881,0.564469703,0.434364961,-0.301017254,-0.189887939,0.726581433,1.348518303,0.709114703,0.550056933,0.850681173,0.513814213,0.526164333,0.259706502,0.378375909,0.941158523,0.478868363,1.051448843,0.563928963,0.297848181,0.296585104,0.642002953,-0.655317662,1.121616483,0.400454707,1.921091633,0.069225096,0.120341551
b3172,-1.507561518,-1.572929782,-4.01979422,-0.823738509,-1.43804566,-0.226623754,-1.515217665,-1.466976349,-1.694100331,-1.104724147,-1.790311009,-0.482301777,-0.356490161,-1.455319818,-5.106204152,-0.244671896,-4.380964415,0.27712583,-0.778313287,-1.769357847,-4.325389764,-2.626527565,-1.841593707,-1.469387099,-0.408768934,-1.485314637,-4.198457769,-0.220992547,-1.690240306,-2.896289213,-5.158470437,-1.42299739,-3.656357362,-0.65052497,-0.86523867,-2.220504798,-1.627538562,-3.796927586,0.019334,-0.573646896,-1.649126435,0.27511362,-0.547645601,-4.185902546,-1.087642434,-1.903881628,-1.232763938,-4.26390353,-2.484244784,-0.222191309,-1.446595139,-1.470375167,-0.554010553,0.83907445,-2.949470735,-0.08075924,-1.212929356,-1.521861983,-1.276732877,-1.555943188,-5.128067391,-0.502507049,-0.500752105,-0.769641765,-1.664284646,-2.979983953,-5.19599056,-4.178900764,-1.964170052,-3.055034306,-1.211472496,-1.690558163,-2.450837597,-1.546330664,-0.31724802,-0.426582823,-2.081788002,0.05857348,-0.415902796,-0.416114933,-4.107238161,-0.403373576,-1.631390636,-3.706705842,-1.971693585,-1.09526111,-0.243656213,-0.534487207,-3.39615908,-0.487026237,-3.065665914,-1.060356078,-5.242698003,-0.961376202,-4.331922762,0,-1.224078575,-1.819772393,-3.00910612,-4.415693879,-0.695297373,0.08665492,-0.373719737,-0.904972272,-4.380934875,-3.542403492,-4.321719599,-1.171431563,-2.282827326,-0.834308538,-0.482900038,0.24897597,-1.183841571,-0.536327357,-0.384767802,-0.406664225,-4.104287372,-4.446170197,-1.628516324,-2.193873365,0.28673369,-4.511354067,-1.670819966,-2.641496066,-1.852965639,0.11324323,-5.092301702,-1.681159695,-1.167841614,-1.266068097,0.00094854,-0.254631321,-0.55493833,-0.13511972,-1.447344215,-1.088622842,-0.739072513
b3493,0.260697259,-0.227557799,0.536423005,0.698569001,-0.166144709,-1.283571884,-0.389765004,0.673614044,0.138503077,-0.054643662,-0.400423788,-0.035650752,-0.05797588,-0.10222728,-3.137286027,-0.065408798,-3.106818407,-0.278622795,-0.23107579,-0.198752248,-7.003253791,-0.503590094,0.176004545,0.222953152,0.346368813,0.339185388,-0.311831206,-0.017715352,0.267016581,-0.37887569,0.358001525,0.673252437,-0.682451341,-0.018290775,-0.036955343,0.42680334,0.003788754,0.399843588,0.185318073,0.368130321,0.422694588,0.101600186,0.420743862,-7.003253791,-0.256565734,-0.392669345,0.270675779,-0.744308669,-0.120053131,0.185318864,-0.071784203,-0.287223352,-0.089602151,0.461758782,-0.234506301,0.815469533,0.058919767,-0.414119471,0.5571741,-0.067860227,-3.015117661,0.368352326,-0.372233701,-0.131220339,0.545268294,-0.475491537,-3.808137419,-0.303641503,0.271698659,-1.338050733,-0.247561047,0.131610483,0.406012841,-0.100268079,0.089270431,0.391739032,-0.223142673,0.850759114,0.077239914,-0.006362942,-7.003253791,0.173869061,0.67568421,-0.791632564,0.391973834,-0.186831565,-1.232867657,0.37572005,0.203481694,0.951362057,-1.350811965,-0.010556949,-3.320535893,0.740220231,-7.003253791,0,-0.28275494,-0.199731044,-0.264611289,-7.003253791,-0.339506454,-0.421831176,0.171154241,-0.003551268,-7.003253791,0.247130234,-0.922271794,0.555224297,-0.016600584,-0.247939082,0.011198757,-0.259959006,0.523816081,0.298965197,-0.001576254,0.007292428,-7.003253791,-3.211928373,0.602247033,0.407846934,-0.740150649,-7.003253791,-0.29146109,-0.611054907,-0.182253183,-0.347886961,0.339491613,0.044871006,0.404168014,-0.307880018,0.698252601,-0.095547666,0.957845774,0.229258081,-0.154194373,0.756105169,-0.503873521
b2149,3.86942723,-2.617005821,-2.24104329,1.175427098,2.855107684,-1.578388898,-0.192579939,3.514791364,-1.490429255,1.568584132,3.756860481,1.136786781,0.256848115,2.852852483,0.046604271,3.197931906,2.329646083,1.836442374,0.521395226,2.675617944,-1.554472564,3.252268712,4.248106576,-2.327051896,-0.172889284,3.813555291,2.577914656,2.96879612,6.494146444,-1.225954548,2.555882084,3.36111911,0.91023306,0.639803683,1.278446274,0.087537637,-1.695206059,-2.218761799,1.927126509,-1.713255228,6.437728054,1.056233687,0.498110075,-2.557413289,-0.790929218,2.708051159,-2.311350274,5.864729811,-1.334021281,1.876990641,-0.289303943,2.616709913,0.856768215,0.741216999,5.285831579,-0.137975604,1.29650501,-0.142760913,0.054618618,4.720853194,-0.165270214,-1.814319788,2.65745277,2.475421484,3.372721148,-0.753324542,1.365631932,2.527066315,4.183710161,-1.414620004,0.392609568,-2.129391537,-2.143562745,4.602341766,0.891875996,0.926269544,-1.210548808,2.074991674,0.823649094,1.151306163,-0.762467068,3.572970583,3.420686005,1.055670775,-2.714080421,-0.844186854,-1.526049976,-2.003254702,3.540353208,-2.641662651,-1.841344493,1.072061805,1.41117107,1.168355273,-0.849297055,0,0.289389788,3.720654291,5.350270054,-0.817184855,2.491763809,1.483313757,3.100763423,1.349633167,-2.033708905,3.73057037,5.927930478,0.22907028,0.388462893,0.509259063,3.203900219,1.654577801,-2.591920045,0.51949022,0.79119632,0.126709042,-0.651712923,2.512908307,3.112811467,-2.245391044,1.236809341,-1.70935597,2.948113401,3.271270573,-1.659362589,1.462280231,2.627519635,-2.577167022,-2.564694158,0.437869657,2.189317224,2.984254861,-2.558779938,-1.854099121,-0.313918075,0.484544674,1.110259341
b3764,1.536662405,0.158470217,0.973339235,0.034726935,1.188220005,-0.597981254,-0.419584638,1.290613115,0.425989709,0.273484213,1.045210145,0.656301522,-0.12659934,1.200689105,-2.487180688,0.736247525,-1.888267655,0.725628965,0.763560445,1.445023175,0.965838845,0.262255414,-0.607094337,-0.083527596,1.841424105,1.428605775,-0.767078248,0.976864475,-0.364363562,0.191854509,-0.475232605,1.217425035,-0.063906228,0.806801145,0.784022655,0.330760356,0.355332897,0.783686625,1.921712715,0.842919845,-0.399984551,1.686884235,-0.511392008,0.502872649,-0.335535459,0.450470126,-0.034441787,-0.197595895,-1.040609496,2.282869035,-0.171965853,0.802167825,0.857558715,0.204764865,-0.940829058,1.524178185,0.123669377,-0.343343737,-0.216042438,-1.47661321,-2.790329896,0.674859665,0.614080106,0.609701355,-0.369737397,0.240371729,-2.785451968,-0.794643147,-0.642440312,-0.648889793,0.806735965,0.070686147,0.231393393,-1.147424976,0.085350425,0.116451249,-0.978834814,0.079011895,1.745429645,0.555311641,1.047835005,1.215958085,-0.276400324,-0.137471331,0.019392559,-0.121854091,-0.64969441,0.743279705,-0.680569538,-0.37031773,-0.759729564,0.075199185,-2.282780172,-0.143046633,0.110478332,0,0.651680474,0.359195165,-1.202342656,0.499526222,0.615768967,0.677188725,1.130518485,0.817020015,0.858520995,-0.647368515,-0.248294659,-0.169625938,0.046685252,0.617772506,1.010474725,0.848300835,-0.082416335,-0.569187606,1.661001785,-0.165369784,0.601513814,-1.971018301,0.634953079,0.01424696,1.439350915,1.051144135,1.416014905,0.235698171,0.713514285,0.574003056,-0.458652821,-0.10097894,-0.080001298,0.807710475,0.226343572,1.016808165,-0.070370391,-0.32347828,0.021056473,0.848022965,0.41348687
