,p1k_00059,p1k_00129,p1k_00749,p1k_00177,p1k_00769,p1k_00479,p1k_00030,p1k_00062,p1k_00746,p1k_00399,p1k_00766,p1k_00001,p1k_00091,p1k_00770,p1k_00455,p1k_00727,p1k_00498,p1k_00402,p1k_00739,p1k_00768,p1k_00530,p1k_00087,p1k_00082,p1k_00122,p1k_00398,p1k_00058,p1k_00171,p1k_00731,p1k_00179,p1k_00032,p1k_00103,p1k_00063,p1k_00500,p1k_00742,p1k_00726,p1k_00151,p1k_00745,p1k_00750,p1k_00751,p1k_00111,p1k_00180,p1k_00403,p1k_00101,p1k_00531,p1k_00088,p1k_00721,p1k_00121,p1k_00495,p1k_00004,p1k_00752,p1k_00028,p1k_00719,p1k_00741,p1k_00128,p1k_00095,p1k_00397,p1k_00400,p1k_00029,p1k_00478,p1k_00165,p1k_00456,p1k_00112,p1k_00722,p1k_00723,p1k_00085,p1k_00031,p1k_00482,p1k_00172,p1k_00083,p1k_00020,p1k_00108,p1k_00123,p1k_00115,p1k_00166,p1k_00100,p1k_00132,p1k_00003,p1k_00174,p1k_00747,p1k_00002,p1k_00527,p1k_00728,p1k_00084,p1k_00499,p1k_00113,p1k_00089,p1k_00480,p1k_00110,p1k_00099,p1k_00150,p1k_00019,p1k_00394,p1k_00481,p1k_00178,p1k_00528,p1k_00126,p1k_00738,p1k_00765,p1k_00094,p1k_00526,p1k_00718,p1k_00396,p1k_00732,p1k_00725,p1k_00533,p1k_00098,p1k_00496,p1k_00477,p1k_00393,p1k_00740,p1k_00730,p1k_00401,p1k_00119,p1k_00102,p1k_00748,p1k_00090,p1k_00529,p1k_00497,p1k_00152,p1k_00114,p1k_00404,p1k_00532,p1k_00767,p1k_00086,p1k_00109,p1k_00395,p1k_00104,p1k_00124,p1k_00120,p1k_00737,p1k_00173,p1k_00729,p1k_00148,p1k_00131,p1k_00027,p1k_00153,p1k_00724
b3253,0.802642438,2.630969206,1.613343014,0.311874221,1.340506885,0.967846479,1.546448127,1.096852923,1.507293253,0.776216279,1.566986856,0.981485377,1.647220215,1.37495479,1.938992607,1.489915104,2.610105902,0.858291024,1.526371879,1.416208639,1.641016505,1.934327306,2.086165057,2.170239454,1.446833127,0.778563698,-0.092657456,1.47060047,1.784093827,2.101111385,0.870599044,1.199957083,3.195985995,1.410619204,0.757156528,2.101801494,1.72548608,1.860028405,0.753088504,1.875279429,1.828505775,1.430100415,0.81178234,2.060185567,1.92052533,1.660314772,2.238174488,2.691117129,2.657783617,0.611196196,1.90509667,1.264462862,1.406201667,-0.436522251,2.5566596,1.816155626,0.81779149,1.662522849,2.431545768,0.974334319,1.956305157,1.657821717,1.218514726,1.014945117,2.133764148,2.074722007,1.937073803,0.298747544,1.879834947,2.479448571,2.694506631,2.328222588,3.536175871,0.856878907,1.214785893,1.646823572,2.543333537,0.41555721,0.743351848,1.136763541,2.924264278,1.218612957,2.32988465,3.206487918,3.779982331,1.910372342,1.138886176,1.751770874,2.246504792,3.181665677,3.030023289,0.882432392,1.933985742,0.335363555,2.493794297,0,1.720838308,1.768563008,2.567429233,2.465135993,1.293929224,0.689422449,1.279465862,0.75889217,1.831282996,2.313739782,2.792989227,2.386974209,0.899222945,1.598308023,1.237191644,0.836554887,2.22033129,0.737278841,0.879037791,1.591717695,3.086006991,2.641852949,1.284854601,3.59459239,0.977517337,1.688391992,1.583799987,1.927284037,3.229375704,0.544750807,0.879579893,2.399993757,2.294471878,1.942009691,0.061093299,1.300193145,3.30406052,2.14534073,1.838839416,1.160636092,1.135844874
b1583,1.003432267,1.143105952,0.91248307,0.37735621,0.172793677,2.299140193,2.431943477,1.57531796,0.6885874,0.722460269,0.108231551,1.097632166,1.044665591,0.268901326,1.029399768,0.752682805,1.402626089,0.591948251,-0.116847245,0.036037092,-0.301597438,1.39707227,1.378354331,0.675356453,1.330842555,0.972633897,0.787116445,0.80876729,0.605352455,2.30464714,0.526748688,1.517073234,0.346050591,-0.187660464,-0.282254884,0.725727774,0.661849182,1.138254683,0.06191205,1.045868867,0.487285858,1.04014715,0.332766503,-0.310626122,1.323839237,0.358315654,0.383629442,0.097132927,0.77222536,-0.001765042,1.688495136,0.175936415,-0.103768339,-0.405976329,0.653599974,1.441721111,0.718552277,2.379581702,0.659905899,0.250627429,1.306184942,1.124036723,0.58251544,-0.07434615,1.672890154,2.123575129,1.316816143,0.731130738,1.452467521,1.118159487,1.514983309,0.746314883,1.275966343,0.397110072,0.792814032,0.983536377,0.872542562,0.060224132,0.405686985,1.234122502,0.115425541,0.066204136,1.507727971,0.164122851,0.991284145,1.316406262,2.274698593,1.028294794,0.914548573,0.435788373,1.156851502,0.822364473,1.18907504,0.304749095,-0.045869235,0,0.10217207,0.450794415,0.745002809,0.031175217,0.968837488,0.535254981,0.132444187,-0.338102783,-0.213538554,0.945915176,0.235160166,0.70656705,1.037938746,-0.143214902,-0.119826681,0.458915195,0.246757448,0.18204171,0.398942242,1.061273653,0.291582047,1.439966419,1.036556876,1.090313206,1.023377086,-0.373901506,0.068967627,1.544890684,1.702749715,1.119808254,0.722971052,0.83568577,0.304914877,-0.021729144,0.029929353,0.626552495,0.567811921,1.018379432,1.771573867,0.480938068,0.815932053
b0004,-1.124868437,-0.627675121,-2.525754316,-0.626421233,-0.392479965,-1.427299821,-1.052067093,-0.444076091,-0.322522503,-1.385124001,0.23269977,-0.111418168,-0.049173175,-0.334729865,-3.017624543,-1.270523071,-2.805566939,-0.608132802,-0.15655218,-0.694806698,-1.55059122,-2.67737973,-1.93241223,-0.240685598,-1.923125441,-1.09856199,0.98664724,-0.469818452,-0.231167076,-0.989623997,-2.977090494,-0.311635469,-4.39475424,-0.174985061,-0.473829523,-1.295231538,-0.260109155,-1.491902535,-0.03999952,-0.629822844,-0.128940346,-1.670162847,0.12851516,-1.75322883,0.17361958,-1.32196106,-0.324238301,-2.647601651,0.28225593,-0.103578913,-0.337655396,-1.267379697,-0.116533026,0.29210399,-2.640527382,-2.090787348,-1.318566788,-1.103894,-0.257510892,0.87025687,-2.888077466,-0.653836333,-1.251492457,-1.064558677,-0.668915015,-1.088275535,-3.007244163,1.01985065,-1.885335073,-2.891784799,-0.559059252,-0.305908796,-1.198113948,0.72235503,-0.240595833,0.11180473,-0.071314637,-0.193262211,-0.267007749,-0.03747422,-0.912113227,-1.184881113,-0.461376396,-4.336359818,-0.807596986,0.09273079,-1.44150154,-0.573278995,-2.55846051,-1.021483712,-3.007096965,-1.448026137,-3.023568438,-0.55497294,-0.676234931,0,0.04874746,0.13119896,-2.651452003,-0.844747095,-1.491417697,-0.769708337,-0.187789161,-0.495169603,-1.25127401,-2.544147832,-2.69132207,-0.271499277,-1.485707139,-0.04346215,-1.165276612,-0.527297467,-0.290734666,0.12673281,-0.290170127,-0.177736698,-0.824517541,-2.727761668,-1.093781015,-0.910160555,-1.388150915,-0.972489035,-0.732275499,-2.907603209,-0.574598401,-0.996030662,-2.960966151,-0.149836639,-0.247526251,-0.089107601,-0.25835308,-0.982324615,-1.297925786,-0.101100372,-0.426655848,-1.232552121,-0.682598855
b3430,0.340177443,0.59428005,-1.752739128,0.380666043,0.166084945,-1.196437095,1.394896497,0.807753559,-0.072946858,0.474147532,0.254034806,0.834605242,1.185436914,0.142688877,1.203514596,0.569317137,1.350057016,0.73278278,0.18997217,-0.080332514,-0.878821868,1.026866015,1.135794348,1.313986299,1.413418667,0.411526694,-0.102855946,0.856515917,0.822025783,2.010447965,-1.094805166,0.719539116,1.15413005,0.097584628,-0.584718827,-0.184929398,0.043340811,-1.267827513,-0.172421104,1.186850879,0.853651848,1.51116763,0.253458832,-0.554550371,1.266270983,0.693870148,1.155804124,0.67589682,0.993884869,-0.381317828,1.685627608,0.189151272,0.114104432,-0.295710502,1.117858214,1.591536091,0.554780095,1.450744027,0.845214086,0.530103303,1.5578118,1.117462562,0.516036212,0.117958169,1.264731819,2.129103592,1.188773525,-0.306518214,1.255000532,1.48826961,1.802306289,1.280635221,2.110529675,0.126163795,0.633208544,1.286896206,1.119024919,0.322431511,-0.409059658,0.92854533,-1.120338045,0.001367533,1.383229755,1.105369605,2.105778002,1.204976278,-1.151568891,1.15116756,0.757944911,0.258919749,1.417776854,0.515242228,1.134189947,0.346818722,-1.113214371,0,0.24741872,0.445328519,1.12165395,-1.218161937,0.460863115,0.374644069,0.432593095,-0.650711493,-0.932323288,0.718457105,0.818407546,0.789801247,0.464522976,0.372029312,-0.102019141,0.559792888,1.160599159,0.283447996,-0.309923851,1.159387399,-0.861252385,1.42371249,0.175179713,2.102768001,1.735918244,-1.05545528,0.009551006,1.014244735,1.999312565,0.372908241,-1.035587598,1.242945499,1.060134097,0.270096135,0.307384188,0.561611524,0.583314338,-0.34781586,1.723013922,0.658852619,-0.001163172
b3314,-1.59245537,-0.23896889,0.63504917,-0.19903386,-0.68547348,-0.99696271,-1.16361564,-1.89210427,-0.94152473,-0.72467029,-0.72362523,-0.65690987,-0.36887564,-0.67572553,-5.107540415,-0.3933232,-3.583813501,-0.56858735,-0.42394595,-1.06063046,-0.6337292,-1.62509398,-1.4489386,-0.71431742,-1.34485343,-1.57063439,-0.7720093,-0.64940033,-0.87755048,-1.52984701,0.54095261,-1.95710737,-2.60748158,-0.43170667,-0.19592385,-0.79841425,-1.13445227,0.38891199,-0.25327523,-0.35844672,-0.79481983,-1.13480317,0.14436894,-0.85665418,-0.66212281,-0.77293515,-0.80650986,0.04508404,-1.13306848,-0.34713283,-1.32874662,-0.38420927,-0.42808399,0.17550182,-0.15182203,-1.11946684,-0.66998125,-1.14644144,-0.4299186,-0.39143715,-4.949704121,-0.41254094,-0.47062941,-0.31315275,-1.29636728,-1.53546668,-5.427740024,-0.79760351,-1.4360787,-1.63670087,-0.1019597,-0.75102184,-1.27855095,-0.59748151,-0.47568701,-0.30757833,-1.20906585,-0.14130458,-0.40402145,-0.6075036,-0.61714092,-0.39735378,-1.18822806,-2.63132523,-1.07480359,-0.70941014,-1.02744313,-0.31446697,-0.23118893,-1.63195413,-1.71480424,-0.85794861,-5.290377432,-0.12578105,-0.39682944,0,-0.56651388,-0.86842214,-0.22181799,-0.5560344,-0.53517194,-0.64374762,-0.41965887,-0.16273827,-0.51947258,-0.25846611,0.03402477,-0.42189848,-0.66871029,-0.44299688,-0.33805729,-0.60430612,-0.73602126,0.14469289,-0.39953078,-0.35208695,-0.52658368,-3.639818751,-0.60739117,-1.02739868,-0.86380046,-0.55141718,-0.90037251,-1.71749538,-0.23956411,-0.8508441,0.52940681,-0.73153333,-0.74630823,-0.69504727,-0.1049047,-0.48846874,-1.4024446,0.16524517,-1.34631268,-0.64471262,-0.4771341
b2569,-0.507077911,-0.779629624,-0.753660935,-0.434251637,-0.383690301,-2.512443459,-0.531960249,-0.526184739,-0.787330832,-0.767827828,-0.545639694,-0.546631414,-0.388903405,-0.36264477,-3.061907035,-0.001041805,-2.008480169,-0.749201715,-0.468305985,-0.642327745,-1.267587513,-0.622408733,-0.867598243,-0.3422255,-0.60227427,-0.466885666,-0.508193203,-0.180140562,-0.652804957,-0.647297257,0.120141557,-0.585911128,-2.074281486,-0.508090212,-0.568236188,-0.759138311,-0.864501061,-0.81570897,-0.62170154,-0.132868226,-0.590284992,-1.066015879,0.247415556,-1.098158195,-0.449530578,-0.214645098,-0.260584224,-1.496563827,-0.582703248,-0.644135249,-0.522020481,-0.276953349,-0.453851808,-0.100513408,-0.385484522,-0.503344515,-0.679722976,-0.510934853,-1.195916714,-0.64104752,-2.804248905,-0.047066641,-0.221427519,-0.369337371,-0.77684067,-0.569401029,-2.381760137,-0.581830368,-0.883356929,-1.099194606,-1.211316798,-0.415398896,-0.413655514,-0.673767348,-0.246572746,-0.066002938,-0.610263115,-0.544700614,-0.59093181,-0.483856138,-1.88897449,-0.172842153,-0.761439452,-2.065532527,-0.624363948,-0.521223392,-2.463908077,-0.074015203,0.230619158,-0.412025804,-1.18209818,-0.604406476,-2.456562991,-0.426336745,-1.255866643,0,-0.481929866,-0.545121805,-0.283825664,-1.458592359,-0.353506493,-0.581964051,-0.22189545,-0.555779079,-1.367732122,0.298459741,-1.573002201,-1.174111194,-0.523557314,-0.421639787,-0.301497779,-0.778313013,-0.326435745,0.285135695,-0.570597254,-0.39734637,-1.80761338,-2.010325641,-0.534513393,-0.570308632,-0.617166841,-1.299944328,-0.598189627,-0.709655542,-1.137927555,-0.625668598,0.073738798,-0.418714278,-0.244689656,-0.505815403,-0.506591506,-0.219664041,-0.61470606,-0.68486051,-0.554931317,-0.822399444,-0.395415055
b2080,2.945754538,0.734101439,0.423831795,2.186620092,2.137390811,2.716410035,4.197951655,2.890261797,3.74918276,-0.133560844,2.831766449,3.628422757,3.610263883,2.155320297,0.942209172,1.869021961,1.41295566,-0.269251181,2.533350028,3.454768599,0.548752339,4.221706406,4.865831039,4.965054282,1.01421062,3.109066464,2.006580141,2.270116738,4.253915628,5.043838023,-1.622662493,2.857380799,4.003449976,2.554727878,0.585233483,0.071872223,3.940607477,1.379419293,0.890695057,3.968221005,4.17287843,1.461443394,-0.229123445,1.301146552,4.435189355,3.038196138,5.21602716,0.106985791,6.132002348,0.741194108,5.035169127,1.061388238,2.745246472,-0.848228204,3.865518564,0.094227349,-0.675160445,4.195748641,3.933465805,3.196455977,0.996391675,4.131576849,1.367185977,1.276616556,4.404496996,5.13764554,1.527257571,1.985292549,4.883010089,5.256292346,4.471603674,5.084907359,4.612479255,3.199254782,1.873693585,3.052734266,6.165525508,1.493936987,1.093993981,3.429726876,1.106533611,1.534934901,4.446867307,4.211760244,4.428266342,4.409881701,2.713873186,4.061713984,2.657966876,0.836065401,5.218639237,0.290103245,1.429387004,1.665004165,0.35917905,0,2.884575742,2.912772955,3.932280047,0.84980743,0.980084204,-0.74498066,2.286827314,-0.137134665,0.78717377,2.716064148,0.714602354,3.878389048,-0.253581746,2.624565993,1.708314332,-0.517472434,5.032138923,-0.209752902,1.381764505,3.687651642,1.196158994,1.430376189,-0.070882171,4.5111902,0.960786619,0.874480602,3.359784189,4.275362343,4.657143803,-0.379973866,-1.276558712,5.138682692,5.159917473,3.155590975,1.747707804,1.949944733,0.725437116,-0.129732105,5.069856526,1.243477154,0.554267621
b2114,-0.864714171,-0.797919362,-1.23829129,-0.202050869,-0.302494179,-2.126978514,-0.299494575,-0.913805591,-0.886248244,-0.451627506,-0.431593229,-0.165098155,-0.190460357,-0.247399341,-3.669159882,0.29752726,-1.758585133,-0.364965711,-0.372706059,-0.432703552,-1.818209273,-0.410695727,-0.103604601,0.216978584,-0.308468709,-0.924539593,-0.269402464,-0.044931985,-0.54051207,-0.313491216,-0.226258157,-0.939178996,-2.343401345,-0.326197052,-0.976093411,-0.971081725,-0.93914747,-1.140438803,-0.480393119,0.090961293,-0.519397023,-0.488565896,-0.018319497,-1.776901904,-0.061384078,-0.378517968,0.055655486,-0.803355296,-0.12588071,-0.486786097,-0.451440651,-0.244109364,-0.320837248,-0.08525175,-0.881332586,-0.225499505,-0.451800452,-0.295062088,-0.863605072,-0.503304706,-3.490337394,0.123704236,0.068585837,-0.328972165,0.068905383,-0.316678168,-2.801936014,-0.284731454,-0.00891395,-0.607645673,-0.762404929,0.161711258,-0.460182526,-0.533522072,-0.275831501,0.236822148,0.030809992,-0.562742352,-0.489587768,-0.059061497,-2.268914251,-0.213808338,0.30291963,-2.439173516,-0.67791867,-0.016698297,-2.120599931,0.081455204,-0.388186107,-0.628164552,-0.630057884,-0.413374755,-2.971874348,-0.209867135,-1.749129128,0,-0.397851761,-0.276711922,-0.780569147,-1.815410088,0.044987881,-0.377808331,-0.284680281,-1.023380624,-1.908038943,-0.394531857,-0.844280263,-0.779555999,-0.320396085,-0.237642689,-0.033104676,-0.377347179,0.150869795,0.019573429,-0.538057315,-0.187802678,-2.355481802,-1.748976601,-0.863319523,-0.54751458,-0.088430572,-1.913999855,-0.3447023,-0.328613317,-0.771449377,-0.289986146,-0.186869459,0.196860537,0.131826516,-0.429937259,-0.538769569,0.11177719,-0.52735534,-0.661510922,-0.492801192,-1.088586789,-0.550702489
b0954,1.21297628,-1.461357831,-0.942534633,-0.21187738,0.10116424,-0.976163921,-1.498549439,0.29149411,-1.192486497,-0.11035138,-0.05023227,-0.761396063,-0.943026458,0.06966974,-3.432887072,0.27348854,-2.784798253,-0.22260415,-0.50500024,-0.1970997,-1.774611896,0.4497119,-1.539816335,-1.278441229,-0.320906354,1.15645662,-0.498129558,-0.21935621,-0.270434511,-1.862018721,0.35735329,0.35584707,-1.015342616,-0.583259298,0.70146442,-0.456143229,-1.307069369,-0.939803507,-0.569053109,-0.437172507,-0.22967917,-0.615247871,-0.38688412,-1.676237855,-1.446162735,0.64783394,-1.205657857,-0.525060731,-1.350678412,-0.60957993,-1.914837441,0.77571843,-0.535740829,-0.694960008,0.01783687,-0.573951135,-0.20297449,-1.485654694,-0.769474663,-0.308920182,-3.760391325,-0.333010689,0.44894684,0.80657631,-1.415930597,-1.867219744,-3.642474599,-0.60187942,-1.665950132,-1.915688628,-0.814412868,-1.355327654,-0.390056601,-0.05321016,-0.473462854,-0.752758286,-1.180030155,-0.0282937,-0.60064318,-0.707075537,-1.907144539,0.76592342,-1.604107729,-1.060702455,-0.318129245,-1.473178693,-0.945116576,-0.390672972,-0.04361026,-0.566011944,-2.207985421,0.02544931,-3.775357551,-0.19052963,-1.594771895,0,-0.511099467,-0.399423235,0.00378286,-1.538926752,0.29857687,0.18609348,0.07855349,0.78271608,-1.712806308,-0.0022776,-0.716924982,-0.899894219,-0.10914076,-0.500817969,0.92121308,-0.18129069,-1.030872986,-0.299664614,-0.533223735,-1.002719209,-1.972469318,-2.692530727,-0.14450538,-0.653686103,-0.681973345,-1.65825226,-0.21415456,0.37133252,-0.720489584,0.05401158,0.36426763,-1.395781213,-1.115196091,-0.4679723,0.03766242,0.38970384,-0.923060428,-0.918793284,-1.970895429,-0.726417955,0.34050371
b3309,-0.77327697,-0.5164252,0.25636029,0.67863062,0.06608697,0.9832611,-0.89247387,-1.10509331,-0.58419903,0.46217122,0.14984924,-0.32476537,-0.15087971,0.04308532,-3.173683412,-0.20637776,-1.74760294,0.42730474,0.18918674,0.01651983,0.2664396,-0.55686101,-1.38628055,-0.48321769,0.08002539,-0.83359181,0.64460628,-0.31022743,0.19172676,-1.23069588,0.48039891,-0.95135537,-1.36754009,0.26222916,0.30828865,-0.6330895,-0.59682065,0.11579206,0.19535451,-0.30235916,0.10304007,0.18649925,0.46655772,0.16182404,-0.39887705,0.02605138,-0.4829116,-0.34178442,-1.15496476,0.1765727,-1.10356815,0.29373783,0.30953825,0.15347531,-0.44430261,0.29603424,0.44077006,-0.94550508,0.43084397,0.69980143,-3.175503698,-0.34187662,-0.21690152,0.42193052,-1.20880063,-1.26406683,-2.67894307,0.64356162,-1.43767822,-1.03278868,-0.40745117,-0.58992135,-1.15146789,0.60119602,-0.17660747,0.1141065,-1.04809959,1.0939609,0.08067022,-0.38822479,0.03716368,0.31124686,-1.25131214,-1.41522383,-0.98015725,-0.46707055,1.00120943,-0.2200735,-0.62903955,-0.49006983,-0.92707043,0.36053569,-2.711677555,0.73066946,0.22519865,0,0.16696267,-0.35222274,-0.61377614,0.18391344,-0.3409013,0.48359905,0.20951098,0.37698672,0.50667917,-0.61481246,-0.35171043,0.42459369,0.43220096,0.17995386,0.25902773,0.47507007,-0.55325007,0.42671083,0.11795635,-0.24036442,0.1406486,-1.68193165,-0.35383887,-1.08907304,0.3812026,0.40351497,0.22969726,-0.69256484,-0.78510487,0.46690734,0.36154208,-0.57690511,-0.52059104,0.10802206,1.0757851,-0.1710557,-0.39991218,-0.07613215,-1.14915183,-0.37536899,-0.33489467
b4043,0.155809208,0.847612213,1.026930404,-0.93065207,0.172285699,0.338398693,-0.541020194,0.162077258,0.0676653,-0.261810669,0.180730724,-0.510739887,-0.1747678,0.106615116,-0.138292387,-0.263455441,-0.711029538,-0.473083117,-0.069760134,0.588708872,1.375220034,-0.259477728,-0.922537081,-0.513740984,-0.155664332,-0.022963936,-0.503599117,-0.098270965,-0.706544443,-0.43755434,-0.268304123,0.277418534,-0.372934832,-0.235440998,-0.288675752,0.111791127,-0.026210965,0.970983647,-0.329385017,-0.285637744,-0.725387779,-0.210259927,-0.257864658,1.450690065,-0.123832669,-0.25272168,-0.373242332,0.360747868,-0.784229422,-0.28165293,-0.607692317,-0.238718455,-0.237165871,-0.35036494,-0.464667237,-0.243894949,-0.129513591,-0.616066054,0.211332888,-0.898654812,-0.03244182,-0.294025065,-0.305203017,-0.206307424,-0.589938352,-0.431230791,-0.455680867,-0.563770211,-1.091704082,0.007703074,0.084648232,-0.57030765,0.061983915,-0.655483001,-0.579003962,-0.321822482,-0.648921907,-0.871177574,-0.372378475,-0.628984635,1.635809948,-0.22827379,-0.616498754,-0.430104853,0.107876375,-0.194807965,0.335164702,-0.352636325,-0.023622413,0.226922298,-0.069914229,-0.045242016,-0.418263991,-0.901311743,2.024007534,0,-0.04534773,0.046682393,-0.454001179,1.782267539,-0.394794956,-0.443366181,-0.061909514,-0.336195597,1.325535417,0.03230645,0.407795422,0.163926539,0.033254203,-0.106850891,-0.180745156,-0.507820355,-0.427579699,-0.191080329,-0.423345125,-0.184446839,1.879042831,-0.801053705,0.260673823,-0.040427318,-0.367704589,1.233719039,0.370354068,-0.202994408,0.1970274,-0.541459,-0.22423732,-0.457390714,-0.370324429,-0.107303353,-0.789076973,-0.215351475,0.397002522,1.078680916,-0.724693867,-0.126844276,-0.230475464
b0929,0.12984545,-0.83403959,-2.91727666,-0.13841138,-0.52674943,-2.0484811,-1.05029265,0.12257052,-1.2285027,0.58180697,0.12866192,-0.55055317,-0.70872797,-0.59543119,-5.506469624,0.07605465,-6.294605687,0.39525396,-0.46473439,-0.36804402,-1.23588728,-0.43754679,-0.34119411,-2.5951227,-1.67933676,0.12365582,0.76152488,0.19830316,0.20547993,-0.9933659,-2.60154862,0.22691152,-4.190147335,-0.45631632,-1.66027534,-0.88748351,-1.357493,-2.69182097,0.5116028,0.80593474,0.11473184,-1.08536675,-0.89606262,-1.48917555,-1.4065693,-1.21373141,-3.66479865,-5.836838011,-6.788776281,0.33802894,-1.44344973,-1.04016243,-0.50921441,-0.37869463,-2.98607135,-1.22776934,0.48616839,-1.08673532,-1.02304006,0.62904635,-5.532144745,0.71956181,-0.55793761,-1.03716174,0.21583232,-1.01047905,-6.161307389,0.72586787,-0.47062082,-4.137412976,0.98759214,-2.84069538,0.9244912,0.64979027,-1.51429052,-1.60837971,-6.192720405,-0.00554905,-0.08918025,-0.45098444,0.69123496,-0.25474188,-0.00627806,-4.266814068,0.91854291,-1.46422519,-2.10123724,0.82709483,-3.0868999,-0.46872076,-4.182631231,0.44218231,-6.070837676,-0.11156202,0.74788609,0,-0.76939132,0.54686404,-2.94455578,0.69008494,-0.6246584,0.39327925,-0.08337775,-1.70978483,-1.12066707,-3.08416463,-5.896143681,-1.04720116,0.22271688,-0.62405295,-0.39764193,0.43016972,-3.6794177,-0.87288752,-0.13344839,-0.73821946,0.81622772,-6.344869674,-1.14968228,1.02750379,-1.23181002,-0.99295004,-0.23073339,-0.30570603,1.07543537,0.54750335,-2.56010799,-2.80096948,-3.7017622,-0.83667733,-0.00023233,-0.03411315,-0.35291634,-0.99195473,-1.43012025,0.24368001,-1.18252648
b0006,-0.447833762,0.252112196,-1.256339504,0.03437597,-0.007914919,-1.795053516,-0.041028858,-0.112693735,-0.24285916,-0.120897876,0.045892934,0.182015833,0.153148285,0.039023454,-1.247742327,0.399246111,-0.460527409,0.241011036,0.115331938,-0.010013253,-1.624017064,-0.021478092,-0.542041941,0.394867848,0.327033237,-0.363888125,-0.113780416,0.196179353,-0.075689509,0.091216625,-0.152152506,-0.259193324,-0.061785065,0.135544403,-0.940405934,0.164832898,-0.107675062,-1.139027586,0.124477161,0.397465519,-0.157202115,0.120984306,0.059100883,-1.364017864,0.183661021,0.24695325,0.543191869,0.105172347,0.031996636,0.014337147,0.10023525,0.287189203,0.230119262,-0.096213599,-0.223727175,0.108565681,-0.258672199,0.183482688,-0.225158861,-0.786134969,-1.338117409,0.509676878,0.268770584,0.128978725,-0.155710159,0.189815456,-0.360242317,-0.133629373,-0.462096925,0.703658472,0.257157069,0.368922157,-0.085047902,-0.589467777,0.15193937,0.428220457,0.016182272,-0.386171964,-0.111060224,0.097532488,-0.647320576,0.03692196,-0.311981749,0.049339933,-0.184999486,0.176881791,-1.771469181,0.408651753,0.004243377,-0.279594945,0.594284098,0.128995987,-0.412399647,-0.008540952,-0.925574463,0,0.262771518,0.187551393,-0.262490211,-0.941210725,0.385182828,0.49876442,0.10565428,-0.80518036,-1.258086757,0.064569416,0.049889507,-0.245103444,-0.078491908,0.15210769,-0.060038789,0.225400054,0.55291485,0.138337243,-0.34395247,0.152928345,-0.624289178,-0.27479061,-0.066977109,-0.243756043,0.341245041,-1.285546707,0.115486876,-0.187933451,0.160548662,0.164769381,-0.123685908,0.385079368,0.548338757,0.250012474,-0.102804634,0.186180136,-0.179730444,-0.056948142,0.168644414,0.090562294,-0.681922742
b3029,0.660364361,1.246007715,0.427173021,-0.253076629,0.633856073,1.319964685,0.356691393,0.81977092,0.704862404,0.365469174,0.773570118,0.344317272,0.224847546,0.724903457,1.773611282,-0.050280563,1.871765262,0.315360639,0.851193815,1.123008151,0.055752097,0.237978075,-0.524539634,0.499379457,1.161288342,0.742983906,0.174618563,-0.023529858,0.047175902,0.371093305,-1.013785255,0.792108228,1.626168098,0.725093943,0.133817584,0.921170715,0.833753939,0.680880868,-0.071020602,0.247106662,0.02376479,1.072835663,-0.998565262,0.246786296,0.372986131,0.41437255,0.90747157,0.940970563,0.936935425,0.082224404,0.176101415,0.417831829,0.641843985,-1.003090957,-0.353584323,0.970930016,0.331716749,0.228284478,0.641103162,-0.244629816,1.411717095,0.215489584,-0.065493389,0.428872717,-0.529332737,0.594259298,1.475545431,0.115549155,-0.433286161,0.401857313,0.536554719,0.490173283,1.034535883,-0.047436239,0.010326336,0.162667449,0.60541906,-0.811524729,-0.091049665,0.016535904,0.620909138,0.393202897,-0.678720822,1.708389962,0.786005166,0.500770906,1.30168997,0.228228637,-0.319052985,1.110550883,0.40825431,0.648878913,1.501884467,-0.34326299,0.372270316,0,0.909385788,0.470348874,-0.390359726,0.53815347,-0.145374141,0.407172857,0.466039875,0.153097559,0.279763282,-0.413030395,0.930919362,0.675402839,0.460844028,0.8391397,0.35463011,0.310145793,0.950074102,-0.888579856,-0.17872617,0.283513907,0.391414658,1.825960282,0.476939957,0.751364946,0.823290769,0.503280604,1.116574575,0.253956601,0.946573864,-0.079431268,-1.064744479,0.420903495,0.79199381,1.07687798,-0.784269225,-0.169018808,1.168000289,0.527219468,0.265335152,0.650083372,-0.274200231
