,heckmann_Acetate1_B1,heckmann_Acetate1_B2,heckmann_Acetate2_B1,heckmann_Acetate2_B2,heckmann_Acetate3_B1,heckmann_Acetate3_B2,heckmann_C13_A3_B1,heckmann_C13_A3_B2,heckmann_EVO1_B1,heckmann_EVO1_B2,heckmann_EVO2_B1,heckmann_EVO2_B2,heckmann_GLU_A10_B1,heckmann_GLU_A10_B2,heckmann_GLU_A4_B1,heckmann_GLU_A4_B2,heckmann_GLU_A6_B1,heckmann_GLU_A6_B2,heckmann_GLU_A8_B1,heckmann_GLU_A8_B2,heckmann_Glycerol2_B1,heckmann_Glycerol2_B2,heckmann_pgiEVO1_B1,heckmann_pgiEVO1_B2,heckmann_pgiEVO2_B1,heckmann_pgiEVO2_B2,heckmann_pgiEVO3_B1,heckmann_pgiEVO3_B2,heckmann_pgiEVO4_B1,heckmann_pgiEVO4_B2,heckmann_pgiEVO5_B1,heckmann_pgiEVO5_B2,heckmann_pgiEVO6_B1,heckmann_pgiEVO6_B2,heckmann_pgiEVO7_B1,heckmann_pgiEVO7_B2,heckmann_ptsEvo1_B1,heckmann_ptsEvo1_B2,heckmann_ptsEvo2_B1,heckmann_ptsEvo2_B2,heckmann_ptsEvo3_B1,heckmann_ptsEvo3_B2,heckmann_ptsEvo4_B1,heckmann_ptsEvo4_B2,heckmann_sdhEvo1_B1,heckmann_sdhEvo1_B2,heckmann_sdhEvo2_B1,heckmann_sdhEvo2_B2,heckmann_sdhEvo3_B1,heckmann_sdhEvo3_B2,heckmann_tpiEvo2_B1,heckmann_tpiEvo2_B2,heckmann_tpiEvo3_B1,heckmann_tpiEvo3_B2,heckmann_tpiEvo4_B1,heckmann_tpiEvo4_B2,heckmann_Xylose1_B1,heckmann_Xylose1_B2,heckmann_Xylose2_B1,heckmann_Xylose2_B2,heckmann_Xylose3_B1,heckmann_Xylose3_B2,heckmann_Xylose4_B1,heckmann_Xylose4_B2,BOP27(4gL Acetate)R1,BOP27(4gL Acetate)R2,"BOP27(4gLglucose, 5mM methionine)R1","BOP27(4gLglucose, 5mM methionine)R2","BOP27(4gLglucose, W2, 2gL cytidine)R1","BOP27(4gLglucose, W2, 2gL cytidine)R2","BOP27(4gl glucose, M9)R1","BOP27(4gl glucose, M9)R2","BOP27(4glglucose, W2, 2gl glutamine)R1","BOP27(4glglucose, W2, 2gl glutamine)R2",BOP27(4glglucose_NoTE_wDPD)R1,BOP27(4glglucose_NoTE_wDPD)R2,BOP27(Acetylglucosamine)R1,BOP27(Acetylglucosamine)R2,BOP27(Fruc)R1,BOP27(Fruc)R2,BOP27(Fumarate)R1,BOP27(Fumarate)R2,BOP27(Galactose)R1,BOP27(Galactose)R2,BOP27(Glucarate)R1,BOP27(Glucarate)R2,BOP27(Glucose wPQ)R1,BOP27(Glucose wPQ)R2,BOP27(LB)R1,BOP27(LB)R2,BOP27(Pyruvate)R1,BOP27(Pyruvate)R2,BOP27(Sorbitol)R1,BOP27(Sorbitol)R2,BOP27(W2wCytosine)R1,BOP27(W2wCytosine)R2,BOP27(pH5.5)R1,BOP27(pH5.5)R2,CRPAR1 B1,CRPAR1 B2,CRPAR1AR2 B1,CRPAR1AR2 B2,CRPAR2 B1,CRPAR2 B2,Del-Cra_Acetate R1,Del-Cra_Acetate R2,RPOBE546V(Glucose)R1,RPOBE546V(Glucose)R2,RPOBE546V(LB)R1,RPOBE546V(LB)R2,RPOBE672K(Glucose)R1,RPOBE672K(Glucose)R2,RPOBE672K(LB)R1,RPOBE672K(LB)R2,del-cra glucose R1,del-cra glucose R2,del-cra(Fructose)R1,del-cra(Fructose)R2,del-crp glucose R1,del-crp glucose R2,del-crp glycerol R1,del-crp glycerol R2,evo04R1,evo06R3,pgi1R1,pgi1R3,TCS_WT_etoh__PnPR1,TCS_WT_etoh__PnPR2,WT_42C__PnPR1,WT_42C__PnPR2,glu_glu_ale4__glu_403_13__PnPR1,glu_glu_ale4__glu_403_13__PnPR2,hot_tale_hot_ale3_30C__3_228_30C__PnPR1,hot_tale_hot_ale3_30C__3_228_30C__PnPR2,hot_tale_hot_ale3_37C__3_228_37C__PnPR1,hot_tale_hot_ale3_37C__3_228_37C__PnPR2,hot_tale_hot_ale3_44C__3_228_44C__PnPR1,hot_tale_hot_ale3_44C__3_228_44C__PnPR2,hot_tale_hot_ale3_mid_30C__3_181_30C__PnPR1,hot_tale_hot_ale3_mid_30C__3_181_30C__PnPR2,hot_tale_hot_ale3_mid_37C__3_181_37C__PnPR1,hot_tale_hot_ale3_mid_37C__3_181_37C__PnPR2,hot_tale_hot_ale3_mid_44C__3_181_44C__PnPR1,hot_tale_hot_ale3_mid_44C__3_181_44C__PnPR2,ros_tale_7_103_0pq__PnPR1,ros_tale_7_103_0pq__PnPR2,ros_tale_7_103_250pq__PnPR1,ros_tale_7_103_250pq__PnPR2,ros_tale_7_103_750pq__PnPR1,ros_tale_7_103_750pq__PnPR2,tcs_del_baeR_etoh__PnPR1,tcs_del_baeR_etoh__PnPR2,tcs_del_phoB_m9__PnPR1,tcs_del_phoB_m9__PnPR2,tcs_del_phoB_m9p__PnPR1,tcs_del_phoB_m9p__PnPR2,tcs_del_rcsB_etoh__PnPR1,tcs_del_rcsB_etoh__PnPR2,tcs_wt_CuSO4__PnPR1,tcs_wt_CuSO4__PnPR2,tcs_wt_lb__PnPR1,tcs_wt_lb__PnPR2
b3607,1.498802807,1.335531232,1.036685517,1.037169447,1.862984528,1.940447025,0.537140071,0.933391248,0.993413582,0.692672582,0.861941975,0.449605766,0.613812265,0.782744104,-0.039535496,0.039535496,0.73456616,0.963494492,0.237839327,0.194304408,0.949902637,0.933529102,0.568762707,1.15038396,1.140826782,1.071592574,1.158837512,1.009216504,0.743138548,1.566844369,1.534297781,1.548887141,1.398982912,1.41616368,1.041762816,1.395112347,-0.923596494,-0.541455853,-0.210954951,-0.620438386,-1.218735547,-1.250900413,-0.158627932,-0.938520999,0.949259991,0.562975697,1.007424592,0.897979486,0.195830799,0.99111251,1.166719288,1.338201221,1.225683028,0.962225062,1.33910651,1.529903763,1.47171208,1.147341155,1.196618142,1.836837216,0.972885194,0.663568424,1.397840596,0.976262243,-0.915856158,2.649376183,0.690162927,2.360781692,1.147913461,-0.439741098,1.323457303,0.504357525,-0.047234969,0.33211548,1.885111526,1.747149174,0.867815375,1.350033417,1.235168548,0.904256832,2.957195484,2.78287353,1.306678304,2.130575768,1.900571693,2.316170389,1.348767791,0.735675297,0.83057232,0.4251226,2.317238657,2.431116479,0.490300548,1.203261286,2.639800507,1.288193778,2.38918943,2.016031673,3.299524589,1.197373743,1.735761563,1.288747574,-0.055742255,1.954332177,0.399256606,-0.074614473,0.462691092,0.72053419,0.334490828,-0.73378816,-0.206148915,-1.118028713,0.252922979,-1.290286628,1.102691502,1.089647826,0.343778787,0.794815032,1.075438199,1.135983031,0.593000229,3.075313683,-0.200091238,0.200091238,0.590849967,2.872270573,-0.498706027,-0.13923147,3.079483061,0.923465394,-0.439277984,0.439277984,0.401599738,1.85174578,0.347368398,0.49451463,0.089062959,0.703393378,-1.738883733,1.299353384,-0.025873032,0.174726008,-1.612522925,0.565153877,3.144286091,1.764083497,0.734015023,3.225144181,3.357112541,0.65090244,-0.920148941,-0.009384303,0.819231168,0.303007105,0.168980573,1.465410881,-0.387957745,-0.45748171,0.372659811,-1.006090469,-3.517979562,-0.722887897
b1264,-0.073757553,0.332159617,-0.107470431,-0.107633486,0.333577255,0.182885734,0.236469863,0.121023307,0.432135801,0.40827098,-0.073558665,0.687274852,0.523021273,0.521468318,0.073057277,-0.073057277,0.529126189,0.606986358,0.181234576,0.313836168,-0.229592527,-0.431506782,1.794317992,1.599889866,0.477895225,0.559940521,1.516698086,1.15839967,0.470509217,0.46663477,0.933381701,0.860038492,0.574918926,0.495250386,0.444298606,0.17446549,0.097761511,0.053408728,0.04541304,-0.024772487,0.537278209,0.059703922,0.200895733,0.242524173,0.208396803,0.27659396,0.134934979,0.124686095,0.135780076,-0.048408948,0.074956087,0.064426701,0.544127272,0.88977286,-0.157947856,-0.06218255,0.059090709,-0.162011789,-0.253019057,-0.443935728,0.367672683,0.172798945,0.121793486,-0.05090823,-0.757098827,-0.638759528,0.852700533,0.97189859,0.908657126,0.429155509,0.129154718,-0.209386559,1.290583266,1.415634685,1.943347692,2.04901101,1.422997298,1.209639001,-0.876463715,-0.499823877,-0.68503931,-1.094128734,0.206946737,0.331854312,-2.393259123,-2.457695366,-0.415781995,0.018589973,-8.472476862,-8.472476862,-0.421853666,-0.878833086,-1.520884436,-0.988376737,0.615511888,1.857540996,-0.483942333,-0.879190689,-0.448693051,-0.699961209,-0.723324523,-0.332940103,-0.717006323,-0.371241387,-0.6815526,-1.483870244,-0.71320817,-0.458436874,-8.472476862,-8.472476862,-1.057297381,-0.767428788,-8.472476862,-8.472476862,-0.075673962,-0.306589324,0.474181782,1.106674906,-0.967745439,-0.565012273,1.352123518,-0.679704432,-0.01366348,0.01366348,1.139864716,1.619704349,-1.752164686,-1.652599019,0.947441004,0.694183963,-0.18302698,0.18302698,-0.985775578,-0.977019609,-0.710271751,-0.702693218,-0.114833771,0.198957795,-0.799363923,-0.858606825,-0.448062043,-0.713676369,-0.096700289,0.422050136,-1.229589829,-1.628471265,-0.873340583,-1.356552205,-1.078245821,-0.834989592,-1.788812798,-1.753378542,-0.099677039,-0.117011622,-0.635845802,-0.00027993,-1.782679775,-1.857677247,-1.619508915,-1.567358185,-1.725597263,-1.569309962
b3469,-0.701867467,-0.785518339,-0.809084978,-0.811051602,0.784197465,0.976187577,1.090581118,-0.668145963,-0.255944627,0.503888521,-0.571078446,0.422023632,-0.808656263,-0.819494536,-0.189671012,0.189671012,1.409508314,1.444354718,-0.342651655,-0.39838123,0.648558143,0.692146288,-0.419630507,-0.107886907,-0.51591772,-0.489935159,-0.732791769,-0.76863585,-0.435269114,-0.413084732,-0.834262993,-0.841728778,-0.819945798,-0.842004386,0.196739572,-0.236758919,-0.941804236,-0.974298157,-0.900896695,-0.944353049,-0.060179617,-0.05998215,-0.944057262,-1.008752252,-0.917949456,-0.923657672,-0.833296462,-0.871680014,-0.847382823,-0.866631947,-0.885360291,-0.879868279,0.419633021,0.434199867,-0.900081514,-0.919675037,-0.560062733,0.965874123,-0.869809554,-0.8690718,-0.447912407,-0.510639258,-0.794378282,-0.738433895,2.381150537,2.357896698,1.013645211,0.680168091,-3.889698451,-3.718855763,-2.622828429,-2.196703312,-2.021959067,-4.746878727,-1.978896442,2.8869175,-3.586307841,-2.917893549,-3.026492933,-2.418268109,-1.885612188,-2.537702637,-3.312733605,-6.016073237,-5.026420964,-4.745270961,-2.692884601,3.087456181,-2.792234859,-3.109351082,-3.300255069,-2.971109305,-4.161868126,-3.894471764,-4.102461905,-3.77420687,-4.099384625,-2.420830638,-2.35932391,-2.602360528,-3.027098873,-2.88174255,-3.078762474,-2.492002431,-2.82167632,-3.586678359,-4.257023828,-3.484785467,-1.410017157,-2.960542637,-4.578825936,-4.235729858,-1.966825463,-2.430702521,4.157644641,-2.734342224,-3.10114788,-2.235577189,3.317336887,-3.29838209,-3.735800877,-3.816260937,3.860217348,-3.860217348,-3.21704618,-3.010387842,3.017419266,2.503866936,-0.077174999,0.981957736,-0.646745232,0.646745232,-0.837894172,-1.406475067,-2.513265438,-1.671830908,0.57313657,-0.448001034,-1.018187179,-1.388369931,-2.505560366,-2.423921584,-1.873778283,-0.824078619,1.453180556,0.94118724,1.922190922,1.825343772,1.562455746,1.775586685,2.427583188,3.300556596,0.966300924,-0.056685444,0.312785398,-0.130572802,3.342051849,2.567142953,1.855894242,1.575510545,2.779482452,2.761588238
b0967,-0.849946101,-1.229189402,-0.386420052,-0.216835593,-0.469528958,-1.085610637,-0.573908933,-0.384398975,-0.36869786,-0.076174098,-0.034251901,-0.229018976,0.139523473,0.216975784,0.104801759,-0.104801759,0.331961966,0.300607593,-0.121447266,-0.321994568,-0.353716332,-0.461120834,-0.050691485,-0.579942859,-0.266057538,-0.421199197,-0.509019531,-0.450440722,-0.192611466,-0.13683713,-0.20818431,0.118835803,-0.229017264,-0.348419953,-0.163630672,-0.494652121,-0.035587315,-0.129461806,-0.425070739,-0.742261351,0.188672637,-0.328729343,0.077190913,-0.371131792,-0.159495279,-0.009525755,-0.127210925,0.014029019,0.095473504,-0.215649697,-0.690862353,-0.154840605,-0.620313665,-0.786432832,-0.090497696,-0.104660831,-0.09736292,0.009920881,-0.137254511,-0.202642047,-0.100661294,-0.303236269,0.123192474,-0.31907939,-1.035542356,-1.530417957,0.361146988,0.566125167,-2.314922748,-1.909297793,0.599686253,0.07820902,0.171988108,-0.312215748,-0.228183349,-0.34582166,-0.11855318,-0.041606535,-1.115296792,-0.75803602,-0.71930035,-0.990768896,0.059307429,0.328174669,0.022077461,-0.494171357,0.057569232,-0.346142382,0.639207172,-0.079775117,-0.595024458,-0.629926348,-3.610387751,-1.13052133,-0.952623523,0.298341072,0.227467741,0.263655516,1.010635717,-1.500970159,-0.016636669,0.275072683,-1.038264004,0.295298847,-1.025325726,-1.852135174,-0.483942231,-0.405597776,1.309501709,0.232179137,-0.324034462,-0.373512289,0.320298191,0.936800643,-0.403934053,0.154540446,0.257082412,-0.762308246,-0.648430289,0.120275997,-0.039825656,0.056910967,-0.078963902,0.078963902,-0.41529849,-0.304454908,0.158132974,-0.249371231,-0.299872796,0.39802298,-0.315574902,0.315574902,-0.516931894,-0.525952395,-1.047570105,-1.569836574,-0.471160258,-0.282336371,-0.57595598,-0.806385079,-1.12098237,-0.930493118,-0.450155622,-0.401363593,-1.354989673,-1.91686847,-0.043094542,-0.805364013,-0.935087929,-1.747784371,-0.836590834,0.009608846,-1.074343183,0.017752047,-0.986912044,-0.844630199,0.770788573,-0.755732976,-0.164810762,-1.048045363,0.604027188,-0.321031799
b3871,-1.955415267,-1.534756497,-1.869016117,-1.844199357,-1.719794031,-2.075400924,-0.655891742,-0.450767604,-0.292263423,-0.270529464,-0.269022922,-0.292497895,-0.584780254,-0.603743502,-0.322411581,0.322411581,-0.398031411,-0.398942405,-0.418702642,-0.345933501,-0.775779394,-0.794048467,-0.037617109,-0.63887664,-0.506662541,-0.633098581,-0.529853784,-0.341606329,-0.782830558,-0.713426367,-0.539107195,-0.444217628,0.289340029,0.125907626,-0.462097052,-0.387487192,0.045892405,0.281849605,0.053095716,0.30951074,0.045636793,-0.008017453,0.087142367,0.466258356,-0.272511693,-0.158101492,-0.449954889,-0.342786395,-0.108460717,-0.535048939,-0.650328322,-0.658402829,-0.362617485,-0.586966717,-0.582919956,-0.539586313,-0.32691773,-0.327996796,-0.399231568,-0.537100792,-0.423804285,-0.576593864,-1.051751443,-1.181822205,-2.016049557,-2.250325072,-0.565576686,-0.616105277,-0.447588206,-1.116693546,-0.095200034,-0.643999207,-0.498897924,-0.59915091,-0.686103849,-0.811291747,-0.817060913,-0.59489909,-1.299928878,-1.327761511,-1.64330551,-1.920929769,-0.646155699,-0.851762197,-1.148036528,-1.1909125,-0.632106422,-0.83384905,-0.327131938,-0.909722188,-1.505285762,-1.533993752,-2.163038766,-1.321735768,-1.47466048,-0.871368186,-0.60529239,-0.639261973,-0.702360242,-0.743088318,-0.657310892,-0.965617728,-1.843641846,-1.439458987,-1.360168041,-1.400156877,-0.695492886,-0.436932514,0.011118744,0.094456778,-0.100173728,-0.080068287,-0.090648271,0.046838475,-0.344531095,-0.509729701,-0.522632383,-0.445934232,-0.834167398,-0.942251894,-0.720576365,-0.773878993,-0.090803294,0.090803294,-0.582104371,-0.387092214,-0.670947635,-1.312808883,-0.868369177,-0.5004293,-0.378874129,0.378874129,-0.2908054,-0.693078618,-0.559465143,-0.698100092,-0.947650961,-1.860136871,-0.775302048,0.130292218,-0.736122185,-0.74346765,-1.866446565,-1.797689449,1.632418594,1.335085268,1.584470121,1.551050971,1.705979917,0.459213968,-1.133169995,-0.574417719,-1.047338085,-0.618958821,-0.558392353,-1.037333086,-0.426413817,-2.003364475,-0.811941364,-0.465675728,-0.268402593,-0.305499917
b1641,-0.132730236,-0.551044656,-0.415218782,-0.352759613,-0.822048973,-0.780466428,0.103224292,-0.004068521,-0.068471702,-0.153523658,0.09894507,-0.438851798,-0.361476179,-0.352378816,0.015963977,-0.015963977,-0.401756649,-0.503521131,-0.283431812,-0.621165577,-0.066854595,0.213855186,-0.86849147,-0.393307897,-0.001069601,-0.044509991,-0.160337899,-0.072317499,-0.198886272,0.294248147,0.26660746,0.192960714,0.221280881,0.419300063,-0.07985922,0.134040929,-0.051752402,-0.000902992,-0.566452858,-0.448078021,-0.165057839,-0.285179452,-0.002856999,-0.292209183,-0.779596755,-1.031219094,-0.549813354,-0.764975808,-0.179587233,-0.533050885,-0.268750688,-0.064220204,-0.405351373,-0.232537127,-0.683418372,-0.408235458,-0.456444287,-0.380874861,-0.738460491,-0.396503951,-0.662290183,-0.76747911,-0.52775398,-0.471646409,-0.160389162,0.802841022,0.785126793,0.928579892,1.354757121,3.089249951,0.031522652,-0.547934213,1.335571483,1.497921194,1.167581641,1.462311259,0.757799179,0.672226521,0.232971813,1.072436718,0.808612497,0.645546435,-0.26124117,0.013479308,1.086234046,1.249990041,0.185214327,0.196377227,1.236139284,1.38943598,0.682022078,0.526135107,0.20282991,-0.194895152,2.486144296,2.052987793,1.642362898,1.918863944,1.160373281,1.364605368,1.857170245,1.499918478,2.103310631,1.815265321,1.335808129,0.37069857,-0.184121211,0.473107373,-1.311695405,1.903590979,0.625180721,0.910441977,0.587374711,1.651761924,0.509830153,0.137883664,1.32338397,-0.115077545,1.921482611,1.460117026,1.865663667,1.80067805,0.250985603,-0.250985603,-0.239588527,0.35526517,1.143095766,0.101610806,1.088148039,-0.478292295,-0.207180214,0.207180214,-0.936090298,-1.697002894,-0.969399973,-0.733364887,-0.524132505,-1.233915867,-0.274078598,-0.35339765,-1.468764102,-0.727292224,-1.346013746,-0.822534665,-0.027344644,0.662407672,-0.3797884,0.806716367,0.546623003,0.614223071,1.030558245,0.147646822,0.553536489,-0.21351306,0.228889644,0.046309724,0.831421026,0.955997153,1.126918572,1.421942856,0.660892341,0.865521692
b3172,-1.326849377,-1.218819313,-0.610113166,-0.422081451,-1.30696876,-1.398638772,-0.299043094,-0.368152704,0.464932152,0.096948962,0.424313594,0.685182238,0.444268961,0.505567153,0.116557945,-0.116557945,0.462330481,0.624672824,-0.307828998,0.593772895,0.305090356,-0.090739878,-0.368312534,-0.583155915,0.103845172,-0.337136444,-0.035976626,-0.215905018,-0.214607113,-0.080093768,-0.513192275,-0.577764325,-0.527388741,-0.260877356,-0.271764157,-0.231628771,0.177612663,0.166082488,0.078305878,0.115685195,0.184460895,0.371723555,0.117779464,-0.276907839,0.061421422,0.359927715,0.672789249,0.43175865,0.168871856,0.359597617,-0.171544463,-1.023125943,-1.050960449,-1.179666449,-0.304357208,-0.782440378,-0.010729634,-0.291117789,-0.960420486,0.349686915,-0.598161655,-0.371542788,-0.043009894,0.095902115,-2.696586065,-3.143473303,0.759442,0.020343041,-1.62587703,-1.65166053,-0.080772003,-0.287205481,-1.539918759,-1.804027243,-1.045867511,-1.541794763,0.226936772,-0.779628341,-1.66320718,-0.725158369,-2.554092779,-1.14640577,-0.618029334,-0.732205573,-1.29932432,-3.131395855,-0.531675907,-0.687497927,-5.960644588,-7.124011617,-0.797263478,-0.689934719,-5.651054767,-4.17978236,-1.945848881,-1.641472855,-1.445920955,-1.058370842,-0.052249223,-0.945223306,0.41392135,0.193094543,-1.446545142,-1.499815273,-3.11805146,-3.303178058,-0.027244792,0.096445527,-5.236642008,-5.279757271,-0.521931307,0.097874918,-5.962018273,-5.397738003,-0.34454243,-0.234694154,-0.468458353,-0.551845735,-0.907387864,0.411134868,-1.025915639,0.813277933,-0.016492846,0.016492846,-0.272829445,-0.415801844,-5.859581533,-4.472648179,0.680015763,-0.294659741,-0.229422658,0.229422658,-1.255691118,-0.971725653,0.062076553,-0.212686668,0.685488662,0.086755384,-1.106150802,-0.937629506,-0.128759424,0.574680005,0.032230726,-0.41265355,0.508124443,-2.100094958,-1.707018893,-1.691556042,-2.220366146,-2.312746819,-5.225210304,-3.904937087,-1.322221235,-0.562054166,-0.549432099,-0.455104147,-5.444451605,-7.347426048,-6.184651268,-6.461406043,-5.32747235,-5.081523497
b3493,-0.123655134,0.157816268,0.431600918,0.606676213,-0.291322038,-0.170513532,0.18364168,0.357536688,-0.225735927,-0.08524439,-0.076404381,-0.146198688,0.519157582,0.526677399,-0.147179833,0.147179833,-0.067966599,0.277127629,0.206331349,0.714358792,0.507574605,0.016669738,0.037362891,-0.454080235,-0.242334005,0.095824057,-0.331768472,-0.502122556,0.44435379,0.005106227,0.080826759,0.251243971,-0.027886276,-0.062096412,-0.241177006,0.456727771,0.586648445,0.299708771,0.559998087,0.553276174,0.833006114,0.640299074,0.737313654,0.095002087,0.324086983,0.316144672,0.051289165,0.422274084,0.579715919,-0.105085745,-0.113258912,-0.037528281,0.189425255,-0.10611926,0.320061554,0.259782359,0.857816447,0.52536628,0.73264892,0.561697523,1.516686607,1.411127696,1.284784151,1.242314874,-0.46659765,0.041312658,-0.81051276,-0.780625267,-0.236363424,-3.666803942,0.41728566,-0.129652297,0.149953469,-0.177597046,-0.342577119,-0.454328944,-1.018114356,-0.59648332,-0.201921778,-0.919969474,-1.2362116,-1.128095988,-0.385031031,-0.046073761,-1.353352644,-1.991331064,-0.130115347,-0.491341153,-1.187575498,-1.996831757,0.947602557,-1.516292707,-0.916138402,-0.513984039,-1.435528734,-0.454119239,-1.210722466,-0.537395432,-1.806804453,-1.56716738,-1.277121867,-1.620630479,-1.213004779,-1.071298258,-1.636113743,-1.951285805,-1.424702277,-0.866740905,0.073707813,-0.46544856,-2.496973102,-0.783830047,0.187722271,-1.611572951,-0.893387323,-0.980727404,-0.588220358,-0.495554787,-1.618652143,-1.352835767,-1.886922068,-1.561904522,-0.21753818,0.21753818,-1.133236858,-2.199334577,0.166107743,-0.74890688,0.899953091,0.972392984,-0.62256976,0.62256976,-0.0084878,0.415181845,-0.835186512,-0.09790904,-0.522754013,-1.105230597,0.79113906,0.316717954,-0.803292425,-1.299877545,-1.99325217,-1.134834933,-1.939604345,-1.878565083,-2.021154223,-1.839967329,-1.903452034,-1.92943635,-1.004958814,-0.407468743,0.140267124,0.113907982,-1.1776779,0.163713393,0.361467559,-0.682516271,0.866700188,0.097201359,1.106561899,0.724214621
b2149,2.488524445,2.774569994,2.774417388,2.967046431,3.662174985,3.573018909,0.083539839,0.097949572,0.095474475,0.103326339,0.053695237,-0.02739536,0.089123059,0.078317178,0.0078901,-0.0078901,0.098650346,0.133132499,0.009308089,-0.04605656,0.009947549,0.010988832,0.364209907,0.387446287,0.769597582,0.899131578,0.585494062,0.662157776,0.919676482,0.840734875,0.335447443,0.347673582,0.339807191,0.317767425,0.287885569,0.217055097,-0.043609651,-0.075996296,0.248917694,0.205504367,-0.049780763,-0.049584925,-0.045855317,-0.110333984,0.083955114,0.078259748,0.064556855,0.026291109,0.050513365,0.031323504,1.070186298,1.164342599,1.267591956,0.942128009,-0.002021187,-0.021552143,-0.025270311,-0.016488135,2.377539692,2.108001935,0.105788517,0.043382677,0.595538046,0.590663532,6.891790716,6.233496246,2.30942436,1.834191437,-0.542890782,-0.487055771,2.112679972,0.932044601,1.14442615,1.038524181,1.591363442,1.415576143,1.285212589,1.566922471,5.955848559,5.482112735,5.601193995,5.188594113,6.458574738,6.130466593,2.564491425,2.582529816,1.729144641,1.128385891,4.615275652,3.27029853,4.893744534,4.788907081,5.743723428,5.797732433,0.828366485,0.775632868,-0.450001351,-0.518909765,1.706297559,4.574138908,-0.5489539,-0.5254215,-0.566196382,-0.551771313,1.990744001,0.496272071,-0.481447968,0.200869106,6.754146692,5.573535953,-0.1643072,-0.167027776,5.785195656,5.450913622,-0.557999061,-0.518429957,-0.553054438,-0.546719087,-0.538959916,-0.538509609,-0.541574944,-0.421383447,-0.480000378,0.480000378,4.26796501,3.829360038,4.839459099,4.064508765,0.722133118,0.521129738,-0.902957971,0.902957971,0.375679379,0.788891884,0.842952381,0.790916962,0.350226013,0.926000306,1.14778655,0.496558102,-1.319112013,0.234688324,-0.608750309,-0.661592756,0.389483829,-1.21096971,-0.926100261,-0.79664394,-1.226573673,-1.242758296,4.378134666,5.156027244,0.109635204,-0.847942138,-0.855183227,-0.847701299,5.497364553,4.65135829,5.646536832,5.097096808,5.971528595,5.517150245
b3764,-0.819451049,-0.628667368,-0.442122833,-0.690992676,-0.516468796,-0.579088868,-0.01813715,-0.241137745,-0.240889798,0.115305443,-0.492122367,-0.425507473,-0.378271021,-0.246364402,0.146616025,-0.146616025,-0.472384848,0.209977591,-0.353636152,-0.42071771,-0.374545352,-0.559683655,-0.492295575,0.038243777,-0.232960589,-0.050870976,0.190965585,-0.427456785,-0.188416932,-0.261771186,0.762728519,0.496152654,0.173274649,0.161189871,0.355716019,-0.216697512,-0.118086123,-0.321076553,0.908550793,0.888733994,0.531618796,-0.059373101,0.932242887,0.559771698,-0.693133303,-0.373981755,0.249138594,-0.5768488,0.147679488,-0.493707642,-0.273171375,-0.350311878,-1.091448754,-0.965724793,0.031707431,-0.303410257,-0.929460086,-0.672567913,-0.268260583,-0.881699968,0.028196195,0.045418821,-0.178237119,-0.080338996,-2.016157062,-1.480278134,-0.362271239,-0.417925228,-0.7969067,-2.119016969,-0.36358515,-0.738768815,-0.140276051,-1.399619644,-0.503409743,-0.683630815,-0.834913561,-0.798523399,-0.220021023,-0.729850955,-0.774823994,-0.524651128,0.476768393,0.206643591,-0.992891912,-0.950976431,-0.552509174,-0.615826858,-0.452187571,-1.447165189,-0.374599439,-0.260717323,-2.271518203,-0.678510485,-1.325619133,-0.335058441,-0.339672395,-0.641688768,-0.087194529,-0.535573271,-0.631905039,-0.570695171,-1.181905817,-0.707434961,-0.958841996,-1.099055471,-0.607133333,-0.500961154,-0.876573308,-0.491564806,-1.741054995,-0.14610885,-0.031464005,-0.436756487,-0.272091973,-0.100425561,-0.23508257,-1.009053832,-0.858455384,-1.622295919,-0.477489926,-0.84066916,-0.038464088,0.038464088,-0.242612511,-0.507996406,0.005850235,-0.259480651,0.555752861,0.533317314,0.014944589,-0.014944589,-0.829712586,-0.755903857,-0.279864258,-0.379369168,0.707776555,0.441474926,-0.992556201,-0.767004365,-0.372745151,-0.291769989,0.199016597,-0.068196512,1.923479274,1.705034446,1.244881339,1.847728296,1.07846661,1.724454384,-0.456350218,0.141106643,-0.452407679,0.119939922,-0.012278572,-0.234567297,0.212725004,-0.628919981,-0.565822888,-0.26303056,-0.020711806,0.133132273
