,heckmann_Acetate1_B1,heckmann_Acetate1_B2,heckmann_Acetate2_B1,heckmann_Acetate2_B2,heckmann_Acetate3_B1,heckmann_Acetate3_B2,heckmann_C13_A3_B1,heckmann_C13_A3_B2,heckmann_EVO1_B1,heckmann_EVO1_B2,heckmann_EVO2_B1,heckmann_EVO2_B2,heckmann_GLU_A10_B1,heckmann_GLU_A10_B2,heckmann_GLU_A4_B1,heckmann_GLU_A4_B2,heckmann_GLU_A6_B1,heckmann_GLU_A6_B2,heckmann_GLU_A8_B1,heckmann_GLU_A8_B2,heckmann_Glycerol2_B1,heckmann_Glycerol2_B2,heckmann_pgiEVO1_B1,heckmann_pgiEVO1_B2,heckmann_pgiEVO2_B1,heckmann_pgiEVO2_B2,heckmann_pgiEVO3_B1,heckmann_pgiEVO3_B2,heckmann_pgiEVO4_B1,heckmann_pgiEVO4_B2,heckmann_pgiEVO5_B1,heckmann_pgiEVO5_B2,heckmann_pgiEVO6_B1,heckmann_pgiEVO6_B2,heckmann_pgiEVO7_B1,heckmann_pgiEVO7_B2,heckmann_ptsEvo1_B1,heckmann_ptsEvo1_B2,heckmann_ptsEvo2_B1,heckmann_ptsEvo2_B2,heckmann_ptsEvo3_B1,heckmann_ptsEvo3_B2,heckmann_ptsEvo4_B1,heckmann_ptsEvo4_B2,heckmann_sdhEvo1_B1,heckmann_sdhEvo1_B2,heckmann_sdhEvo2_B1,heckmann_sdhEvo2_B2,heckmann_sdhEvo3_B1,heckmann_sdhEvo3_B2,heckmann_tpiEvo2_B1,heckmann_tpiEvo2_B2,heckmann_tpiEvo3_B1,heckmann_tpiEvo3_B2,heckmann_tpiEvo4_B1,heckmann_tpiEvo4_B2,heckmann_Xylose1_B1,heckmann_Xylose1_B2,heckmann_Xylose2_B1,heckmann_Xylose2_B2,heckmann_Xylose3_B1,heckmann_Xylose3_B2,heckmann_Xylose4_B1,heckmann_Xylose4_B2,BOP27(4gL Acetate)R1,BOP27(4gL Acetate)R2,"BOP27(4gLglucose, 5mM methionine)R1","BOP27(4gLglucose, 5mM methionine)R2","BOP27(4gLglucose, W2, 2gL cytidine)R1","BOP27(4gLglucose, W2, 2gL cytidine)R2","BOP27(4gl glucose, M9)R1","BOP27(4gl glucose, M9)R2","BOP27(4glglucose, W2, 2gl glutamine)R1","BOP27(4glglucose, W2, 2gl glutamine)R2",BOP27(4glglucose_NoTE_wDPD)R1,BOP27(4glglucose_NoTE_wDPD)R2,BOP27(Acetylglucosamine)R1,BOP27(Acetylglucosamine)R2,BOP27(Fruc)R1,BOP27(Fruc)R2,BOP27(Fumarate)R1,BOP27(Fumarate)R2,BOP27(Galactose)R1,BOP27(Galactose)R2,BOP27(Glucarate)R1,BOP27(Glucarate)R2,BOP27(Glucose wPQ)R1,BOP27(Glucose wPQ)R2,BOP27(LB)R1,BOP27(LB)R2,BOP27(Pyruvate)R1,BOP27(Pyruvate)R2,BOP27(Sorbitol)R1,BOP27(Sorbitol)R2,BOP27(W2wCytosine)R1,BOP27(W2wCytosine)R2,BOP27(pH5.5)R1,BOP27(pH5.5)R2,CRPAR1 B1,CRPAR1 B2,CRPAR1AR2 B1,CRPAR1AR2 B2,CRPAR2 B1,CRPAR2 B2,Del-Cra_Acetate R1,Del-Cra_Acetate R2,RPOBE546V(Glucose)R1,RPOBE546V(Glucose)R2,RPOBE546V(LB)R1,RPOBE546V(LB)R2,RPOBE672K(Glucose)R1,RPOBE672K(Glucose)R2,RPOBE672K(LB)R1,RPOBE672K(LB)R2,del-cra glucose R1,del-cra glucose R2,del-cra(Fructose)R1,del-cra(Fructose)R2,del-crp glucose R1,del-crp glucose R2,del-crp glycerol R1,del-crp glycerol R2,evo04R1,evo06R3,pgi1R1,pgi1R3,TCS_WT_etoh__PnPR1,TCS_WT_etoh__PnPR2,WT_42C__PnPR1,WT_42C__PnPR2,glu_glu_ale4__glu_403_13__PnPR1,glu_glu_ale4__glu_403_13__PnPR2,hot_tale_hot_ale3_30C__3_228_30C__PnPR1,hot_tale_hot_ale3_30C__3_228_30C__PnPR2,hot_tale_hot_ale3_37C__3_228_37C__PnPR1,hot_tale_hot_ale3_37C__3_228_37C__PnPR2,hot_tale_hot_ale3_44C__3_228_44C__PnPR1,hot_tale_hot_ale3_44C__3_228_44C__PnPR2,hot_tale_hot_ale3_mid_30C__3_181_30C__PnPR1,hot_tale_hot_ale3_mid_30C__3_181_30C__PnPR2,hot_tale_hot_ale3_mid_37C__3_181_37C__PnPR1,hot_tale_hot_ale3_mid_37C__3_181_37C__PnPR2,hot_tale_hot_ale3_mid_44C__3_181_44C__PnPR1,hot_tale_hot_ale3_mid_44C__3_181_44C__PnPR2,ros_tale_7_103_0pq__PnPR1,ros_tale_7_103_0pq__PnPR2,ros_tale_7_103_250pq__PnPR1,ros_tale_7_103_250pq__PnPR2,ros_tale_7_103_750pq__PnPR1,ros_tale_7_103_750pq__PnPR2,tcs_del_baeR_etoh__PnPR1,tcs_del_baeR_etoh__PnPR2,tcs_del_phoB_m9__PnPR1,tcs_del_phoB_m9__PnPR2,tcs_del_phoB_m9p__PnPR1,tcs_del_phoB_m9p__PnPR2,tcs_del_rcsB_etoh__PnPR1,tcs_del_rcsB_etoh__PnPR2,tcs_wt_CuSO4__PnPR1,tcs_wt_CuSO4__PnPR2,tcs_wt_lb__PnPR1,tcs_wt_lb__PnPR2
b0154,0.025329029,-0.122518082,-0.582450723,-0.410892091,-0.300869664,-0.316480646,0.176532465,-0.02090973,0.172008305,0.156923161,0.265482364,0.240606195,0.042757855,-0.093015895,0.047789432,-0.047789432,0.248874789,0.090138687,-0.206260895,-0.344133843,0.077522656,0.358006171,0.093592869,0.374930432,0.223740765,0.364884001,0.255911549,0.336120454,0.525997339,0.496424508,0.252931629,0.577694809,0.208514208,0.213085994,0.303914974,-0.011439418,0.483098688,0.040828226,0.092578933,-0.096079719,0.252107707,0.126099965,0.138046902,-0.31670779,-0.134078581,-0.161032785,-0.152506629,0.049204007,0.001778412,-0.160521367,-0.110831618,-0.055097425,0.095867295,0.125609658,-0.071653675,-0.101175506,0.318369633,-0.095070407,-0.071543052,-0.138858518,0.039382663,-0.032513653,-0.436562083,-0.681765223,-0.519704554,-0.682315908,-0.092051478,-0.3000289,0.589915666,0.869856546,-0.102636049,-0.094560405,0.792174512,0.527412226,0.25391315,0.243268284,-0.337105755,-0.101796837,1.806939939,0.046679119,-0.296737432,-0.458827332,-0.182105722,-0.439024146,-0.497508568,-0.558675053,-0.172148368,1.556001472,-0.530830444,-0.630362355,-0.849532622,-0.523257487,-1.133813365,1.813114231,0.594451756,0.777601901,-0.210652327,0.213008479,-0.013441091,0.394431956,1.041802686,0.152046953,0.383092116,0.712088234,-1.043846305,-1.211544522,-0.161120794,-0.018877297,0.940771701,0.651667406,-0.337643374,0.156777007,1.371961926,0.631759022,0.001411222,-0.239089503,0.057152465,0.083051163,0.918901823,0.180663133,0.212585802,-0.313379432,-0.000957164,0.000957164,0.151673142,0.033618328,0.936995714,2.635919522,1.872280405,0.491589504,0.188869606,-0.188869606,-0.231227857,0.125176843,-0.175657085,-0.478152014,0.32721514,0.375375678,-0.052564567,1.941390459,-0.295396079,0.005454771,-0.250122048,2.229995005,2.863248446,2.444198882,0.218707604,-0.134148703,0.093997986,3.576833801,0.855483338,1.460475946,-0.706723563,0.693803107,2.629706426,3.070980541,1.412468079,0.234280679,-0.195798216,-0.21897473,0.760784899,0.448950961
b1676,-0.473317653,-0.191976959,-0.74798308,-0.534705893,-0.570307013,-0.415030952,0.110069587,0.006036032,-0.164448204,-0.061371437,-0.290723877,-0.074963797,-0.489864827,-0.410196497,-0.16671613,0.16671613,-0.229404082,-0.221098809,0.074110725,0.103705689,-0.116037819,-0.097421921,-0.779168253,-1.005267517,-1.327287252,-1.213429071,-1.112458298,-1.04012878,-0.84079873,-1.131809817,-1.058996641,-1.014571311,-0.726430002,-0.763558004,-0.690130171,-0.869043296,0.650368169,0.763563349,0.189013991,0.319363512,0.863256048,0.596935027,0.181041674,0.354873955,0.030085112,-0.010205611,0.186310456,0.101483292,-0.042389025,-0.007127652,-4.290299228,-4.272528032,0.227987947,0.133362683,0.294200583,0.368922625,0.516347059,0.307433363,0.074438239,-0.212164093,1.387628987,1.466121046,0.899813974,0.92736773,-0.688555938,-0.770603828,-0.251495124,-0.294555246,0.618152036,0.576532226,0.461390658,0.129132557,0.281559077,0.916820532,0.441863111,0.105841776,-0.038888325,0.253550358,0.590327297,0.374445791,-1.010450408,-1.200783294,0.786591706,0.423837462,-1.342316076,-1.255403971,0.415803396,0.026546621,0.292695845,-0.256495793,-1.318330996,-1.28509576,-0.513632981,-0.500384438,-0.034645295,0.60209046,0.78459137,1.193391458,0.018506619,0.158076043,0.32114874,0.102751795,0.621971086,0.405364332,1.265452241,1.450516473,-0.17877785,-0.27075574,0.435084469,0.181595585,-0.308406198,0.133900561,0.135625746,0.258708435,0.705092749,0.664131186,0.976937791,1.048995722,0.556008777,0.93872526,0.764056902,0.250006928,-0.039798534,0.039798534,-1.710274443,-2.041820668,0.563593388,0.20014732,-0.175131092,0.676579926,-0.029304804,0.029304804,-1.603738337,-1.088736139,-1.995567817,-1.800495122,-2.173990968,-1.880559042,-0.7247464,-1.108425424,-1.547672492,-1.41939752,-1.658939943,-1.147414343,-1.324526468,-1.624662002,-1.275270561,-1.560525026,-1.41652755,-1.279449728,0.369271918,0.890195276,0.977063156,0.72032143,0.609288306,0.717669999,0.758260243,0.469899843,0.04767264,-0.077676957,0.590152155,0.326842922
b4245,0.616391548,1.275316161,-1.240622708,-1.06068037,0.657844233,0.60457259,0.523842119,0.24609922,-0.086542289,0.035508545,-0.117578436,0.142482575,0.407361584,0.338925399,0.046912501,-0.046912501,-0.275913558,-0.156416243,-0.337838104,-0.311774052,2.088392571,2.080199818,-1.114823588,-0.723250106,-0.55894232,-0.2808235,-1.000435535,-0.906403187,0.050527592,0.036723657,-0.711763165,-0.793041312,-1.093524328,-0.974886452,0.092605883,-0.275671435,-0.373061781,-0.671414047,0.430762725,0.147036905,-0.610713668,-0.390661815,0.185532727,0.208432382,-0.470980176,-0.145393893,-0.328329254,-0.25608717,-0.303942043,-0.551351465,-1.126262553,-0.571554468,-1.057538975,-1.443252204,-1.050662135,-1.31221128,0.138516383,0.294313976,0.340132646,0.250128744,0.260907216,0.224951977,-0.5620928,-0.366065227,0.648796206,0.282267846,1.930245019,2.39254293,-2.899005615,-2.645978977,2.753287533,2.420783138,0.776662456,1.358965574,-0.016654471,-0.276051765,1.506982364,0.989577849,2.407981342,3.509583398,1.688521211,1.863365375,1.50396251,1.752125657,3.591756867,3.485787778,2.822314257,2.340542555,-4.254436815,-4.898645714,2.004506494,2.086624064,1.153482018,0.85763197,-2.79973607,-2.239393616,3.386079994,2.632993738,3.667386733,4.70564242,4.941571046,4.846505024,4.941008829,4.812128184,2.67510462,2.518570788,3.897588746,3.795822889,-2.458897433,-4.113773036,3.552354939,3.339314603,-4.259543373,-6.116633453,4.6707139,5.086981013,4.658429995,4.565269306,5.637401186,4.943461108,4.813511056,5.101169358,0.300390367,-0.300390367,-1.219036196,-1.714457781,0.114846572,-0.62761556,2.896177781,2.826940582,-0.467329671,0.467329671,0.051806898,-0.399889603,0.678542777,0.30209795,1.376538821,1.737457783,0.309603816,0.015378322,-1.564301944,0.590137044,-2.381600905,-1.753846119,2.110670197,0.842707968,1.303556972,1.892022892,2.119789268,2.281538748,-1.601504782,0.446440004,4.732485764,5.035217299,5.231913894,3.775860826,0.270029502,-1.787521524,-0.208996302,-1.841745474,-3.1607544,-4.619738485
b1888,-3.779947735,-3.863506101,-3.771484519,-3.773450541,-3.900473232,-3.863351976,-3.776654145,-3.762205843,-1.676317287,-1.767676897,-0.998314524,-3.089054434,-3.771055935,-3.78189088,0.354347568,-0.354347568,-3.761503203,-3.726930353,-2.585050452,-2.402484512,-3.850449551,-3.849405321,-3.944764958,-3.831200882,-3.831997568,-3.806080887,-0.968362203,-1.00449381,-2.352230935,-3.659056983,-0.63192425,-0.639456769,-3.782342003,-3.804393738,-3.724691878,-3.753614003,-3.90416124,-3.936644137,-3.863267229,-3.906709198,-3.910350526,-3.910154109,-3.90641351,-3.971086269,-3.880314397,-3.886020726,-1.468828374,-1.319449625,-3.650882245,-3.396876942,-2.121939353,-1.816677919,0.482392607,-0.261099672,-2.061058793,-1.831773863,-0.908748896,-2.854990372,-1.404073019,-1.699156528,-3.754346078,-3.816920852,-3.756782301,-3.700854534,1.410315394,0.412224392,1.091669528,1.084148011,-0.700041465,-1.823641462,0.998571017,0.371403525,-0.099859258,0.768014685,-0.652387038,-0.528042116,-0.072111762,-0.055809307,1.781642373,1.73775548,1.453396403,1.476479541,0.546091208,1.453024952,-2.023193156,-2.1986856,-0.653457248,-2.074020346,-4.164371181,-5.311480479,1.050216539,1.340156109,1.901409822,1.671390318,-7.887122484,-7.917134658,-2.464777406,-2.348000161,-7.886397676,-7.911664304,-7.940024971,-7.921129494,-1.001711436,-0.536789328,-7.947789346,-7.972832937,-7.885659187,-7.879067101,-7.888960067,-7.840902937,-6.976575178,-6.979495803,-7.787129562,-7.852451189,-7.94727163,-7.915503922,-4.662614452,-4.652183059,-7.932007664,-7.931646163,-7.934106535,-7.836875544,-0.121513926,0.121513926,0.226499963,0.292334825,1.049467234,1.448045357,-6.032253347,0.458453493,0.287701419,-0.287701419,-0.905953317,-1.835398891,-0.836067488,-2.303674097,-6.240336127,-6.19674425,-1.184437553,-0.18889291,-0.767227741,0.510861965,-6.137198494,-6.189315559,1.619921431,1.034913153,-0.615253165,-4.843220185,-5.485194704,-2.51349119,-6.169896011,-6.143638986,-6.210556372,-6.07465724,-6.082385661,-6.074400237,-6.165363368,-6.22044273,0.769154884,0.647366921,1.07145877,0.413253635
b3608,2.256963952,2.487925006,1.271652807,1.491143894,2.053833555,2.271463357,0.040274598,0.315132431,0.410136102,0.556757428,-0.15188033,-0.232316565,0.478914749,0.531751096,0.225297412,-0.225297412,0.230869095,0.265237483,-0.022611411,-0.088577962,0.031455842,0.032491998,0.068052123,0.282680798,0.22726414,0.435855835,0.498046115,0.329958084,0.43170917,0.053348326,0.253102055,-0.113053739,0.239029543,0.226600715,0.677960379,1.029571096,-0.260714114,-0.292819669,-0.220283365,-0.263232776,-0.266832147,-0.266637997,-0.26294049,-0.326852422,-0.176549896,0.510998048,0.157477176,-0.095576263,0.304006597,0.134325024,0.299060807,0.11621483,0.341125971,-0.097881969,-0.066906553,0.214127469,-0.242531192,-0.233823226,-0.189549725,-0.188820269,0.915973293,0.853394737,0.541138809,0.200819619,0.498718676,1.155001289,1.418381587,1.598821418,1.328275263,-0.833055447,0.763359333,0.565120761,1.666324824,0.898562495,1.604453556,0.906462998,1.134254701,0.924106187,1.003656228,0.576211691,1.053848753,0.990921938,1.06488685,0.940024988,1.315368177,0.660942134,1.304144214,1.145377683,2.230615866,0.806355508,1.1559468,1.097571275,0.110359804,0.569313248,0.093202628,0.641307366,1.713244801,1.4199125,0.94115697,0.348635134,0.785330552,0.954102419,0.740830281,1.644675876,1.71284131,1.475985678,-0.291885424,-0.461248273,1.061291596,0.651020359,-1.363646756,0.010779736,1.077257997,-0.918213487,1.114637315,0.627461049,1.430071462,1.431380133,0.610232581,0.985779192,1.082497939,1.444539715,-0.067777469,0.067777469,-0.018601405,-0.243647308,1.46393085,1.182808268,1.454429364,1.709691718,-0.230926198,0.230926198,0.310463128,-0.049383453,-0.219876193,0.053860605,1.004696941,1.096677378,0.555790903,0.038288432,-0.210131352,0.347440792,0.445935487,0.714454032,2.285902485,1.70220551,2.045189416,2.099807288,1.996640265,2.264329975,0.863674265,1.626519535,2.092159349,1.384130352,0.789095874,0.499869814,1.838085365,-1.373613045,2.010820797,1.431335117,1.992448349,1.924252176
b0528,-1.330058957,-1.468347958,-0.143450829,-0.284409402,-0.470726107,-0.455511105,0.125869698,0.11260565,0.120567384,0.131869992,0.262364157,-0.007329957,0.39227397,0.367097769,-0.039673834,0.039673834,0.243388513,0.36153269,0.180903506,-0.10996809,-0.125835131,-0.659930226,-0.481729442,-0.066610087,-0.011995362,-0.08949649,-0.145404499,-0.101486411,0.113063869,-0.047049597,0.208339187,0.125638349,0.055437061,-0.252641381,-0.112526593,0.025529004,0.09477674,-0.042035992,-0.594495821,0.157903754,0.378861249,0.647981731,-0.564677618,-0.174081914,0.087821415,0.013518885,0.163958177,0.236473965,0.164652881,0.065136486,-0.175543375,-0.246658978,-0.325195044,-1.502646151,0.105621589,0.165594412,-0.344296849,-0.34437934,-0.529681825,-0.172294021,-0.022562552,-0.633504953,0.096909731,0.053593289,-1.282088287,-1.652019242,-0.494844707,-0.661896878,-0.459045659,-1.875798898,-0.225574045,-0.622090394,-0.465712445,-0.553193434,-1.046877718,-1.208644697,-1.21807558,-0.977683254,-0.393439639,-0.593198219,-0.920736708,-0.970493806,-0.700657167,-0.437246353,-1.004093326,-0.852316052,-0.817835815,-1.259184338,-2.205159364,-2.614243828,-0.78398044,-0.846596614,-1.434786509,-0.943135015,-1.263576693,-0.418935099,-0.893341054,-0.658585492,-0.609001222,-1.208715815,-0.425470804,-0.913923382,-0.674277295,-0.323311295,-1.961004251,-2.143434489,-0.515603212,-0.413681695,-1.551963699,-1.425684626,-1.042519445,-0.336448027,-1.626751524,-1.795528104,-0.355172292,-0.472873393,-0.515822069,-0.134118249,-1.234379652,-0.874906909,-0.672012323,-1.01452524,-0.130244147,0.130244147,-0.512599631,-1.141553028,-0.7804879,-1.310008993,-1.163912912,-0.161428263,-0.020355129,0.020355129,-0.140046114,-0.211118283,-0.361055419,-0.565250062,-0.868863061,-0.819643416,-0.292754072,-0.154161381,-0.712820835,-0.231790302,-1.110696648,-0.790201051,-0.040526185,-0.403991012,-0.211239494,-0.044023056,-0.536834749,-0.143303095,-1.15393774,-0.550469178,-0.654679917,0.009143102,-0.187867754,-0.193859936,-0.537414041,-1.756132311,-0.905428045,-1.170832429,-0.520088921,-0.733221963
b0814,-2.821182334,-2.911933548,-2.49450657,-2.582232491,-2.858844727,-2.965640101,0.124273844,0.025699335,-0.499428876,-0.73979141,-0.631246217,-0.719889847,0.5796417,0.204901473,-0.060903754,0.060903754,-0.568473058,-0.735854177,-0.442917415,-0.851787185,-0.667561657,-0.746282325,-1.194744755,-0.732314175,-0.742806955,-0.737440695,-0.473239446,-0.543668065,-0.807328314,-0.716719278,-0.79650782,-0.617546123,-1.144646114,-1.10561837,-1.166439771,-0.787826007,-0.099351279,0.204913266,0.735408631,1.061167405,0.692502076,0.297588077,-0.731904712,-0.859053505,-0.172761948,-0.513037668,-0.243678725,-0.019911819,-0.272525281,-0.091817007,-1.38151433,-1.398973684,-0.840183569,-0.657518648,-0.825106147,-0.824677696,-0.157976711,-0.038839797,-0.703844546,-0.827343564,-0.714055625,-1.000050535,-0.673357371,-0.665740957,-0.774758267,-0.833433057,0.822351266,0.862250924,1.943249375,2.084311358,0.611905621,0.498681679,2.20593657,-0.215925339,1.816267804,1.696925673,1.0116234,1.575694835,-1.659485345,-1.442229804,-0.732574472,-1.247175189,-0.452805324,-0.561708203,0.370952645,0.294827744,1.192526781,1.25829022,1.519786626,1.007105505,-1.610564808,-1.319920063,-4.639050093,-1.409374961,2.226418863,1.681510025,1.626341383,1.733471464,-0.282295648,-0.19802015,0.749471806,0.258987476,0.362036733,0.880958689,1.56515388,1.369018583,0.961625737,0.828988599,-0.226547848,1.685534433,0.467026281,1.436129496,1.430235121,2.015162502,0.833038648,0.658036581,1.231293608,-1.14269963,1.096855962,1.317122414,1.456590678,1.48796238,0.137902611,-0.137902611,-0.046056518,-0.170825721,0.885628905,0.806044113,1.038029687,0.289722567,-0.079405928,0.079405928,-0.405758701,-2.575176269,-0.404530224,-0.801817623,0.298920895,-1.225617168,-0.942334701,0.298358019,-2.31362844,-0.295758229,-2.630622081,-1.780808775,1.795449069,-0.06590807,0.917131768,2.435169072,1.87652039,0.606971851,1.010348629,0.513007887,-1.095949589,-0.946488721,0.196642072,0.055432305,-0.465824498,-0.018803761,0.562597613,1.418189301,-0.838092415,-0.778507258
b4058,-0.022641074,-0.650068034,-0.36121192,-0.266198277,-0.353084798,-0.594092497,0.059948988,0.201481307,-0.206177135,-0.124706357,-0.184433651,0.429780183,0.800340816,0.025342154,0.180845068,-0.180845068,-0.419648886,0.762796115,1.223491052,1.394592374,0.366099114,-0.098806544,0.661919402,0.86832828,0.008306113,0.126544104,0.064980285,0.272802044,0.563768925,0.006578127,0.491833134,0.324145343,-0.213935784,-0.286981167,0.777805829,0.173503875,0.902255332,0.356631146,0.507116007,0.819199699,0.334045487,0.462655569,0.748428449,0.600922218,1.303918211,1.17763458,0.711796532,0.070919545,0.216695688,0.919835298,1.518069242,0.417765541,0.368750488,0.53661795,0.659973035,0.698282114,0.314449278,0.592852287,-0.289346262,-0.152889011,-0.400800691,-0.379368603,0.187830175,0.441737185,0.918270474,0.939505421,0.515718887,0.161987465,-0.258106876,-3.883226236,0.856412283,0.241599289,-1.079474803,-0.612474462,0.5787759,-0.249632257,0.459125167,0.306262919,0.61655802,0.293649447,0.161097491,-0.338063329,0.350650886,0.337115459,1.671392727,0.28726995,0.455044462,-0.371599956,-0.120653178,-0.872506792,-0.13167575,-0.080131709,-0.56505857,0.085869044,-1.457862469,-0.611012353,0.025593825,1.224103895,1.559849998,1.077764972,1.599941564,1.274708781,1.456034561,1.676112209,1.083632976,0.945118081,0.183979636,0.120186418,1.531132347,0.810387533,0.270089841,0.860860247,1.224343769,0.125865899,1.084760447,0.66697104,1.048471143,1.335361427,1.843521882,1.607576649,2.217029209,2.463224075,0.043979837,-0.043979837,0.399909118,0.100378371,0.358930053,-0.358813003,0.67986217,0.977492285,-0.47100195,0.47100195,-1.322013985,-0.582059225,-1.579720003,-1.696683864,-0.238509079,-1.033973371,-1.528567105,-0.488773633,-0.8806711,-1.628772337,-0.95395549,-0.208174679,1.081024867,0.631348616,1.733789853,0.85095455,1.402197244,1.28437548,-0.445767926,0.385794693,1.180435108,0.59833374,-0.084637502,0.062163694,1.27218974,-0.69418439,0.763024323,-0.674969135,0.943231902,0.19071115
b2893,-1.139363194,-1.46931757,-0.83234706,-0.730058699,-1.30419139,-1.350158164,-0.240055998,0.101029033,-0.503801188,-0.395223037,-0.410511643,-0.902851624,-0.309642746,-0.393787066,0.212826891,-0.212826891,-0.568734027,-0.439480143,-0.675118591,-0.845864928,-0.258599943,-0.706724393,-0.879110184,-0.624882119,-0.22774581,-0.10533482,-0.031997412,-0.411900657,-0.207112824,-0.515749046,-0.052367664,0.052975739,-0.023753966,-0.10037073,-0.051851875,-0.173475529,-0.447397575,-0.962573415,-0.986765936,-1.454379095,-1.016767154,-0.895985139,-0.795626042,-0.92598894,-0.969567162,-1.027065188,-0.802237415,-0.718022231,-0.242556102,-0.602107068,-1.040563005,-0.987689853,-1.003402646,-1.645524265,-0.595427361,-0.586708066,-0.583979909,-0.736820053,-0.240224918,-0.113001717,0.052319413,-0.275077498,-0.498077154,-0.531258952,-0.505009186,-1.045687406,-0.048830744,-0.366298856,0.64022039,-0.792175929,0.446093582,0.000278799,0.355884001,-0.188171055,-0.248932577,-0.326806097,0.514288469,-0.451276098,-0.326149327,-0.61502881,-0.088395834,-0.286184364,-0.413558122,-0.808844979,-0.525062241,-0.550653142,0.155461901,-0.486389346,-0.772111203,-1.105524153,-0.889547238,-1.067836399,-1.893166646,-0.781981559,-0.431604104,-0.009157983,-0.470716433,-0.601749586,-0.437427524,-0.119995065,0.400360012,-0.142899353,-0.193610832,0.508567328,-0.441067285,-0.395430368,0.1080851,-0.037868104,0.533149325,-0.228496036,-0.199029086,0.179162571,0.07049528,0.114324843,0.790481233,0.189176019,0.465408071,0.172087681,-0.284647849,-0.238284068,-0.134139275,-1.154818614,0.048783318,-0.048783318,-0.187252075,-0.51498025,0.93256403,-0.082029784,0.131557989,0.792938157,-0.631092555,0.631092555,-0.87908129,-0.820604866,-0.817250863,-0.997980143,0.504694182,-0.749663693,-6.422230571,-6.444377469,-6.43255082,-6.405416373,-6.417086091,-6.434578553,1.470247208,0.011900189,1.432011726,0.810229722,0.851544998,0.086199488,0.457032784,1.296587357,0.893843012,-0.179179504,-0.537100153,-0.426927849,1.358005743,0.777064238,1.310442446,0.440092938,1.207263147,0.201379769
b0720,2.151339924,1.855273914,2.528995361,2.394445199,2.416452923,2.419006292,0.294092181,0.744305786,-0.598631493,-0.406516511,-0.681870316,0.581445745,-0.505429928,-0.188328848,0.132612486,-0.132612486,-1.211479848,-0.951132349,0.454202671,0.395230967,0.861269887,0.574980211,1.952044088,1.75571449,1.158680669,1.33440162,1.70088035,1.344622297,0.691410225,1.21522672,1.544791778,1.156152182,1.873418856,2.038508359,0.954951711,0.948634293,0.15419869,0.30237037,0.255342071,0.437329124,0.153242508,-0.025833443,0.155056397,0.214851702,0.765279178,0.575516484,0.526565665,0.36371177,0.755935242,0.694947467,2.226792036,2.18486725,1.781676052,1.880605128,1.034455734,1.155655863,0.469936628,0.703252099,1.43579483,1.116461274,0.127215041,0.181722529,0.561830958,0.806960954,3.477115578,3.933517242,1.803962569,2.203695272,0.857722837,0.80715102,1.249888999,1.107027366,1.211780883,-0.320626582,1.269865553,1.441122175,1.416753637,1.164515114,2.658838285,2.167767405,3.154262189,3.512348366,1.520432031,1.93752244,2.756960112,2.659121778,1.26858516,1.162591206,0.092715461,-0.003800683,2.965728993,2.924890663,1.571136759,2.660637481,1.948525126,2.13644985,1.215473878,0.73518316,1.663347267,1.724881668,1.212541583,1.278141804,1.720483555,1.666449132,2.739208084,2.626901766,1.022842321,1.066421151,1.416748893,1.825761563,-1.242132585,0.686463555,0.817658017,1.133655529,0.488227561,0.552082028,-0.447306086,-3.736750174,-0.198672549,0.307237717,-0.357227771,0.060312297,0.111522151,-0.111522151,2.476577094,2.710533034,0.629611815,0.554307397,1.136296173,0.751869015,-0.225887202,0.225887202,-0.941136173,-1.211443254,0.517863953,-0.050317807,1.203677954,0.759080665,-2.008740566,-0.727350511,-0.598699345,-0.300330753,-0.270683609,-0.327093509,0.16185607,-0.696122011,-0.293349305,-0.023427739,-0.014688248,-0.557241482,0.287558068,0.787337878,-2.632685152,0.325822415,0.095127679,-0.022729893,0.584772173,0.015924486,-0.247662366,0.723277998,0.11929945,0.43799412
