,1000:1_0h_1,1000:1_0h_2,1000:1_0h_3,1000:1_24h_1,1000:1_24h_2,1000:1_24h_3,1000:1_4h_1,1000:1_4h_2,1000:1_4h_3,1000:1_8h_1,1000:1_8h_2,1000:1_8h_3,1:1000_0h_1,1:1000_0h_2,1:1000_0h_3,1:1000_24h_1,1:1000_24h_2,1:1000_24h_3,1:1000_4h_1,1:1000_4h_2,1:1000_4h_3,1:1000_8h_1,1:1000_8h_2,1:1000_8h_3,1:1_0h_1,1:1_0h_2,1:1_0h_3,1:1_24h_1,1:1_24h_2,1:1_24h_3,1:1_4h_1,1:1_4h_2,1:1_4h_3,1:1_8h_1,1:1_8h_2,1:1_8h_3,P_putida_0h_1,P_putida_0h_2,P_putida_0h_3,P_putida_24h_1,P_putida_24h_2,P_putida_24h_3,P_putida_4h_1,P_putida_4h_2,P_putida_4h_3,P_putida_8h_1,P_putida_8h_2,P_putida_8h_3
Null-1,-3.100575665589753,-3.47622213823084,-0.6726640027415693,0.7421715778515592,1.2510769116577716,0.1937193597575832,0.6170353783716409,-3.066797332676916,-0.4649112995612157,0.5973535925813919,2.7248253525047605,2.1305616743648432,-2.709957542265661,1.1536159898355018,-2.815569882190585,0.5437025442620551,1.099353739585848,0.9271295158510648,-0.4385838691660824,-0.9733510550581588,-1.7785745326664544,2.8942050486806155,3.7793623935811738,3.000113423842535,-2.330895694242141,-2.9166443408728004,-3.88857997957431,0.285945460413388,0.7307212023022165,1.3209041615120518,0.0720667867739467,-0.5259522972137312,1.3854626464561484,3.4112170610772647,3.794363335656562,2.868697861121539,-1.5036457118480029,-1.920093204259584,-2.5927574849977058,-0.1625581298618867,1.1643219779867962,2.081562245516357,-0.4548071450805993,0.3081333389588723,0.8040513362081506,3.088144567663736,3.8923848586424974,4.187182518407508
GbdR,1.444480675148969,0.2802847409894702,2.443166748762014,4.651471946950551,3.150485545841783,3.927331171489383,-5.374797820772065,-5.792442719589368,-6.372883176504299,-3.2212436679861187,1.2723493524196003,-11.446725839272576,-3.1439098052202668,-7.785099838645419,-8.837333509036636,4.742325359557044,5.552306373958779,-3.116628498865948,-12.06700959973668,-5.193889464191338,-3.7863252050034286,1.8454481089516213,3.027949833162576,3.517109389219666,-2.799523189245926,-2.5306674456641423,-9.08775374640476,3.161767318138506,4.807391351964402,-6.224918807152191,-5.859972591631947,-7.127976410384598,-11.32845251244423,0.7071655979751319,-0.6267769950478472,-0.9992522012357408,-3.7055122381446894,-3.277759116326333,-3.2042304045707604,2.749432021659625,4.514600277478215,-4.742224466681094,-1.3862115208643455,-6.397763468618406,-12.203222452618771,3.670295203455584,3.2202188939148138,2.9033578893311995
PP_2034-7,3.1582415541568523,3.283486869187972,0.7669452942060446,-1.1763400202471646,-1.76755466692962,-2.097593775264108,-0.234377047583614,0.3432549624436316,-5.831272397714814,1.5575309074087689,1.014598955631257,-1.2853080354505124,-0.186044482943833,1.6853796667173029,-0.6049540628625437,-3.163309590413556,-3.3869004217785807,-3.352181578256312,-0.914582305039754,0.486650121396099,1.3522424271851543,1.331155479141188,1.557769765713553,0.5113852024296767,1.3632046020833355,2.6874855788210508,1.967449254856341,-2.657796802193918,-2.412040150515044,-3.142165998457676,-0.1058243149897759,0.5617945864731915,-0.0937306369055852,-0.0296185819056523,1.4641639896306975,0.6577813657196259,-0.6785060316457195,1.4034572091193855,-1.105741767410048,-2.41518275842422,-2.9479606868376784,-4.010965103683938,0.6321015587979464,1.4981778897517384,-1.530202450350883,1.1432749556568995,1.935125440725076,0.1113305848122989
Multiple stress-1,-2.2481986145776167,1.7417456806004263,2.510219019924263,-1.97430886753247,-2.9247926733743825,-4.831346574608638,6.41287837385938,-5.01217170457466,-0.0203973489298074,4.909152377302696,3.643093145249998,2.2876790672076908,2.785227066892143,1.7990079079883166,1.005831448273099,-1.4276721350631398,-2.579996825870279,-7.749075562970084,3.784561815508466,-0.835666872908573,1.6956553045440304,-1.7810418321731218,-1.5597766516741072,-2.360567876493221,5.73779492213448,4.931445579075232,3.4058530282687083,-2.827371811917503,-2.912530577768375,-9.523528097070525,-3.4407162951419794,-1.275448487930867,4.624674435682045,-0.2092556315585785,0.1119828426020026,-2.266360985693997,3.20975786441208,1.7393180975626437,4.574952603675225,-2.322193556909558,-2.664371172230962,-8.273062109019593,-5.303541226524182,0.2235344916832493,0.724699478231763,-1.8173884352620728,-1.6894568694942045,-2.068043737835497
PedR1-1,0.183787194277642,-0.1035033381632906,0.5637394419420508,-0.5790186494193454,-0.5101030536805701,0.172767388734102,-0.6207442473220128,-1.417836698241902,-1.047380705802737,1.1862682643364664,-3.476687477994344,-0.1104826618084684,-0.015342907274957,0.169652702404525,0.7023136482737629,-0.9078173314688448,-0.6507358395788092,1.275634574095241,-0.0601659220388262,0.0350604326428439,-0.1213975279888009,0.1234268980968891,0.4448253384056819,-0.123669935901724,0.0339645969996242,-0.3459917646556386,-0.0956728239360063,-0.654510895342727,-1.2347922084683307,0.2482088214723592,0.068602491652577,-0.31006011434444,-0.5787847667934841,0.3959442057079684,-0.1750081811083817,-0.0856709640260185,0.0063755121125431,-0.0426053441371151,-0.8158385237328372,-0.6257131451557982,-0.7233089816232263,0.9122088091633572,0.3936071900586494,-0.2839627611643135,0.4383293873001183,-0.3643587444992358,0.3415991311565083,-0.1399941180892192
Acetate stress,0.39278158295438104,-0.2729499135784721,4.559764030246569,14.380708529618031,15.10259361519122,16.193506223090488,-1.4418245858707994,5.013948655206117,5.75004098175668,10.689835548025767,10.82562153343055,13.292406152086903,12.999767501812435,14.296915904166132,12.74672897738846,14.481215598188236,14.463855244724368,13.984446478478867,14.28259334506356,14.477500899163829,13.084641756689988,13.647555612640089,13.87964689341819,14.827191240336024,11.567973929070138,11.691390620549312,8.854734321615451,13.367971297401281,14.29701244134326,14.31895316552122,6.677564730030961,7.579285653638272,6.925481327667825,13.38915038944188,13.856862282198668,14.19502488612483,13.016526113701065,13.262051925584728,13.0264766383943,13.026789090831473,14.083535823448948,14.413911334548423,14.60872565113066,14.208995864462352,14.332609887159029,14.49719208023089,14.629850945163653,15.259019311630249
Noise-1,-0.6013960671682566,0.8645954565953723,1.8101684684140047,-0.4318790101878369,-1.068976645055024,0.773795272682353,-2.0848986031204872,-2.130274229679902,-1.494396967375001,-1.710613347448123,-1.1909728325759796,-0.6348522550723699,-1.0393318956547115,-0.8739451308918923,-0.7123052332350566,0.1073040354826564,0.6051701284694626,1.0471709020615267,-1.1630041451241362,-0.8041145454443975,-0.7087046295266017,-0.0255330886236443,0.4331595509760226,-0.1379637328928711,-0.2698926347843055,-0.5706133335701967,-1.5983277991967522,1.0949048559054912,0.4382668350268808,0.6588874021655741,-0.6881457801995925,-2.3172841803247097,-2.149774304232381,-0.1284972889733684,-0.2269177411528903,-0.1192546797967023,-1.2151044973379015,-0.694709117576519,-0.3541451565202105,0.9464895052654178,1.0011232213137171,0.8835901122899842,-0.8027766188919363,-1.4841024054612233,-2.055800404398794,0.6376124631472173,0.2689102709496486,0.9411438800352792
Genomic-1,-2.2120361992964552,-2.4068433639068845,4.04512576214981,-0.8276914276823898,-0.3463500216276852,-1.2233741702749734,-0.7423678645666378,-0.106900004887229,1.3240240586547962,1.068314888642929,1.7980300168692418,1.175945384344674,-0.5948327677653057,0.9503062382901512,-2.034491243251092,-1.0616484271502191,-1.4301288696492238,-0.4671552268495014,3.244896278410525,1.0828198222542509,-1.862700546388364,0.489403931235384,0.7711559869038385,1.9262681888383568,-1.2910273068083686,-1.2891596964670384,-2.93829079217986,-0.7800857267541592,-1.0556429859511862,-3.0209821277649933,-0.6087158921077803,-0.16885915527309,2.193145989556771,0.7737027293151734,0.597821282035535,1.122997474049055,-0.6730161115815617,-1.3295998832603408,-1.3333534282114967,-1.20786433133396,-0.5852664737012185,-1.47953520716253,0.0171237559281181,1.4018922821194637,3.299675041038969,1.3673248580034354,1.234445893764895,1.8210804338511768
Zinc,4.147429242768398,3.012539583664883,3.7035818248837313,-1.911323284376175,-1.7873470513406513,-1.3641100457749196,0.8127965155073875,-1.1901003732929096,-0.4728870103031649,-1.2023280753010286,-4.405354089465175,-0.3923676680736089,1.4562983753957035,-1.002039085669758,0.4985159417268553,-0.9170494291148208,-1.4233509841931906,-0.3163589299270021,-0.6499739128874028,-0.832781121683922,1.9529980837524823,-1.9852731120876743,-1.9169743898757288,-1.6023025686223,0.3847087427868257,1.5716603851365278,0.056674966301067,-0.6721923303267092,-0.6483406421093794,-0.2382401704356128,-0.095685561798115,-1.170525000714146,-0.9111797464144402,-2.1095667519492536,-1.7679774589362922,-2.057297185627309,1.3587344512824089,1.9465949639848328,1.1850481976525005,-0.2275507445682801,-0.5156414160193774,-0.3163543550925491,-2.2951830695868827,-1.3556254442482178,0.2319891970882742,-2.5819817212105587,-1.6067049481419102,-1.55928224359212
TCA cycle,-0.5755690109328764,6.381240315726979,3.034892186113713,-2.230791417144071,-2.738944177133245,-1.2440771914086046,7.523229001669156,7.461121600828679,4.42004146449815,0.7317668058997022,1.5546783314956083,-0.0366704264507207,-3.848577099248637,-0.7906328125938353,-2.706005892342948,-3.5001310311645044,-3.4598227350862745,-2.124445688434335,-0.6295417218436181,0.4601407364788696,-4.41462726377317,2.166542152308568,1.975774471456392,1.019704257885237,-3.2987714266547314,-3.748745908604908,-4.244811255459884,-3.421004269437377,-3.732153151108711,4.303463502560369,6.119362276222649,4.7706543657848615,4.282484224616906,1.5796980187684055,0.8544547246120169,0.7970118345919841,-3.674976683896624,-4.61174401052274,-0.6066872051227655,-2.943217295322368,-3.3997550765415228,0.332936011700299,1.074853408768612,-0.0310751012697119,-0.7922440178482382,2.8532425782564417,2.1604028430394058,1.0209452250560904
