,1000:1_0h_1,1000:1_0h_2,1000:1_0h_3,1000:1_24h_1,1000:1_24h_2,1000:1_24h_3,1000:1_4h_1,1000:1_4h_2,1000:1_4h_3,1000:1_8h_1,1000:1_8h_2,1000:1_8h_3,1:1000_0h_1,1:1000_0h_2,1:1000_0h_3,1:1000_24h_1,1:1000_24h_2,1:1000_24h_3,1:1000_4h_1,1:1000_4h_2,1:1000_4h_3,1:1000_8h_1,1:1000_8h_2,1:1000_8h_3,1:1_0h_1,1:1_0h_2,1:1_0h_3,1:1_24h_1,1:1_24h_2,1:1_24h_3,1:1_4h_1,1:1_4h_2,1:1_4h_3,1:1_8h_1,1:1_8h_2,1:1_8h_3,E_coli_0h_1,E_coli_0h_2,E_coli_0h_3,E_coli_24h_1,E_coli_24h_2,E_coli_24h_3,E_coli_4h_1,E_coli_4h_2,E_coli_4h_3,E_coli_8h_1,E_coli_8h_2,E_coli_8h_3
Sugar Diacid,-3.2493950080746474,-1.14385024285186,-3.557520508450964,-1.186619814096274,-1.129386270283908,-1.1660538834437744,6.087189396117863,8.094267876938886,2.3330508089398667,-1.3761543126411342,-1.5721986503890208,-1.0568160915236358,-5.534286970203644,-2.6173769527194617,-2.951622802504141,-2.498729147233471,-1.7912800080595712,-1.9978434511858183,-3.613326651310613,1.4507297988835175,-4.388436918682223,2.2113352035678973,0.3594779257822491,1.9300720413355148,-1.851978186662052,-0.823528017216212,-2.389588327651469,-0.75352379480242,-0.9418722516824332,-1.6761823965414853,1.8713960917656245,1.304443219815172,1.019990627213509,-1.5576372441083168,-1.6953451126200465,-1.6431989328216747,-1.7317946003198978,-1.4292037025747442,-1.4782317564457077,-1.7450188210505126,-2.1353356492699884,-2.454693724504124,5.845749036113246,9.070913007404991,2.4832215387765384,-2.200202952274822,-1.7171941676390388,-1.3253305379466256
Translation,23.198711112730585,19.243077506282418,28.932198375828982,9.385776090185185,9.721224495274383,8.853807580057413,-0.2917439060154905,0.5418101111716247,19.958529570557936,13.128309932651966,12.630184785098617,13.759670864935483,25.68584286748012,29.19037899474261,27.482303387585347,10.186087146381945,11.0147495116219,6.528595560853713,31.093921041031905,22.84312700310857,24.83745606489484,17.763663604145123,24.456644327073697,14.76833837570131,21.651320743164156,17.496902788845873,28.277114654862913,4.63041277647825,5.128088072458574,3.8298186830446426,-0.8788022589144067,-3.794158652093156,13.07190262893988,9.194397021672113,11.457850878047317,10.2465134905355,26.265691016604343,24.030076324013322,23.036060280763802,9.926876487353773,10.595736204741925,11.485151936516898,0.9678899087483774,2.745861528949309,18.211773521557365,14.832119043502546,13.830148797034562,14.682221394563642
ygdT,-0.9539479539235572,-0.7768046415724401,-1.3141504643480308,0.2005165917325577,-0.0791971104033847,-0.2265066541200568,-0.2158165363787558,-0.2908219881160093,0.6091312272914071,-0.2864262731578448,-0.3117774201856985,-0.4807169079659946,-0.0760084833450673,0.1664032393377639,3.278712714464392,-0.5275103273663228,-0.2610782602481367,0.1053083605628205,-0.1846624835860653,0.7288679412002682,0.3675656593561746,0.7618698691093124,0.9093897322589768,0.2183990379388153,-0.6136318850364283,0.4136128976357543,-0.474697291405301,-0.0496681263877473,1.1693399869247374,1.0486861877014657,0.1615662956440033,0.3167713305741569,0.0661230908402268,-1.0526172075333822,-0.5427751786052778,-1.0776591941829023,-0.2513791982767754,-0.6252554284586678,-0.9551832874087608,-0.1213108371389102,0.0402131294930416,0.0746982533091836,-0.4452929230215099,0.2237708697309672,0.4400044799197951,-0.6970678940905639,-0.1670873187058851,-0.6353923953953884
OxyR,1.768554437375334,0.7206426829678909,0.9315529457834084,-0.8253266042724369,-0.7026923638484581,0.3217275908423902,2.9703309002567213,1.4476715112405023,-1.2959184266823671,-0.8677112758323422,-1.1516898809926055,-1.391996128121641,-1.5063088410726555,-1.0579343967747814,-3.6565443943185154,0.1336210082008062,-0.4433431526966662,4.668977984316781,-0.8048368226032716,-0.3465891316810927,-2.682621707857365,-0.7916945895609216,-0.8017882493316258,-0.6096988120130475,-2.7775097766694774,-1.2431467718975686,-3.666758498411582,-0.7181969983238699,-0.9225616961316424,2.192511571790197,1.5846696620822542,1.4246756900573256,0.3750517181510157,-0.3235062922367184,-0.9743889337399168,-1.003276307675489,-2.41128820880661,1.5462219567249296,-2.7560743920407567,2.815674778612117,2.2829142392472246,3.192244066630546,2.251277013438288,0.6821997444124527,-1.2226017690607067,-1.0109581184016825,-1.1009572466970243,-1.885396723581397
FlhDC-2,-0.9542569794298486,-1.1681882254118905,-1.1757905031684892,-0.1025398421522603,0.1501160141715632,0.2545548992191895,-1.7287399160428198,-1.921012760319004,-1.893412260643783,-1.5357575677019102,-1.8584099656137023,-1.6579063312719982,-2.195949419508961,-2.313168488284566,-1.9982144113777425,-0.4709691560017658,0.5356209056593829,0.4022780100159757,-1.7965812665022045,-3.922158109277419,-0.7822095851031822,-1.8419448233437528,-1.8448118847498944,-4.092772446944666,-1.0477706342373918,-1.406812425546503,-0.9981513028393006,1.3728135364036465,0.9254881109644402,1.3148021249322563,-0.9070489487630794,-0.7398513006469726,-2.0443436720122565,-0.1915469592786265,-0.9255501711111372,-0.5352603789734671,-0.775172950208652,-1.0878472857075367,-0.8919594185706825,0.4691216265124427,0.0981236288029664,0.1578362767950392,-1.5482502506850246,-1.9713147398434232,-2.59781410080668,-1.6159834452919206,-1.710410068677874,-1.633719100611532
Osmoprotectant,1.6244628744003928,0.7739214636602044,4.104015198478268,-4.132699859999158,-3.840174187328469,-3.926810205970909,1.6690467148406674,0.9046863549833278,4.236472612073597,-1.7465466062466075,-1.808905015105063,-0.5811734481111591,1.3339066858481194,4.265105786324255,1.1423114750839738,-4.194740918832053,-3.7270530989252135,-1.261303348939291,5.737445978105943,3.647570286909305,0.7050254712977979,4.025790161923286,4.103871917565977,2.3699645875746693,0.5433496973470493,0.6435213236737427,1.952746209621642,-3.5021197341788923,-3.508626203330073,-2.749862183400773,2.564279464570356,1.7759022914450142,2.3601236146154125,-2.2705421488493376,-1.962323192774081,-2.009671103427257,1.0444868596379089,0.294417915585778,2.476546778805174,-4.183051583061762,-4.389012834406307,-4.283426237187285,1.631335193688512,1.3649752007995082,4.093464902723707,-1.2563573051826782,-2.1849713133473734,-0.5377171247922081
Glutamine,-0.7917639009187378,-1.8928306501413616,-1.6864176994965336,0.4817868917016741,0.0548542280762474,-0.1080304240806659,2.0972306015573468,1.9817405808795847,0.7490960194686749,1.9707949528329984,1.1762205134954304,3.454594100783377,-1.7834713177329908,-2.235600773249215,-1.5435098731316268,-0.3383707173093674,-0.007184630606148,1.1165238520966114,-1.8906488755599928,-3.561192144935452,-1.4236741943035278,-1.1828323768542666,-1.1908426489225146,-1.6539029752508054,-2.5070558132579044,-3.575549877247539,-3.8206284675093753,0.2451210739914993,0.1987075152844575,0.3968109960472844,0.3571578821494295,0.0400063826519805,0.4708101108257118,0.5165052198530131,1.195588696284191,1.1043328610866403,-2.527938373760807,-2.410352237490775,-1.0460220650229208,-0.4887971256165676,-0.0001321254795719,-0.2434451260151948,1.8290846252598365,2.04270380254141,0.8569359811662861,1.58160991660795,1.181317189375592,2.750887331578193
Sialic Acid,-3.279382677918281,-2.8756949549232025,-5.101011705374025,-0.8289240591111986,-0.8969631624966972,-0.6408191364996313,0.5700430120235029,1.645705781300289,2.429595506615976,0.0524621043516073,-0.1951004890053059,1.0451052388584872,-0.1110873227666142,-2.3899958227829368,-1.6510489627514775,-1.405232184375454,-1.5127982143175314,-0.6498235090377741,-3.0853630888966546,-0.7685038703678957,0.8901453811306482,5.893879870420314,2.358241723773436,5.336333766088364,2.793580609760833,2.819868688778035,-1.3612961736174416,-1.0175366872209448,-1.2742940913915646,-1.159862540645948,-0.0604111875323587,1.310149636257763,4.454660053199691,0.3584618716652487,-0.5994113713818808,0.1278340079201205,0.4552467794306349,-0.9715923607576298,-0.0869423091982992,-1.696314393907965,-1.1695029256541454,-0.8130311580652543,1.4572621299131143,2.372772429257025,2.7331609954849565,-0.4307452443831039,0.1466804259720478,0.75377738796355
yqhI,-0.3244440272739881,-0.3083571517650047,-0.3606507881443377,2.321529734633006,2.379840186093774,2.737590245430098,-0.135068503645011,-1.1566158843095498,-1.0605972407521085,0.679908990200108,0.647378339849373,0.9152829842878548,-1.7135092586633622,-3.749987737265902,-2.3349641625902824,2.2927097643275456,1.8479749347338688,3.308104569626338,-2.514320339667884,-1.9513198634425173,-1.5231595882680673,-0.8944406023467488,-1.3622732492211838,-0.8791096518936147,-1.3895927105710522,-1.3141388840726962,-1.5673738755941642,2.453936410131904,2.323629029470334,2.871315044938658,-0.0094021570437751,-0.0154123542001874,-1.0581471868738237,1.4235690454769945,1.669536264336784,1.1357918401629603,-0.6056497537670213,-0.4556765836205083,-0.1253266874984318,2.076132983937577,2.0432473119292407,2.157359702679888,-0.1854680990385884,-0.7664846501951965,-0.5636317894284194,0.3261475618034676,1.1974916521277257,1.3873497032018345
ROS TALE Amp,-1.028349981841634,-1.5666272604513485,-1.5744997194578378,1.6390589051108964,1.886310991605852,1.5506529236724251,-0.915429444986198,-0.187444965467878,-1.5674234332185937,0.2337949352384563,0.1601115732342608,0.590653713381685,-1.566921875821639,-2.9137054088837258,-0.983756938246422,1.1592153114985848,0.8727725351235402,2.0009984761899737,-1.055634911062427,-3.7324257884371614,-1.737694717994411,0.0126753150164543,-1.6439198997154785,-0.4327048333281428,-1.0126480729377667,-0.4392119016652087,-1.3562161105373318,2.0394874084905403,2.320422869436373,1.6394105723656776,0.1651636893982569,-0.1026186310156811,-0.7707385594526885,0.6024852787066592,0.0912673912551527,-0.0263751767132016,-1.8083410667419595,-1.5865366795740403,-1.7159731813264387,1.2323381925394137,1.1394244493668109,0.9620175738698192,-0.6525659088765611,-0.5242319039482575,-1.6383063091013848,-0.3269385371698378,-0.211841399326715,-0.6809662184043359
