GeneID,ERX1861507,ERX1861508,ERX1861509,ERX1861510,ERX1861511,ERX1861512,SRX13571734,SRX13571735,SRX13571736,SRX13571737,SRX13571738,SRX13571739,SRX13571740,SRX13571741,SRX13571742,SRX13571743,SRX13571744,SRX13571745,SRX13571746,SRX13571747,SRX13571748,SRX13571749,SRX13571750,SRX13571751,SRX19289624,SRX19289625,SRX19422872,SRX19422873,SRX19446322,SRX19446323,SRX19446324,SRX19446325,SRX19446326,SRX19446327,SRX19446328,SRX19446329,SRX19757646,SRX19757647,SRX19757648,SRX19757649,SRX19757651,SRX19757652,SRX19757653,SRX19757654,SRX19757655,SRX19757656,SRX19757657,SRX19757658,SRX19757659,SRX19757660,SRX19757662,SRX19757663,SRX19757664,SRX19757665,SRX19757666,SRX19757667,SRX19757668,SRX19757669,SRX19757670,SRX19757671,SRX19757673,SRX19757674,SRX19757675,SRX19757676,SRX19757677,SRX19757678,SRX19757679,SRX19757680,SRX19757681,SRX19757682,SRX19757684,SRX19757685,SRX19757699,SRX19757700,SRX19757701,SRX19757702,SRX19757703,SRX19757704,SRX19757706,SRX19757707,SRX19757708,SRX19757709,SRX19757710,SRX19757711,SRX19764270,SRX19764271,SRX19764272,SRX19764273,SRX19764274,SRX19764275,SRX21872984,SRX21872985,SRX21872986,SRX21872987,SRX21872988,SRX21872989,SRX23120366,SRX23120367,SRX23120368,SRX23120369,SRX23120370,SRX23120371,SRX26551649,SRX26551650,SRX2783031,SRX2783032,SRX2783033,SRX2783034,SRX2783035,SRX2783036,SRX28472328,SRX28472329,SRX28472330,SRX28472331,SRX28472332,SRX28472333,SRX28472334,SRX28472335,SRX4457710,SRX4457711,SRX4457714,SRX4457715,SRX4457720,SRX4457721,SRX4457724,SRX4457725,SRX6363977,SRX6363978,SRX6363979,SRX6363980,SRX6363981,SRX6363982,SRX6363983,SRX6363984,SRX6363985,SRX6363986,SRX6363987,SRX6363988
E6A31_00005,8.977797,8.940891,8.953212,8.905395,8.877608,8.880026,5.592881,5.083649,3.980317,3.827143,3.558531,3.597346,3.657195,4.101249,4.145348,4.330684,4.988175,7.015209,6.85942,7.081104,7.056815,6.661705,6.130214,3.874913,6.190508,6.118497,4.744149,5.602377,5.372082,4.121104,4.378144,4.87618,5.663429,5.312543,5.668765,5.722051,7.966281,6.625811,6.02196,7.682124,6.48722,7.444069,5.997274,8.193956,7.915371,7.653717,6.904118,7.814613,7.683085,6.251737,6.689828,7.218682,5.710252,7.854988,5.217432,5.163033,6.866432,7.375304,6.541414,7.292383,7.051618,6.397174,5.038098,5.428124,7.393273,7.441477,6.721337,6.619826,6.353214,7.092734,5.942271,6.319768,4.612583,6.840937,5.085643,5.010606,7.186732,7.144643,5.847577,5.167404,6.893494,6.523042,6.637464,6.075089,5.903241,5.137062,5.462917,8.122996,5.587309,5.635385,6.015868,5.65071,5.81928,5.753578,8.186043,8.212208,5.582016,6.026441,5.549363,3.812733,3.782125,3.864324,7.150761,7.577704,7.119027,6.084399,6.189479,7.659727,7.416175,7.744609,7.085749,6.816058,7.152624,7.981885,8.18397,8.162465,8.210513,8.238483,7.372007,7.302416,7.303103,7.314626,4.497626,5.578097,3.77411,4.179616,8.029977,7.843579,7.987965,7.985799,8.197805,8.23956,8.202648,8.187521,8.097272,7.880294,7.870659,8.23843
E6A31_00010,8.330618,8.339484,8.283908,8.109327,8.125272,8.090886,6.019706,6.150299,4.4027,4.398132,4.383686,4.085448,4.486336,5.065923,5.10074,5.40136,6.144162,7.108488,6.963505,7.00347,6.23954,5.920345,5.129651,4.286266,6.857302,6.413206,6.811308,6.992126,6.547245,6.738613,6.819501,7.113647,6.874966,7.180551,6.741979,7.081976,7.904739,6.793207,5.648214,6.882594,6.16996,6.972161,5.419619,7.959351,7.866073,7.489215,5.369224,7.676406,6.95368,5.971805,6.213289,6.754808,4.602014,7.258857,4.268729,4.329573,6.556665,7.003219,6.006542,6.855206,6.328977,5.66989,4.334279,5.091219,6.983937,7.050196,6.249767,6.184189,5.589949,6.216642,5.244503,5.474868,4.788039,6.133395,4.425028,4.505793,6.922883,6.884586,4.938183,3.672419,6.557023,6.075022,6.094562,5.382039,4.883589,3.835404,4.375036,7.692089,4.840129,5.312207,5.109491,4.844322,5.0944,4.852594,7.526281,8.055426,7.093014,7.115451,7.074337,6.484952,6.392335,6.244988,6.935664,7.156395,7.821344,7.288336,6.929449,6.83679,6.671773,7.086027,6.272742,5.895184,6.369379,7.848409,7.375065,7.60548,7.548632,7.509136,7.643859,7.608003,7.514328,7.782346,4.979404,5.280255,4.988181,3.093134,7.454825,7.285106,7.320466,7.412596,7.608355,7.794407,7.728473,7.676488,7.619905,7.206037,7.352589,7.718842
E6A31_00015,8.847562,9.096918,9.015028,8.852901,8.886908,8.971471,8.563813,8.225647,8.898855,8.279281,9.049717,9.342551,9.2061,9.221839,9.610294,8.889131,8.599455,9.320329,8.131477,8.908202,9.426818,9.456835,9.054237,8.664422,7.330661,6.839182,6.886945,6.963888,7.410995,6.238663,6.218708,7.076635,6.405884,5.350646,7.807305,7.350006,9.640353,9.860846,9.520517,10.108696,9.121683,10.05982,10.306704,9.867329,9.690541,11.173053,11.265715,10.018256,10.09484,9.579139,10.071485,9.376702,10.823754,10.255827,10.698863,11.034413,10.173229,10.033685,9.716286,9.365393,10.614297,9.31906,10.98441,9.610995,9.813924,9.906025,8.965605,9.105911,10.833734,9.229828,10.781499,10.535011,7.983222,9.876699,10.937874,11.02689,9.0517,9.427961,10.646787,10.470225,9.036622,9.157804,10.752879,10.688784,9.541853,9.451653,9.516247,9.34433,8.45764,8.396591,8.681442,8.39201,9.000367,9.290441,9.033731,9.061153,9.862291,9.841293,9.461744,7.581176,8.45676,7.893241,9.261028,9.046037,9.343625,9.061673,9.892386,9.689074,9.678955,9.618369,9.057713,8.916666,9.245295,11.887443,9.899285,9.762899,9.996812,9.571991,7.963799,7.673376,8.037737,8.340146,10.298208,10.267611,9.285582,9.349885,11.088199,11.103541,11.680536,11.656169,11.810578,11.664775,11.787952,11.698095,11.727106,11.651752,11.162309,11.739907
E6A31_00020,8.488136,8.510089,8.412467,8.891403,8.740261,8.780209,6.848881,6.727166,5.752809,6.327904,5.810197,5.733516,5.673624,5.638248,5.862032,5.595858,6.060742,7.007732,7.149187,7.469541,7.950691,7.83168,7.215103,5.855072,5.472469,5.437853,4.309274,5.182963,4.40292,3.995197,3.554735,4.916586,5.030245,4.667836,5.456744,5.466018,8.572658,8.643513,8.342907,8.656316,8.649551,8.9814,8.525297,8.663578,8.643488,10.092728,9.890012,8.812454,8.356303,6.474355,8.683314,7.763377,8.895446,8.854498,9.09259,8.99645,7.855846,8.336407,7.946716,7.897813,9.113388,8.039002,9.343345,8.104166,8.546446,8.686805,7.676577,7.25273,9.373664,8.165118,9.275387,9.127057,5.040613,8.35015,8.838311,9.309012,7.572823,7.709679,8.911032,8.600487,7.330315,7.544179,9.318192,9.254251,6.26323,5.764693,6.101297,8.669682,6.52187,6.861253,6.373131,6.110444,6.029193,7.252901,8.847926,8.455732,5.859227,6.332307,5.866867,4.059056,4.639307,4.551176,7.693578,7.463619,7.782789,6.755753,7.497391,7.89866,7.701468,7.837613,6.486375,6.541537,6.614179,8.40851,7.626072,7.663587,7.730068,7.293335,8.040465,8.010569,7.802826,7.788846,9.68352,10.225848,8.480029,8.498466,9.000211,9.078741,9.736151,9.798006,9.773081,9.602201,9.684568,9.629493,9.655893,9.639701,9.106495,9.743578
E6A31_00025,8.781834,8.764674,8.69647,9.21452,9.128992,9.145596,8.429425,8.212359,6.9292,7.375955,6.755462,6.796363,6.674341,7.041192,6.974369,6.994227,7.78044,7.552436,8.017501,8.142665,7.885317,7.590602,6.875578,6.969702,7.529853,7.14383,7.073018,7.523884,7.493396,6.100092,5.483377,7.91195,7.031499,7.617588,7.149431,8.043442,9.001933,8.654846,7.652472,8.53008,8.682162,9.188475,7.643345,9.118954,9.004551,10.048377,8.577142,9.074273,8.380907,6.252823,8.735118,7.860071,7.604336,8.783528,8.034462,7.347687,7.486156,8.271745,7.746272,8.03574,8.255974,8.144356,8.022654,7.529652,8.397432,8.581186,7.756571,7.297502,8.727759,8.380274,8.494577,7.974881,4.896715,8.024255,7.329174,8.057512,7.85998,7.884859,7.419651,7.399889,7.428969,7.49244,8.753653,8.542516,7.3759,6.668791,7.087348,9.822776,7.577622,7.850024,7.878874,7.420673,7.505774,8.234786,9.929964,9.995989,5.218678,5.679297,4.862451,3.218618,3.082867,3.319886,8.377135,8.161672,8.664754,7.945211,8.102257,8.124412,7.973971,8.233746,6.870474,6.816003,7.043633,8.536563,8.122757,8.114992,8.182587,7.795623,8.467833,8.454134,8.147576,8.140272,8.101301,8.172931,6.638273,6.777125,9.446578,9.48064,9.917246,9.945502,9.86044,9.740259,9.836429,9.768447,9.75977,9.882047,9.53206,9.754352
E6A31_00030,9.571866,9.53913,9.53018,9.952692,9.833972,9.77521,9.091704,9.394401,7.425312,8.023926,7.571002,7.416962,7.431907,7.725955,7.760793,7.80072,8.777753,7.954692,8.695431,8.639852,7.984533,7.715453,6.98175,7.527467,8.863533,8.347027,9.496972,9.434233,9.668795,9.452392,8.894998,9.824883,9.224574,9.83081,9.265481,9.217443,9.130008,8.602779,7.396704,8.391608,8.659965,9.118546,7.089505,8.978431,9.088571,9.963619,7.569846,9.369959,8.546766,6.449516,8.417852,7.721536,6.074394,8.565803,6.634666,5.940026,7.573061,8.337104,7.199523,7.752834,7.31801,7.701571,6.368587,6.824522,8.503317,8.650547,7.726317,7.327291,7.621805,8.491575,7.226059,6.688151,4.873088,7.400218,6.065383,6.840199,7.831622,7.82276,5.979168,6.55106,7.458108,7.414261,7.563208,7.25905,8.091278,7.362181,7.846913,10.845255,8.254545,8.640885,8.923039,8.388807,8.488988,9.102117,10.900504,10.969522,6.07939,6.45036,5.736491,5.114072,5.255793,4.947974,8.965492,8.491816,9.460796,9.127685,9.173992,7.659372,7.476067,7.686964,7.260828,7.136231,7.365514,8.246032,8.502643,8.504245,8.570342,8.228959,8.868055,8.836741,8.457955,8.526703,5.931819,6.313444,6.269333,5.690238,9.724573,9.805505,10.03295,10.035409,9.883207,9.797437,9.880191,9.84758,9.865596,9.992988,9.801938,9.793541
E6A31_00035,8.916528,9.226052,9.053099,9.965496,10.122793,10.166793,8.492349,9.897511,8.856669,8.864723,7.8798,8.070302,7.892804,8.727293,8.880365,9.089295,9.616726,11.015332,11.335977,11.085568,12.982554,13.24069,13.603836,8.872755,10.414902,12.424548,13.122216,12.756833,13.043623,13.164269,13.130228,13.0978,13.019967,12.539506,12.709583,12.755294,12.178415,11.470916,9.067411,11.505643,11.267396,11.739629,8.877703,12.095208,12.153057,12.185437,10.308678,11.464297,12.11742,11.579727,10.306779,10.374541,9.383368,11.090625,9.394501,9.354808,12.240103,12.461837,10.260304,10.714088,10.939267,11.04324,8.813846,8.60141,11.908419,12.027654,10.458775,10.412796,9.73203,11.459276,9.342468,9.652487,10.0518,10.327791,8.780815,8.688767,11.024689,11.028031,9.604786,8.679925,10.671701,10.583868,9.799798,9.606487,9.204834,8.360998,8.91939,9.264146,7.118361,7.929308,9.334535,9.141796,8.935468,7.416388,9.876094,8.348523,10.962322,11.478352,11.296076,8.922844,8.937727,8.889652,11.765641,13.195347,11.154165,10.319753,9.951471,9.053557,9.040338,8.89364,9.946335,9.724314,10.270911,9.486199,13.34429,13.594188,13.567281,13.432416,9.856543,9.703357,9.852462,9.868259,7.421947,7.691089,7.888009,6.233658,12.405816,12.339791,12.418135,12.400931,12.476118,12.261914,12.190701,12.186637,12.616583,12.556018,12.469277,12.499254
E6A31_00040,10.24997,10.234462,10.338831,11.108311,10.931604,11.047558,8.992707,10.265076,8.814133,8.918628,8.384616,8.227693,8.368573,8.833099,8.775009,8.958818,9.914368,11.341969,11.437623,11.337011,13.307502,13.438558,13.624678,8.839405,10.633189,12.541238,14.190911,13.845772,14.124578,14.275436,14.182669,14.188578,13.982669,13.699049,13.889249,13.817669,12.527187,11.932095,9.259704,11.801246,10.811154,12.013652,9.188526,12.45367,12.517549,12.256538,10.492069,11.9241,12.052342,10.75356,10.383956,10.292135,9.200774,11.143289,9.237363,8.979444,11.926416,12.30036,10.025065,10.707598,10.792865,10.963894,8.737093,8.701839,12.081957,12.056863,10.613008,10.478842,10.171416,11.576473,9.424331,9.570267,9.435342,10.268092,8.709193,8.648366,11.062938,11.080395,9.22823,8.658012,10.820342,10.618711,9.959315,9.757859,9.920134,9.264533,9.651997,10.493609,7.822075,8.717053,10.16013,9.9495,10.008212,8.684155,11.102688,9.459366,11.615785,11.885856,11.723791,9.309601,9.53307,9.452739,11.467888,12.726743,11.551144,10.510607,10.367946,8.538115,8.539259,7.981163,9.391625,9.151745,9.71948,8.085267,12.840698,13.042975,13.096315,13.006626,10.151063,10.072513,9.991607,10.020562,8.625274,8.114953,6.874696,6.53958,12.924197,12.837717,12.973429,12.950576,13.053119,12.813056,12.714816,12.782183,13.104182,13.07006,12.964371,13.034273
E6A31_00045,10.509903,10.947782,10.870634,11.638323,12.09162,12.211938,8.575626,9.427948,9.83782,7.947912,9.182756,9.207367,9.180741,9.621012,9.288358,9.726874,10.894807,11.812032,10.458495,10.509998,11.975104,12.264897,13.178653,9.810113,9.43452,11.258205,14.398514,13.878656,14.246487,14.487621,14.448317,14.312219,14.05477,13.711285,13.879323,13.871451,12.17304,11.08086,7.739227,11.103008,10.484014,11.529228,7.961971,12.038674,12.092968,11.800748,9.215256,11.250392,11.744791,10.04291,9.660352,9.629842,8.13252,10.570466,8.672205,8.328628,11.48554,11.765814,9.442103,10.282912,10.250632,10.452949,8.235649,7.849974,11.767517,11.876264,10.239703,10.167461,9.701546,11.106007,9.075763,9.391758,8.095913,9.816901,7.651258,8.340118,10.650672,10.648921,8.36336,8.136634,10.460453,10.324718,9.650193,9.295678,8.685309,7.718443,8.182833,9.963591,6.98711,8.097027,9.281043,9.249134,9.241449,8.060238,10.749835,9.142644,10.392274,10.354082,10.377982,8.210323,8.254441,8.375838,11.996201,12.643348,12.077321,11.245208,11.053147,10.098424,10.249816,9.921894,9.6871,9.298367,10.013245,10.30087,13.222685,13.160147,13.254098,13.195358,10.447013,10.271213,10.19702,10.457897,9.658869,8.686875,6.167502,6.011741,13.146192,13.153971,13.202231,13.254299,13.248004,13.118799,13.014178,13.012348,13.438519,13.365247,13.242306,13.269345
E6A31_00050,7.662288,7.590623,7.675762,7.461384,7.296848,7.273677,7.98444,7.498006,7.08831,7.280232,6.740408,6.859448,6.709232,6.829999,6.928342,6.871719,7.275302,6.703693,6.676052,6.776807,6.077864,5.75219,5.109052,7.111373,6.011044,5.309747,7.465076,7.543896,7.428132,7.374532,7.300791,7.752808,7.462092,7.391895,7.473092,7.79234,7.446377,7.617073,8.358999,6.696395,7.700021,7.399111,8.348173,6.769733,7.445642,7.620844,7.392816,7.450264,7.272896,5.867631,7.898814,7.907018,8.068958,7.243394,8.06685,7.85215,6.350726,6.930263,7.935625,8.109894,7.969453,7.458913,8.210944,7.976909,7.228134,7.190209,8.05031,7.930575,8.075991,7.230882,8.048602,7.943849,6.821635,8.117698,7.718241,8.224234,8.015987,7.97211,8.115469,8.023141,7.869539,7.777007,8.064474,7.977069,7.436703,7.39819,7.251179,7.760189,7.514652,7.486622,7.963082,7.994858,8.013908,7.615547,7.81452,7.92934,4.279193,4.659489,4.151695,5.482207,5.844253,5.500239,6.672325,6.437918,7.360921,7.318088,7.468494,7.960882,7.839332,8.141841,7.54369,7.643512,7.4852,8.103744,6.195832,6.156518,6.194633,6.398058,7.79746,7.864915,7.639984,7.476997,7.374091,7.612483,7.356506,7.221783,6.707129,6.620973,6.900728,6.912382,6.743794,6.677431,6.745044,6.696129,6.630482,6.645144,6.782519,6.715087
