,1000:1_0h_1,1000:1_0h_2,1000:1_0h_3,1000:1_24h_1,1000:1_24h_2,1000:1_24h_3,1000:1_4h_1,1000:1_4h_2,1000:1_4h_3,1000:1_8h_1,1000:1_8h_2,1000:1_8h_3,1:1000_0h_1,1:1000_0h_2,1:1000_0h_3,1:1000_24h_1,1:1000_24h_2,1:1000_24h_3,1:1000_4h_1,1:1000_4h_2,1:1000_4h_3,1:1000_8h_1,1:1000_8h_2,1:1000_8h_3,1:1_0h_1,1:1_0h_2,1:1_0h_3,1:1_24h_1,1:1_24h_2,1:1_24h_3,1:1_4h_1,1:1_4h_2,1:1_4h_3,1:1_8h_1,1:1_8h_2,1:1_8h_3,E_coli_0h_1,E_coli_0h_2,E_coli_0h_3,E_coli_24h_1,E_coli_24h_2,E_coli_24h_3,E_coli_4h_1,E_coli_4h_2,E_coli_4h_3,E_coli_8h_1,E_coli_8h_2,E_coli_8h_3
b0002,3.7254189516837286,3.1100493056037197,3.8348659432884,2.69690929281811,2.734918457313469,2.6212362560204623,3.643814458989462,3.763079253594201,3.924441996130143,4.11970817180813,4.226075528212474,4.024898942636917,4.420724547716837,4.388068029359731,3.377965577576584,2.996073630156859,2.9750136358516217,2.622404863007808,4.527342785897322,4.410732876769823,4.266427496708185,4.472011839190745,4.456158543894486,4.002036322392296,3.474955544438947,3.401507668519457,3.0699847402694656,2.3835635715511567,2.3662627788126644,2.202287126912022,3.970627485495079,3.3950070335848843,3.451655183630083,3.840172967592233,4.085219756690938,3.616555534555548,3.5459905957203475,3.1001438605782985,3.8564422985645055,2.8055599674877985,3.4061285322848,3.3584592580921115,3.846136111576016,3.989689430863659,3.986526397839967,4.191580791669605,4.19534621706417,4.222831006078946
b0003,3.370251954265379,3.425210032976899,3.666049221588006,3.1350693464209933,3.0617624741532365,3.2368558930280327,3.344389177447028,3.673924496952329,4.197225599236779,4.213401039104885,4.309529202410187,4.428021223871874,5.768149249699583,4.741951080316652,4.233284138214639,3.3359954920643258,3.3520990827289507,3.289997023283185,5.417544711919479,4.504890058511882,4.789544757802126,4.720082614058951,4.592021505574008,5.038783294067068,4.118306232154811,4.253188346824224,3.510347459608254,3.125516039125719,3.124012859747388,3.0574914033841294,3.5141989578284707,3.5128534454309874,4.115017858483776,3.592900694772556,3.888151278775774,3.836029842694498,3.903672986981429,3.684638394106688,3.862482662920112,3.1396620778379183,3.3683365864762456,3.511833311300028,3.49425567566396,3.757824944397448,3.773196513743141,4.253676625323032,4.34046627726733,4.618304148120867
b0004,3.8586593855604057,3.6891313597438287,3.800618090888319,2.985093679729758,2.856698048059847,2.968152156421916,3.7960015674004017,4.307696292759157,4.623077578818759,3.9706138093409753,4.201035316401422,4.261463447221342,5.120839649515031,4.423590775394041,4.439509404602656,3.105613430597398,2.946116665566961,2.982368992861604,4.837030714935745,4.281340429998728,4.2229786788324,4.664892653071131,4.93329976167841,4.529093757465494,4.494043697305498,4.38219732349788,3.935300509711994,2.6677288496001834,3.1680918488940364,2.8888249436933853,3.580389779635624,3.4739922957026783,4.20782044034352,3.247754301619,3.436730950216239,3.4730777048446515,3.901817592640861,3.650162575016897,3.9748862458465473,2.908808186890988,3.2033737707243564,3.212717086522756,3.844314539397341,4.306481257076054,4.637518988288243,3.929745735558854,4.1410769277383785,4.395150011340184
b0005,2.7685410069524554,2.780708905861037,2.494282482593189,2.176190063600384,1.858781189180778,2.6499902697714317,2.5930853995880896,3.3243315467931263,3.508551874777372,2.936849066762272,2.72506047085296,2.704355036406405,0.0,0.0,3.1065487914900656,2.1098496826816966,0.0,3.099107311193405,0.0,3.3708270970678,0.0,3.735960474392388,1.458606250265842,2.5678735830228487,2.9259132489341275,2.80529295588441,3.0346726237441115,2.122760385272206,1.9317076301891023,1.7136616698287386,2.5696065529878096,3.0828099796294346,3.1462522965434543,2.1613362375072853,2.2237284065096725,2.1875187269128302,2.6962856786504275,2.2167717925839114,2.60182453169334,1.9490654291866292,2.0540688790411754,1.71059106596022,2.8426892877007868,3.2594389158926504,3.369883734690089,2.676863038473851,2.6460099837149977,2.735274929187714
b0006,4.258014768394381,4.340985838589952,4.176742861468866,2.664432819172034,2.526955740111581,2.9497187150958304,4.508169012675396,4.423887052864823,4.488582033789842,3.605801213501498,3.5290979494623853,3.124594625937421,4.131589850568627,3.979516251980383,4.193699905761966,3.0484740505964,3.403204850112304,3.282209212660384,0.0,3.783454435451323,2.827892153886037,3.8913336126857145,4.099077519301391,3.3537055523678982,3.731266060515321,3.9674391982490342,3.757539628290429,2.5050530167427985,2.3969442993094847,2.662464642475444,3.739139360768692,3.9011876533118737,4.247399908086604,3.5056495999663126,3.5159738632535205,3.293932466071083,4.041432879802576,4.1782721511585015,3.270953056092467,4.338583809505478,4.270600462283978,4.364516519766405,4.0813047311480535,4.223859083424025,4.554820445563911,3.558902064994581,3.5373678980111127,3.207582549339092
b0007,2.6813398430193054,2.976810560427663,2.5188343759929506,2.1996817985770845,2.1584421725803398,2.2645688993299595,2.346283919934939,2.5849346683691152,2.516442557891142,2.614344923635202,2.783857172480864,2.768686858838956,4.527184622254819,3.384440597708077,2.659527426703942,2.751424002327908,2.820131939859422,2.281456222879269,4.226888671454991,4.302816434947936,3.571068829604412,3.3387031325263425,3.271135003627604,3.6500609758917664,3.035426921750931,3.4016123355744066,3.1947645320581968,2.172967831581289,2.2217679766582497,1.658003681583305,2.5553232838777045,2.8846476387513817,3.128853954975285,2.3801344074979887,2.5982604485993,2.6790247129624896,2.9896972093323417,2.679513147272405,2.948481159392025,1.962599532324191,1.9851284169403232,2.0384406695173807,2.4077549443103567,2.7510094746896407,2.6311581490202545,2.6605328817863745,2.740714648689863,3.004017830341668
b0008,7.297022470835115,7.549155546782511,7.256047623936771,4.414883811555435,4.467008205880226,4.477104394209596,7.317984765011257,7.449547881556252,7.644970835189551,6.537889980333924,6.644431010552094,6.396387308371172,6.894346388383669,7.264677267882868,7.227275231527443,5.356346979543514,5.071718505957701,4.811973953676873,6.815969754102131,7.345725416906928,7.206843362852544,7.60966680112928,7.655970454036356,7.5120046823111135,7.543322449635211,7.682855183156563,7.197983819442138,4.095497557425702,4.121105810725313,4.497063368077781,6.866874438115438,6.530901268411576,7.643985324576522,5.64921651425801,6.065585414315845,5.816447478914249,7.330822807507767,7.560902521093901,7.875194239303953,4.476564355073703,4.805573479336118,4.932734482029128,7.3441087755631695,7.599082322863079,7.651883265324785,6.846838392407537,6.579955487065062,6.583002792770731
b0009,4.608442960940544,4.424672395151715,4.535372925120543,3.2058782335247784,3.6221390292802376,3.607613428782737,4.286094259211882,4.52397772211873,4.611420377844291,4.428591951430564,4.445296975646401,4.354098927738785,5.496836045300295,4.2536719290239535,4.949825617058443,3.5772357674848942,3.847334477437631,3.5517480360742626,4.420538659235424,4.857888616454705,5.821204574404836,4.579583587148019,4.598570890597267,4.809001084659617,4.787832357428516,4.90962697467126,5.0887135665078045,3.362440387369289,3.616169905391316,3.2539797548384493,4.157353264009962,4.210530679897566,4.738105827266489,4.037528829293138,4.224838700384877,4.18008257729915,4.716241600279892,4.727244575452333,4.764661474668173,3.553630254528079,3.677616588957327,3.888653896282924,4.464565865006704,4.685181394624694,4.748830553243804,4.504669851381529,4.43077513057343,4.626804872317607
b0010,3.817203172213453,3.4403793717584663,3.348630483694724,3.5924631137411542,3.6890660121903114,3.6922733665250327,2.525158887976214,2.327812421639309,2.7748379305192783,4.0236574199114346,4.01728008324158,3.8811162249852735,0.0,0.0,4.372741068693472,3.860763249725319,3.9054612615609137,3.4204171515880564,0.0,2.1234825367478694,3.1268610193728037,2.2592023820191445,2.266207203479507,3.4821098666837207,2.787391277712613,3.012837410826214,3.003987254340961,3.863072377107608,3.839109328844516,3.056590587212836,2.4103075731193218,2.4770021561456743,2.6787917290351877,3.925925118011741,3.9364281179455407,4.2538129251565815,3.148609286764834,2.850777378164082,2.43355315759638,3.735876830491786,3.780300485234888,3.521663792704026,2.2476783794999924,2.1605852603949955,2.7727837394220747,3.963460264703572,4.079365347491605,4.002723418925906
b0011,0.9596095294512332,1.6124303184515218,1.215087835349829,1.991780526320064,2.1188691647124904,1.9640545833784415,1.767232299922746,1.7814131581671917,1.3134804417340702,1.7618397027766448,1.650880417049414,1.5162595505881713,0.0,0.0,0.0,1.561955515086893,2.082891896152252,2.4228210140863475,0.0,2.9196391386067098,0.0,1.4827306158618647,0.0,2.7739813861937344,1.2763152685987915,1.315838293806731,0.8098325813865949,2.258156694209027,2.242435691549881,1.497226488247089,1.6259948806900753,1.974687727225404,1.3611662165345786,2.1781106040440474,2.1913603431145017,2.070605537426432,1.5433739799577575,1.061185345692011,1.141406310409242,2.258605800668243,2.079475766374738,2.0524453832089646,1.8615167096627896,1.6052720239477192,1.1388998691495156,1.8373610727235816,1.8112351754336415,1.945300167168421
